Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
16;31.872.495;BANCO C6 S.A.; 144 ; 205.338.217 ; 1.326 ; 215.066.224 ; 1.395 ; 567.952.149 ; 3.226 ; 819.884.619 ; 6.091 ; 1.808.241.209 ; 121 ; 1.146.017.646 ; 168 ; 858.678.100 ; 289 ; 2.004.695.746 ; 6.380 ; 3.812.936.955 ;;
17;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO; 117 ; 4.436.733 ; 1.009 ; 172.695.600 ; 566 ; 79.223.406 ; 8.567 ; 175.644.667 ; 10.259 ; 432.000.406 ; 452 ; 1.823.558.092 ; 505 ; 1.555.049.134 ; 957 ; 3.378.607.226 ; 11.216 ; 3.810.607.632 ;;
18;07.679.404;BANCO TOPÁZIO S.A.; 52 ; 2.070.452 ; 455 ; 10.603.140 ; 30.183 ; 160.735.161 ; 74.006 ; 1.253.425.049 ; 104.696 ; 1.426.833.802 ; 1.028 ; 1.409.585.755 ; 3.413 ; 310.933.494 ; 4.441 ; 1.720.519.249 ; 109.137 ; 3.147.353.051 ;;
19;03.532.415;BANCO ABN AMRO S.A.; -   ; -   ; -   ; -   ; 363 ; 1.480.603.292 ; 366 ; 1.340.630.768 ; 729 ; 2.821.234.060 ; 4 ; 81.150.000 ; 15 ; 180.100.000 ; 19 ; 261.250.000 ; 748 ; 3.082.484.060 ;;
20;02.801.938;BANCO MORGAN STANLEY S.A.; 6 ; 90.767.665 ; 94 ; 66.566.647 ; 112 ; 1.152.641.717 ; 178 ; 1.041.546.087 ; 390 ; 2.351.522.116 ; 13 ; 326.270.693 ; 17 ; 401.309.503 ; 30 ; 727.580.196 ; 420 ; 3.079.102.312 ;;
21;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 66 ; 77.530.479 ; 3 ; 4.417.325 ; 66 ; 482.249.740 ; 258 ; 548.502.838 ; 393 ; 1.112.700.382 ; 80 ; 829.724.804 ; 93 ; 1.059.794.338 ; 173 ; 1.889.519.142 ; 566 ; 3.002.219.524 ;;
22;33.264.668;BANCO XP S.A.; 792 ; 103.197.449 ; 5.987 ; 344.029.640 ; 4.925 ; 605.592.214 ; 14.383 ; 415.132.123 ; 26.087 ; 1.467.951.426 ; 91 ; 691.035.004 ; 108 ; 547.172.208 ; 199 ; 1.238.207.212 ; 26.286 ; 2.706.158.638 ;;
23;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 531 ; 164.155.693 ; 2.039 ; 115.849.127 ; 4.746 ; 640.351.481 ; 6.444 ; 900.704.161 ; 13.760 ; 1.821.060.462 ; 1.683 ; 470.823.945 ; 4.611 ; 260.261.706 ; 6.294 ; 731.085.651 ; 20.054 ; 2.552.146.113 ;;
24;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 86 ; 63.554.980 ; 193 ; 71.596.975 ; 84 ; 22.612.729 ; 116 ; 177.527.455 ; 479 ; 335.292.139 ; 128 ; 1.141.842.669 ; 138 ; 1.022.284.838 ; 266 ; 2.164.127.507 ; 745 ; 2.499.419.646 ;;
25;28.195.667;BANCO ABC BRASIL S.A.; 103 ; 98.117.820 ; 356 ; 88.415.262 ; 81 ; 151.685.889 ; 454 ; 172.730.844 ; 994 ; 510.949.815 ; 97 ; 930.476.332 ; 162 ; 960.817.152 ; 259 ; 1.891.293.484 ; 1.253 ; 2.402.243.299 ;;
26;53.518.684;BANCO HSBC S.A.; 65 ; 387.451.250 ; 145 ; 73.299.669 ; 216 ; 171.512.481 ; 321 ; 409.486.954 ; 747 ; 1.041.750.354 ; 140 ; 650.767.327 ; 141 ; 690.475.253 ; 281 ; 1.341.242.580 ; 1.028 ; 2.382.992.934 ;;
27;71.027.866;BANCO BS2 S.A.; 400 ; 194.839.461 ; 1.590 ; 614.041.684 ; 6.601 ; 166.631.812 ; 7.307 ; 96.951.247 ; 15.898 ; 1.072.464.204 ; 71 ; 741.835.024 ; 53 ; 372.160.364 ; 124 ; 1.113.995.388 ; 16.022 ; 2.186.459.592 ;;
28;78.632.767;BANCO OURINVEST S.A.; 362 ; 37.788.886 ; 2.955 ; 148.455.568 ; 35.412 ; 393.438.353 ; 42.148 ; 563.035.612 ; 80.877 ; 1.142.718.419 ; 1.125 ; 579.504.288 ; 11.440 ; 297.929.987 ; 12.565 ; 877.434.275 ; 93.442 ; 2.020.152.694 ;;
29;15.114.366;BANCO BOCOM BBM S.A.; 25 ; 30.315.012 ; 39 ; 84.171.910 ; 40 ; 221.277.834 ; 202 ; 34.841.660 ; 306 ; 370.606.416 ; 64 ; 654.295.872 ; 87 ; 924.434.127 ; 151 ; 1.578.729.999 ; 457 ; 1.949.336.415 ;;
30;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 43 ; 75.677.728 ; 108 ; 16.676.796 ; 27 ; 669.241.628 ; 157 ; 607.254.888 ; 335 ; 1.368.851.040 ; 39 ; 65.690.665 ; 28 ; 184.573.779 ; 67 ; 250.264.444 ; 402 ; 1.619.115.484 ;;
31;62.232.889;BANCO DAYCOVAL S.A.; 370 ; 76.152.122 ; 1.559 ; 187.140.744 ; 51.356 ; 301.120.501 ; 41.276 ; 231.893.311 ; 94.561 ; 796.306.678 ; 339 ; 401.163.172 ; 1.647 ; 361.828.499 ; 1.986 ; 762.991.671 ; 96.547 ; 1.559.298.349 ;;
32;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA; 6.419 ; 1.716.903 ; 16 ; 2.201 ; 1.040.089 ; 378.449.789 ; 1.116.304 ; 409.208.022 ; 2.162.828 ; 789.376.915 ; 955 ; 241.486.621 ; 947 ; 212.444.250 ; 1.902 ; 453.930.871 ; 2.164.730 ; 1.243.307.786 ;;
33;68.900.810;BANCO RENDIMENTO S.A.; 24 ; 1.020.078 ; 351 ; 31.760.889 ; 108.045 ; 267.206.323 ; 4.553 ; 117.250.895 ; 112.973 ; 417.238.185 ; 1.354 ; 253.330.964 ; 5.833 ; 376.557.195 ; 7.187 ; 629.888.159 ; 120.160 ; 1.047.126.344 ;;
34;10.690.848;BANCO DA CHINA BRASIL S.A.; 39 ; 92.686.909 ; 15 ; 1.440.824 ; 69 ; 98.663.568 ; 77 ; 8.641.062 ; 200 ; 201.432.363 ; 56 ; 312.670.607 ; 95 ; 493.919.329 ; 151 ; 806.589.936 ; 351 ; 1.008.022.299 ;;
35;58.160.789;BANCO SAFRA S.A.; 350 ; 123.227.915 ; 911 ; 91.171.843 ; 24.686 ; 178.497.797 ; 19.576 ; 238.264.529 ; 45.523 ; 631.162.084 ; 269 ; 182.292.353 ; 270 ; 189.247.438 ; 539 ; 371.539.791 ; 46.062 ; 1.002.701.875 ;;
36;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; -   ; -   ; -   ; -   ; 75 ; 207.818.923 ; 137 ; 452.914.396 ; 212 ; 660.733.319 ; 17 ; 281.529.991 ; 10 ; 36.517.982 ; 27 ; 318.047.973 ; 239 ; 978.781.292 ;;
37;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 5 ; 18.301.611 ; 3 ; 4.332 ; 20 ; 129.831.444 ; 133 ; 282.110.261 ; 161 ; 430.247.648 ; 14 ; 316.750.000 ; 8 ; 156.000.000 ; 22 ; 472.750.000 ; 183 ; 902.997.648 ;;
38;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 2 ; 5.139.457 ; 1 ; 40.503 ; 24 ; 123.924.287 ; 43 ; 9.049.624 ; 70 ; 138.153.871 ; 41 ; 351.356.916 ; 46 ; 413.026.663 ; 87 ; 764.383.579 ; 157 ; 902.537.450 ;;
39;58.616.418;BANCO FIBRA S.A.; 92 ; 85.839.195 ; 564 ; 184.253.342 ; 37 ; 15.197.909 ; 148 ; 14.652.547 ; 841 ; 299.942.993 ; 77 ; 237.155.566 ; 58 ; 123.136.377 ; 135 ; 360.291.943 ; 976 ; 660.234.936 ;;
40;50.585.090;BCV - BANCO DE CRÉDITO E VAREJO S.A.; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 11 ; 423.216.022 ; 6 ; 211.225.927 ; 17 ; 634.441.949 ; 17 ; 634.441.949 ;;
41;33.923.798;BANCO MASTER S/A; 98 ; 33.034.638 ; 188 ; 92.178.849 ; 2.616 ; 87.513.492 ; 435 ; 34.872.508 ; 3.337 ; 247.599.487 ; 29 ; 202.240.657 ; 30 ; 179.623.281 ; 59 ; 381.863.938 ; 3.396 ; 629.463.425 ;;
42;13.059.145;BEXS BANCO DE CÂMBIO S/A; 137 ; 181.167.396 ; 425 ; 20.283.365 ; 3.905 ; 53.809.633 ; 11.672 ; 102.133.328 ; 16.139 ; 357.393.722 ; 135 ; 63.693.305 ; 205 ; 176.027.413 ; 340 ; 239.720.718 ; 16.479 ; 597.114.440 ;;
43;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 146 ; 106.025.137 ; 554 ; 54.128.434 ; 351 ; 122.385.539 ; 405 ; 35.430.051 ; 1.456 ; 317.969.161 ; 53 ; 75.082.282 ; 59 ; 198.044.825 ; 112 ; 273.127.107 ; 1.568 ; 591.096.268 ;;
44;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 87 ; 13.832.979 ; 100 ; 5.000.702 ; 4.093 ; 177.720.289 ; 198 ; 11.871.412 ; 4.478 ; 208.425.382 ; 80 ; 12.131.596 ; 187 ; 186.816.611 ; 267 ; 198.948.207 ; 4.745 ; 407.373.589 ;;
45;00.997.185;BANCO B3 S.A.; -   ; -   ; -   ; -   ; 178 ; 103.580.406 ; 174 ; 170.670.340 ; 352 ; 274.250.746 ; 46 ; 98.674.838 ; 27 ; 31.570.975 ; 73 ; 130.245.813 ; 425 ; 404.496.559 ;;
46;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 196 ; 8.041.029 ; 1.764 ; 48.048.906 ; 2.038 ; 66.914.371 ; 4.293 ; 82.705.497 ; 8.291 ; 205.709.803 ; 462 ; 91.390.980 ; 187 ; 35.222.964 ; 649 ; 126.613.944 ; 8.940 ; 332.323.747 ;;
