Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Abril/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
14;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 1.672 ; 7.160.480.270 ; 1.848 ; 10.286.131.922 ; 3.520 ; 17.446.612.192 ; 299 ; 5.820.096.052 ; 164 ; 2.695.538.255 ; 463 ; 8.515.634.307 ; 3.983 ; 25.962.246.499 ;
15;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 3.591 ; 655.430.480 ; 22.949 ; 1.342.614.664 ; 25.222 ; 1.518.994.621 ; 73.219 ; 2.647.280.430 ; 124.981 ; 6.164.320.195 ; 695 ; 9.053.623.073 ; 697 ; 7.168.409.494 ; 1.392 ; 16.222.032.567 ; 126.373 ; 22.386.352.762 ;
16;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 262 ; 755.335.436 ; 23 ; 6.121.098 ; 281 ; 776.361.573 ; 754 ; 1.397.247.538 ; 1.320 ; 2.935.065.645 ; 475 ; 8.310.129.731 ; 505 ; 8.626.617.897 ; 980 ; 16.936.747.628 ; 2.300 ; 19.871.813.273 ;
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 466 ; 489.657.022 ; 2.191 ; 983.213.501 ; 950 ; 4.819.715.495 ; 2.090 ; 3.011.937.793 ; 5.697 ; 9.304.523.811 ; 2.692 ; 4.251.598.432 ; 2.738 ; 5.617.789.928 ; 5.430 ; 9.869.388.360 ; 11.127 ; 19.173.912.171 ;
18;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 360 ; 18.412.701 ; 4.529 ; 311.498.014 ; 2.282 ; 383.260.071 ; 31.187 ; 796.244.959 ; 38.358 ; 1.509.415.745 ; 2.148 ; 9.088.660.743 ; 2.253 ; 8.374.167.488 ; 4.401 ; 17.462.828.231 ; 42.759 ; 18.972.243.976 ;
19;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 743 ; 53.630.156 ; 4.022 ; 492.932.920 ; 134.962 ; 890.882.414 ; 325.584 ; 6.996.685.464 ; 465.311 ; 8.434.130.954 ; 3.858 ; 7.722.065.364 ; 10.674 ; 1.173.123.403 ; 14.532 ; 8.895.188.767 ; 479.843 ; 17.329.319.721 ;
20;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 319 ; 364.171.453 ; 759 ; 234.934.644 ; 331 ; 428.709.292 ; 528 ; 484.026.509 ; 1.937 ; 1.511.841.898 ; 688 ; 7.616.888.198 ; 698 ; 7.648.385.880 ; 1.386 ; 15.265.274.078 ; 3.323 ; 16.777.115.976 ;
21;03.532.415;BANCO ABN AMRO S.A.;BCO ABN AMRO S.A. - PRUDENCIAL; -   ; -   ; -   ; -   ; 1.385 ; 7.330.593.022 ; 1.443 ; 7.304.908.484 ; 2.828 ; 14.635.501.506 ; 32 ; 796.598.586 ; 39 ; 1.026.106.450 ; 71 ; 1.822.705.036 ; 2.899 ; 16.458.206.542 ;
22;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 236 ; 2.175.000.974 ; 499 ; 119.882.401 ; 881 ; 1.569.274.003 ; 1.165 ; 1.366.591.087 ; 2.781 ; 5.230.748.465 ; 759 ; 3.409.891.328 ; 834 ; 5.706.975.907 ; 1.593 ; 9.116.867.235 ; 4.374 ; 14.347.615.700 ;
23;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 46 ; 1.519.768.029 ; 149 ; 175.717.603 ; 511 ; 3.455.245.500 ; 619 ; 3.319.972.725 ; 1.325 ; 8.470.703.857 ; 46 ; 1.654.568.557 ; 108 ; 2.885.696.333 ; 154 ; 4.540.264.890 ; 1.479 ; 13.010.968.747 ;
