Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Ago/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
14;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÈLTIPLO S.A.; 221 ; 825.001.734 ; 177 ; 221.010.852 ; 1.362 ; 11.393.633.355 ; 1.498 ; 10.820.884.008 ; 3.258 ; 23.260.529.949 ; 537 ; 7.445.912.944 ; 273 ; 7.117.018.038 ; 810,0 ; 14.562.930.982 ; 4.068 ; 37.823.460.931 ;
15;61.820.817;BANCO PAULISTA S.A.; 598 ; 88.817.926 ; 3.137 ; 249.500.843 ; 9.998 ; 723.200.945 ; 19.077 ; 1.861.020.468 ; 32.810 ; 2.922.540.182 ; 10.364 ; 15.729.729.385 ; 67.950 ; 14.463.843.706 ; 78.314,0 ; 30.193.573.091 ; 111.124 ; 33.116.113.274 ;
16;61.146.577;BANCO BARCLAYS S.A.; 7 ; 72.708.597 ; 38 ; 56.722.920 ; 1.358 ; 7.693.637.338 ; 1.587 ; 6.902.279.797 ; 2.990 ; 14.725.348.652 ; 1.026 ; 8.373.161.065 ; 1.337 ; 9.229.905.518 ; 2.363,0 ; 17.603.066.583 ; 5.353 ; 32.328.415.236 ;
17;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 116 ; 410.484.305 ; 1.341 ; 177.812.452 ; 1.191 ; 5.484.878.194 ; 2.020 ; 5.142.627.151 ; 4.668 ; 11.215.802.101 ; 994 ; 6.183.002.942 ; 1.082 ; 7.257.580.454 ; 2.076,0 ; 13.440.583.396 ; 6.744 ; 24.656.385.497 ;
18;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 1.218 ; 619.220.188 ; 4.158 ; 888.808.745 ; 3.838 ; 2.038.482.713 ; 3.667 ; 986.476.263 ; 12.881 ; 4.532.987.909 ; 2.647 ; 9.509.087.690 ; 3.141 ; 10.295.870.637 ; 5.788,0 ; 19.804.958.327 ; 18.669 ; 24.337.946.236 ;
19;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.; 6 ; 30.984.610 ;;; 1.378 ; 6.289.493.182 ; 1.606 ; 6.776.367.591 ; 2.990 ; 13.096.845.383 ; 81 ; 3.067.139.000 ; 83 ; 3.213.595.356 ; 164,0 ; 6.280.734.355 ; 3.154 ; 19.377.579.739 ;
20;58.160.789;BANCO SAFRA S.A.; 1.671 ; 1.514.335.402 ; 8.798 ; 1.432.863.771 ; 6.894 ; 1.311.906.467 ; 24.719 ; 2.479.666.704 ; 42.082 ; 6.738.772.344 ; 956 ; 5.465.040.575 ; 856 ; 3.559.289.994 ; 1.812,0 ; 9.024.330.569 ; 43.894 ; 15.763.102.913 ;
21;17.298.092;BANCO ITAÈ BBA S.A.; 2.743 ; 1.395.551.654 ; 6.405 ; 1.402.526.639 ; 2.516 ; 1.731.398.284 ; 5.716 ; 1.921.567.881 ; 17.380 ; 6.451.044.458 ; 326 ; 4.486.715.129 ; 334 ; 4.645.267.412 ; 660,0 ; 9.131.982.541 ; 18.040 ; 15.583.026.999 ;
22;11.703.662;BANCO CONFIDENCE DE C∂MBIO S.A.; 183 ; 6.379.305 ; 3.113 ; 158.842.313 ; 1.168 ; 124.220.686 ; 5.197 ; 223.272.186 ; 9.661 ; 512.714.490 ; 9.413 ; 7.430.049.945 ; 82.230 ; 7.164.336.422 ; 91.643,0 ; 14.594.386.366 ; 101.304 ; 15.107.100.856 ;
23;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 74 ; 218.174.873 ;;; 74 ; 218.174.873 ; 18 ; 5.450.000.000 ; 18 ; 5.450.000.000 ; 36,0 ; 10.900.000.000 ; 110 ; 11.118.174.873 ;
24;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 233 ; 342.464.696 ;;; 335 ; 3.893.690.759 ; 481 ; 1.309.786.111 ; 1.049 ; 5.545.941.566 ; 32 ; 1.156.663.056 ; 58 ; 4.167.727.850 ; 90,0 ; 5.324.390.906 ; 1.139 ; 10.870.332.472 ;
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 310 ; 1.542.205.569 ; 269 ; 165.599.515 ; 457 ; 1.166.376.080 ; 2.242 ; 1.066.699.770 ; 3.278 ; 3.940.880.933 ; 190 ; 1.856.834.340 ; 229 ; 3.223.770.075 ; 419,0 ; 5.080.604.415 ; 3.697 ; 9.021.485.348 ;
26;68.900.810;BANCO RENDIMENTO S.A.; 156 ; 6.237.777 ; 1.150 ; 59.887.834 ; 28.048 ; 441.943.437 ; 24.738 ; 1.526.652.167 ; 54.092 ; 2.034.721.215 ; 2.947 ; 3.734.650.908 ; 53.242 ; 2.564.611.623 ; 56.189,0 ; 6.299.262.531 ; 110.281 ; 8.333.983.747 ;
27;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ñ BANCO DE INVESTIMENTO; 121 ; 641.418.702 ; 135 ; 405.095.299 ; 145 ; 46.333.720 ; 485 ; 388.668.213 ; 886 ; 1.481.515.934 ; 474 ; 3.381.424.847 ; 596 ; 3.324.666.576 ; 1.070,0 ; 6.706.091.423 ; 1.956 ; 8.187.607.357 ;
28;62.232.889;BANCO DAYCOVAL S.A.; 1.112 ; 296.268.200 ; 3.622 ; 438.767.305 ; 4.182 ; 763.297.185 ; 26.715 ; 735.155.239 ; 35.631 ; 2.233.487.930 ; 2.247 ; 2.826.324.129 ; 4.838 ; 2.639.655.252 ; 7.085,0 ; 5.465.979.382 ; 42.716 ; 7.699.467.311 ;
29;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 910 ; 795.229.215 ; 3.024 ; 1.181.956.848 ; 2.316 ; 1.735.069.870 ; 3.536 ; 500.296.807 ; 9.786 ; 4.212.552.739 ; 395 ; 1.304.693.767 ; 434 ; 2.145.596.885 ; 829,0 ; 3.450.290.652 ; 10.615 ; 7.662.843.391 ;
30;49.336.860;ING BANK N.V.; 207 ; 1.284.160.122 ; 23 ; 50.058.062 ; 81 ; 421.048.608 ; 541 ; 917.547.024 ; 852 ; 2.672.813.816 ; 71 ; 1.221.811.933 ; 123 ; 2.251.815.338 ; 194,0 ; 3.473.627.271 ; 1.046 ; 6.146.441.088 ;
31;00.360.305;CAIXA ECONOMICA FEDERAL; 1.194 ; 495.287.504 ; 1.667 ; 93.426.926 ; 36.926 ; 1.066.935.040 ; 43.994 ; 733.300.325 ; 83.781 ; 2.388.949.794 ; 853 ; 1.460.129.640 ; 839 ; 2.181.392.911 ; 1.692,0 ; 3.641.522.550 ; 85.473 ; 6.030.472.345 ;
