Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em FEVEREIRO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
17;59.588.111;BANCO VOTORANTIM S.A.; 190 ; 379.237.768 ; 726 ; 130.847.255 ; 176 ; 208.320.990 ; 500 ; 464.048.632 ; 1.592 ; 1.182.454.644 ; 144 ; 632.747.131 ; 240 ; 559.845.741 ; 384 ; 1.192.592.872 ; 1.976 ; 2.375.047.516 ;
18;31.872.495;BANCO C6 S.A.; 27 ; 27.229.053 ; 128 ; 88.043.805 ; 313 ; 393.888.655 ; 3.259 ; 224.099.101 ; 3.727 ; 733.260.614 ; 83 ; 510.278.277 ; 167 ; 597.239.032 ; 250 ; 1.107.517.310 ; 3.977 ; 1.840.777.924 ;
19;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 55 ; 114.849.298 ; 202 ; 64.364.779 ; 147 ; 350.644.589 ; 342 ; 293.369.971 ; 746 ; 823.228.638 ; 89 ; 444.672.090 ; 124 ; 512.975.821 ; 213 ; 957.647.911 ; 959 ; 1.780.876.549 ;
20;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 116 ; 313.780.010 ; 149 ; 126.657.212 ; 264 ; 308.036.359 ; 343 ; 265.342.156 ; 872 ; 1.013.815.737 ; 88 ; 264.701.041 ; 114 ; 502.313.899 ; 202 ; 767.014.941 ; 1.074 ; 1.780.830.678 ;
21;49.336.860;ING BANK N.V.; 8 ; 23.176.478 ;;; 17 ; 2.877.449 ; 36 ; 3.024.712 ; 61 ; 29.078.639 ; 24 ; 649.117.079 ; 24 ; 668.923.504 ; 48 ; 1.318.040.583 ; 109 ; 1.347.119.222 ;
22;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 10 ; 22.818.013 ; 18 ; 37.203.360 ; 17 ; 244.912.460 ; 103 ; 93.114.569 ; 148 ; 398.048.402 ; 19 ; 352.958.959 ; 21 ; 472.954.329 ; 40 ; 825.913.288 ; 188 ; 1.223.961.690 ;
23;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 90 ; 4.542.946 ; 564 ; 24.013.112 ; 227 ; 90.869.520 ; 41.612 ; 64.015.087 ; 42.493 ; 183.440.665 ; 307 ; 435.734.648 ; 422 ; 437.857.866 ; 729 ; 873.592.514 ; 43.222 ; 1.057.033.179 ;
24;68.900.810;BANCO RENDIMENTO S.A.; 52 ; 6.346.606 ; 143 ; 59.736.143 ; 163.452 ; 355.820.900 ; 8.944 ; 58.964.628 ; 172.591 ; 480.868.277 ; 1.126 ; 110.236.206 ; 5.018 ; 353.315.606 ; 6.144 ; 463.551.813 ; 178.735 ; 944.420.090 ;
25;28.195.667;BANCO ABC BRASIL S.A.; 100 ; 80.336.456 ; 320 ; 27.229.582 ; 122 ; 25.116.172 ; 279 ; 39.191.068 ; 821 ; 171.873.279 ; 154 ; 317.775.402 ; 314 ; 453.062.547 ; 468 ; 770.837.950 ; 1.289 ; 942.711.228 ;
26;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 529 ; 78.008.992 ; 1.324 ; 43.755.652 ; 1.464 ; 116.014.637 ; 3.144 ; 282.811.751 ; 6.461 ; 520.591.032 ; 1.611 ; 265.900.932 ; 2.965 ; 133.167.907 ; 4.576 ; 399.068.839 ; 11.037 ; 919.659.872 ;
27;53.518.684;BANCO HSBC S.A.; 12 ; 78.281.302 ; 134 ; 32.410.933 ; 62 ; 82.662.551 ; 168 ; 218.761.217 ; 376 ; 412.116.004 ; 99 ; 245.026.238 ; 91 ; 189.213.833 ; 190 ; 434.240.072 ; 566 ; 846.356.075 ;
28;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 2 ; 64.015 ; 24 ; 9.475.831 ; 54 ; 5.176.559 ; 64 ; 209.321.999 ; 144 ; 224.038.404 ; 26 ; 381.926.109 ; 5 ; 168.341.968 ; 31 ; 550.268.077 ; 175 ; 774.306.481 ;
29;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 112 ; 300.275.920 ; 12 ; 6.108.913 ; 62 ; 60.024.465 ; 144 ; 73.508.811 ; 330 ; 439.918.109 ; 17 ; 108.027.177 ; 21 ; 207.994.759 ; 38 ; 316.021.935 ; 368 ; 755.940.044 ;
30;58.160.789;BANCO SAFRA S.A.; 232 ; 45.565.832 ; 961 ; 108.699.474 ; 809 ; 82.050.382 ; 1.059 ; 121.410.665 ; 3.061 ; 357.726.353 ; 152 ; 218.645.269 ; 144 ; 114.618.574 ; 296 ; 333.263.843 ; 3.357 ; 690.990.196 ;
31;07.679.404;BANCO TOPÁZIO S.A.; 58 ; 28.106.081 ; 21 ; 3.800.880 ; 274 ; 57.808.226 ; 401 ; 220.807.608 ; 754 ; 310.522.795 ; 346 ; 247.573.677 ; 787 ; 108.770.372 ; 1.133 ; 356.344.049 ; 1.887 ; 666.866.844 ;
32;78.632.767;BANCO OURINVEST S.A.; 721 ; 72.261.222 ; 1.827 ; 173.067.431 ; 5.443 ; 118.269.799 ; 2.510 ; 77.894.132 ; 10.501 ; 441.492.584 ; 794 ; 120.969.452 ; 779 ; 69.840.960 ; 1.573 ; 190.810.412 ; 12.074 ; 632.302.996 ;
33;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 149 ; 41.267.799 ; 603 ; 96.428.522 ; 314 ; 76.737.917 ; 366 ; 37.376.632 ; 1.432 ; 251.810.870 ; 101 ; 153.212.828 ; 98 ; 118.323.264 ; 199 ; 271.536.092 ; 1.631 ; 523.346.962 ;
34;10.690.848;BANCO DA CHINA BRASIL S.A.; 15 ; 41.939.720 ; 16 ; 4.785.325 ; 18 ; 160.672.795 ; 47 ; 22.388.056 ; 96 ; 229.785.895 ; 28 ; 32.850.797 ; 50 ; 208.320.403 ; 78 ; 241.171.199 ; 174 ; 470.957.095 ;
35;62.232.889;BANCO DAYCOVAL S.A.; 504 ; 93.349.709 ; 826 ; 66.883.209 ; 51.284 ; 98.504.281 ; 1.114 ; 46.654.138 ; 53.728 ; 305.391.337 ; 203 ; 66.071.956 ; 255 ; 93.333.317 ; 458 ; 159.405.274 ; 54.186 ; 464.796.611 ;
36;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 42 ; 65.879.559 ; 150 ; 38.033.308 ; 47 ; 27.161.602 ; 116 ; 52.938.103 ; 355 ; 184.012.572 ; 61 ; 138.413.204 ; 66 ; 139.456.448 ; 127 ; 277.869.653 ; 482 ; 461.882.225 ;
37;09.274.232;STATE STREET BRASIL S.A. – BANCO COMERCIAL;;;;; 18 ; 165.871.583 ; 21 ; 79.822.705 ; 39 ; 245.694.288 ; 8 ; 32.014.912 ; 15 ; 131.005.718 ; 23 ; 163.020.630 ; 62 ; 408.714.918 ;
38;58.616.418;BANCO FIBRA S.A.; 67 ; 34.278.482 ; 871 ; 109.748.409 ; 33 ; 17.438.847 ; 150 ; 30.430.764 ; 1.121 ; 191.896.502 ; 90 ; 154.438.670 ; 75 ; 52.942.934 ; 165 ; 207.381.604 ; 1.286 ; 399.278.105 ;
39;33.264.668;BANCO XP S.A.; 78 ; 93.081.494 ; 408 ; 60.684.742 ; 281 ; 81.159.890 ; 682 ; 46.440.619 ; 1.449 ; 281.366.745 ; 7 ; 17.349.473 ; 8 ; 86.000.000 ; 15 ; 103.349.473 ; 1.464 ; 384.716.218 ;
40;45.246.410;BANCO GENIAL S.A.; 5 ; 218.651 ; 24 ; 4.278.185 ; 203 ; 11.973.430 ; 411 ; 179.223.803 ; 643 ; 195.694.069 ; 55 ; 171.359.527 ; 3 ; 56.906 ; 58 ; 171.416.433 ; 701 ; 367.110.502 ;
41;62.144.175;BANCO PINE S.A.; 22 ; 11.305.257 ; 244 ; 29.487.605 ; 2 ; 2.676.330 ; 50 ; 7.926.248 ; 318 ; 51.395.440 ; 24 ; 174.482.700 ; 70 ; 138.366.000 ; 94 ; 312.848.700 ; 412 ; 364.244.140 ;
42;33.042.953;CITIBANK N.A.;;;;; 1 ; 111 ; 10 ; 190.962 ; 11 ; 191.073 ;;; 1 ; 356.000.000 ; 1 ; 356.000.000 ; 12 ; 356.191.073 ;
43;71.027.866;BANCO BS2 S.A.; 290 ; 42.728.541 ; 923 ; 34.776.761 ; 5.249 ; 94.810.959 ; 10.798 ; 76.977.491 ; 17.260 ; 249.293.751 ; 22 ; 31.071.025 ; 57 ; 52.612.511 ; 79 ; 83.683.536 ; 17.339 ; 332.977.287 ;
