Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Out/2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
15;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL; -   ; -   ; -   ; -   ; 2.874 ; 15.451.727.045 ; 2.487 ; 16.341.877.064 ; 5.361 ; 31.793.604.109 ; 610 ; 8.731.871.652 ; 592 ; 7.838.800.809 ; 1.202 ; 16.570.672.461 ; 6.563 ; 48.364.276.570 ;;
16;03.532.415;BANCO ABN AMRO S.A.; -   ; -   ; -   ; -   ; 3.291 ; 20.252.740.409 ; 3.561 ; 19.600.165.399 ; 6.852 ; 39.852.905.808 ; 107 ; 1.925.936.121 ; 119 ; 2.650.130.007 ; 226 ; 4.576.066.128 ; 7.078 ; 44.428.971.936 ;;
17;53.518.684;BANCO HSBC S.A.; 362 ; 3.558.869.041 ; 705 ; 513.697.136 ; 1.980 ; 4.409.964.010 ; 3.117 ; 3.357.658.316 ; 6.164 ; 11.840.188.503 ; 1.371 ; 10.124.246.317 ; 1.506 ; 14.184.769.218 ; 2.877 ; 24.309.015.535 ; 9.041 ; 36.149.204.038 ;;
18;33.264.668;BANCO XP S.A.; 3.974 ; 1.858.121.346 ; 28.100 ; 4.439.354.047 ; 41.820 ; 4.533.225.064 ; 180.053 ; 7.772.846.380 ; 253.947 ; 18.603.546.837 ; 1.091 ; 9.652.461.736 ; 1.050 ; 3.663.428.730 ; 2.141 ; 13.315.890.466 ; 256.088 ; 31.919.437.303 ;;
19;31.872.495;BANCO C6 S.A.; 821 ; 1.566.438.373 ; 7.212 ; 1.348.158.547 ; 63.067 ; 4.550.766.902 ; 490.244 ; 6.570.378.523 ; 561.344 ; 14.035.742.345 ; 1.199 ; 9.689.486.328 ; 1.693 ; 7.936.671.834 ; 2.892 ; 17.626.158.162 ; 564.236 ; 31.661.900.507 ;;
20;07.679.404;BANCO TOPÁZIO S.A.; 1.589 ; 429.731.512 ; 2.340 ; 97.264.985 ; 273.603 ; 1.354.710.409 ; 727.495 ; 12.236.909.837 ; 1.005.027 ; 14.118.616.743 ; 10.373 ; 13.447.829.353 ; 33.057 ; 2.901.480.457 ; 43.430 ; 16.349.309.810 ; 1.048.457 ; 30.467.926.553 ;;
21;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO; 1.234 ; 92.053.465 ; 9.885 ; 1.333.756.695 ; 3.825 ; 857.713.337 ; 90.823 ; 1.107.583.446 ; 105.767 ; 3.391.106.943 ; 4.105 ; 13.798.313.457 ; 4.858 ; 12.301.644.948 ; 8.963 ; 26.099.958.405 ; 114.730 ; 29.491.065.348 ;;
22;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 711 ; 2.730.598.596 ; 69 ; 56.745.468 ; 827 ; 3.537.720.498 ; 2.198 ; 4.000.450.545 ; 3.805 ; 10.325.515.107 ; 754 ; 7.793.385.017 ; 862 ; 10.164.206.697 ; 1.616 ; 17.957.591.714 ; 5.421 ; 28.283.106.821 ;;
23;02.801.938;BANCO MORGAN STANLEY S.A.; 123 ; 2.013.226.383 ; 606 ; 776.782.528 ; 1.616 ; 7.972.278.472 ; 2.073 ; 5.955.191.515 ; 4.418 ; 16.717.478.898 ; 117 ; 3.343.702.547 ; 218 ; 6.455.103.522 ; 335 ; 9.798.806.069 ; 4.753 ; 26.516.284.967 ;;
24;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 3.575 ; 725.372.706 ; 7.120 ; 667.639.025 ; 55.211 ; 6.195.685.706 ; 78.403 ; 8.723.061.350 ; 144.309 ; 16.311.758.787 ; 15.993 ; 5.998.523.085 ; 50.617 ; 3.535.192.021 ; 66.610 ; 9.533.715.106 ; 210.919 ; 25.845.473.893 ;;
25;78.632.767;BANCO OURINVEST S.A.; 6.711 ; 803.870.471 ; 25.530 ; 1.403.242.768 ; 296.966 ; 4.042.403.345 ; 426.012 ; 8.036.083.816 ; 755.219 ; 14.285.600.400 ; 9.322 ; 8.022.413.266 ; 123.223 ; 3.260.890.734 ; 132.545 ; 11.283.304.000 ; 887.764 ; 25.568.904.400 ;;
