Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Set/2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 54.375 ; 19.317.236.138 ; 151.447 ; 23.367.399.121 ; 204.110 ; 45.496.322.009 ; 319.750 ; 51.951.347.963 ; 729.682 ; 140.132.305.232 ; 7.305 ; 73.706.113.128 ; 7.161 ; 64.604.569.105 ; 14.466 ; 138.310.682.233 ; 744.148 ; 278.442.987.465 ;
2;33.479.023;BANCO CITIBANK S.A.; 13.234 ; 17.559.209.755 ; 71.823 ; 17.972.948.270 ; 75.302 ; 82.689.919.258 ; 94.105 ; 83.158.687.435 ; 254.464 ; 201.380.764.717 ; 3.067 ; 32.061.090.583 ; 3.244 ; 30.658.770.627 ; 6.311 ; 62.719.861.210 ; 260.775 ; 264.100.625.928 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 83.705 ; 37.200.543.290 ; 244.323 ; 37.805.467.481 ; 309.656 ; 42.342.933.655 ; 341.934 ; 42.562.081.534 ; 979.618 ; 159.911.025.959 ; 4.580 ; 50.382.300.905 ; 4.585 ; 43.808.663.775 ; 9.165 ; 94.190.964.680 ; 988.783 ; 254.101.990.639 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 3.124 ; 8.022.796.677 ; 23.137 ; 8.432.797.081 ; 13.064 ; 46.849.430.377 ; 20.153 ; 56.528.195.529 ; 59.478 ; 119.833.219.664 ; 4.288 ; 52.746.435.606 ; 4.458 ; 42.321.617.726 ; 8.746 ; 95.068.053.332 ; 68.224 ; 214.901.272.995 ;
5;00.000.000;BANCO DO BRASIL S.A.; 82.972 ; 35.692.853.143 ; 144.506 ; 24.872.383.816 ; 291.907 ; 26.103.813.503 ; 218.704 ; 32.079.747.220 ; 738.089 ; 118.748.797.683 ; 3.052 ; 16.275.869.361 ; 3.016 ; 21.301.703.871 ; 6.068 ; 37.577.573.233 ; 744.157 ; 156.326.370.916 ;
6;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 1.063 ; 1.630.986.097 ; 5.804 ; 2.250.043.746 ; 1.406 ; 4.410.658.474 ; 3.343 ; 4.237.200.719 ; 11.616 ; 12.528.889.035 ; 3.291 ; 64.305.108.380 ; 3.516 ; 63.712.756.551 ; 6.807 ; 128.017.864.931 ; 18.423 ; 140.546.753.966 ;
7;60.746.948;BANCO BRADESCO S.A.; 46.007 ; 30.182.612.476 ; 94.739 ; 13.533.002.545 ; 231.131 ; 19.366.150.334 ; 171.788 ; 25.127.745.334 ; 543.665 ; 88.209.510.689 ; 3.623 ; 19.586.762.315 ; 3.834 ; 30.328.451.113 ; 7.457 ; 49.915.213.428 ; 551.122 ; 138.124.724.118 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 2.769 ; 9.371.008.618 ; 10.221 ; 3.870.756.636 ; 19.197 ; 12.801.367.203 ; 27.506 ; 10.333.249.878 ; 59.693 ; 36.376.382.336 ; 1.890 ; 30.627.811.167 ; 4.400 ; 36.555.452.284 ; 6.290 ; 67.183.263.451 ; 65.983 ; 103.559.645.787 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 1.519 ; 7.090.779.316 ; 6.610 ; 4.971.259.393 ; 4.739 ; 20.056.942.002 ; 6.329 ; 24.017.122.077 ; 19.197 ; 56.136.102.789 ; 1.731 ; 11.968.500.197 ; 987 ; 10.150.793.612 ; 2.718 ; 22.119.293.808 ; 21.915 ; 78.255.396.598 ;
