Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Nov/2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 65.300 ; 25.361.390.178 ; 183.272 ; 29.489.411.781 ; 250.961 ; 57.501.361.147 ; 389.604 ; 63.582.933.613 ; 889.137 ; 175.935.096.719 ; 9.012 ; 98.812.196.597 ; 8.951 ; 90.840.402.327 ; 17.963 ; 189.652.598.924 ; 907.100 ; 365.587.695.643 ;
2;33.479.023;BANCO CITIBANK S.A.; 16.043 ; 20.379.391.002 ; 88.993 ; 21.824.311.564 ; 91.469 ; 99.178.640.949 ; 115.847 ; 98.809.531.229 ; 312.352 ; 240.191.874.744 ; 3.719 ; 41.458.974.037 ; 3.931 ; 39.905.436.552 ; 7.650 ; 81.364.410.589 ; 320.002 ; 321.556.285.333 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 101.766 ; 44.835.842.602 ; 302.518 ; 46.379.083.523 ; 380.428 ; 51.244.182.139 ; 419.506 ; 53.076.454.444 ; 1.204.218 ; 195.535.562.707 ; 5.755 ; 67.375.220.814 ; 5.717 ; 56.962.101.327 ; 11.472 ; 124.337.322.141 ; 1.215.690 ; 319.872.884.849 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 3.735 ; 8.951.934.783 ; 28.373 ; 9.634.046.535 ; 16.310 ; 60.237.800.418 ; 24.652 ; 65.441.703.096 ; 73.070 ; 144.265.484.832 ; 5.250 ; 62.470.135.007 ; 5.510 ; 55.629.146.630 ; 10.760 ; 118.099.281.638 ; 83.830 ; 262.364.766.470 ;
5;00.000.000;BANCO DO BRASIL S.A.; 101.445 ; 43.129.152.641 ; 182.574 ; 31.442.648.165 ; 397.921 ; 29.906.826.058 ; 270.918 ; 38.099.720.738 ; 952.858 ; 142.578.347.601 ; 3.897 ; 20.892.061.110 ; 3.809 ; 24.981.358.812 ; 7.706 ; 45.873.419.921 ; 960.564 ; 188.451.767.522 ;
6;60.746.948;BANCO BRADESCO S.A.; 55.297 ; 35.166.857.101 ; 114.587 ; 16.751.428.432 ; 280.640 ; 22.413.099.061 ; 203.209 ; 30.882.122.223 ; 653.733 ; 105.213.506.818 ; 4.504 ; 26.111.014.622 ; 4.646 ; 34.420.286.508 ; 9.150 ; 60.531.301.130 ; 662.883 ; 165.744.807.948 ;
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 1.328 ; 2.063.805.184 ; 6.906 ; 2.925.807.332 ; 1.681 ; 5.211.615.961 ; 3.907 ; 5.029.381.109 ; 13.822 ; 15.230.609.586 ; 4.065 ; 75.076.476.273 ; 4.361 ; 74.515.537.843 ; 8.426 ; 149.592.014.116 ; 22.248 ; 164.822.623.702 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 3.569 ; 11.090.938.750 ; 12.627 ; 4.756.934.138 ; 23.816 ; 16.090.876.889 ; 33.564 ; 12.410.288.220 ; 73.576 ; 44.349.037.998 ; 2.365 ; 40.513.860.851 ; 5.233 ; 48.559.734.744 ; 7.598 ; 89.073.595.595 ; 81.174 ; 133.422.633.594 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 1.800 ; 8.383.368.698 ; 8.127 ; 5.827.295.178 ; 5.857 ; 25.357.169.938 ; 7.823 ; 29.681.656.341 ; 23.607 ; 69.249.490.155 ; 2.097 ; 14.396.112.246 ; 1.345 ; 12.442.399.449 ; 3.442 ; 26.838.511.695 ; 27.049 ; 96.088.001.850 ;
10;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 2.384 ; 4.909.823.279 ; 15.128 ; 4.356.270.170 ; 18.214 ; 19.793.095.530 ; 24.977 ; 14.663.185.835 ; 60.703 ; 43.722.374.814 ; 9.709 ; 20.103.497.399 ; 9.876 ; 25.798.824.823 ; 19.585 ; 45.902.322.221 ; 80.288 ; 89.624.697.035 ;
11;60.498.557;BANCO MUFG BRASIL S.A.; 1.348 ; 616.535.919 ; 4.399 ; 983.775.370 ; 2.934 ; 2.503.689.484 ; 3.887 ; 2.157.147.805 ; 12.568 ; 6.261.148.578 ; 7.078 ; 27.994.270.135 ; 7.266 ; 28.110.326.289 ; 14.344 ; 56.104.596.424 ; 26.912 ; 62.365.745.002 ;
12;03.532.415;BANCO ABN AMRO S.A.;;;;; 2.939 ; 25.506.003.835 ; 3.300 ; 25.065.082.695 ; 6.239 ; 50.571.086.530 ; 146 ; 2.812.614.180 ; 138 ; 3.170.863.725 ; 284 ; 5.983.477.905 ; 6.523 ; 56.554.564.434 ;
13;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;; 12 ; 1.671.625.279 ; 2.771 ; 17.447.581.818 ; 2.559 ; 16.317.851.115 ; 5.342 ; 35.437.058.213 ; 402 ; 10.021.948.990 ; 390 ; 9.236.299.013 ; 792 ; 19.258.248.003 ; 6.134 ; 54.695.306.216 ;
14;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;;;;; 1.882 ; 17.030.022.425 ; 1.859 ; 13.645.001.227 ; 3.741 ; 30.675.023.653 ; 518 ; 7.304.795.957 ; 747 ; 10.690.391.260 ; 1.265 ; 17.995.187.218 ; 5.006 ; 48.670.210.870 ;
15;53.518.684;BANCO HSBC S.A.; 400 ; 3.856.968.871 ; 1.350 ; 2.695.842.281 ; 1.684 ; 4.275.146.065 ; 2.055 ; 2.352.480.520 ; 5.489 ; 13.180.437.737 ; 1.782 ; 9.394.740.562 ; 1.944 ; 12.447.954.642 ; 3.726 ; 21.842.695.204 ; 9.215 ; 35.023.132.941 ;
16;59.588.111;BANCO VOTORANTIM S.A.; 2.949 ; 3.305.128.322 ; 8.632 ; 1.788.410.279 ; 2.716 ; 3.303.489.546 ; 7.235 ; 3.232.652.429 ; 21.532 ; 11.629.680.577 ; 4.290 ; 9.107.262.760 ; 6.988 ; 10.722.781.661 ; 11.278 ; 19.830.044.420 ; 32.810 ; 31.459.724.997 ;
17;28.195.667;BANCO ABC BRASIL S.A.; 1.727 ; 1.537.025.652 ; 4.773 ; 1.201.360.521 ; 1.070 ; 4.869.680.876 ; 5.523 ; 3.311.439.046 ; 13.093 ; 10.919.506.095 ; 1.385 ; 8.729.784.467 ; 2.355 ; 10.209.375.927 ; 3.740 ; 18.939.160.394 ; 16.833 ; 29.858.666.489 ;
18;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 1.149 ; 2.022.109.207 ; 2.189 ; 1.190.180.463 ; 3.157 ; 3.948.950.802 ; 3.829 ; 4.621.463.966 ; 10.324 ; 11.782.704.438 ; 3.642 ; 8.875.133.096 ; 3.798 ; 9.195.852.504 ; 7.440 ; 18.070.985.601 ; 17.764 ; 29.853.690.039 ;
19;02.801.938;BANCO MORGAN STANLEY S.A.; 128 ; 883.294.660 ; 225 ; 135.975.679 ; 4.245 ; 9.765.055.765 ; 3.726 ; 7.070.622.010 ; 8.324 ; 17.854.948.114 ; 140 ; 3.980.165.164 ; 239 ; 7.549.025.114 ; 379 ; 11.529.190.279 ; 8.703 ; 29.384.138.392 ;
20;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 11.010 ; 1.060.778.935 ; 25.225 ; 1.122.434.933 ; 44.909 ; 3.885.327.960 ; 84.776 ; 7.674.734.733 ; 165.920 ; 13.743.276.561 ; 19.626 ; 7.855.149.296 ; 65.514 ; 4.042.540.448 ; 85.140 ; 11.897.689.744 ; 251.060 ; 25.640.966.304 ;
21;31.872.495;BANCO C6 S.A.; 1.083 ; 1.758.082.657 ; 7.753 ; 1.524.803.832 ; 56.136 ; 2.762.236.241 ; 557.137 ; 4.346.817.941 ; 622.109 ; 10.391.940.671 ; 1.512 ; 8.005.949.944 ; 2.136 ; 6.628.209.633 ; 3.648 ; 14.634.159.577 ; 625.757 ; 25.026.100.248 ;
22;33.264.668;BANCO XP S.A.; 4.237 ; 2.520.147.505 ; 29.706 ; 5.165.073.486 ; 21.051 ; 3.961.110.673 ; 60.317 ; 5.441.436.762 ; 115.311 ; 17.087.768.425 ; 841 ; 6.052.602.564 ; 683 ; 1.769.641.470 ; 1.524 ; 7.822.244.034 ; 116.835 ; 24.910.012.459 ;
23;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 78 ; 801.176.010 ; 24 ; 30.644.746 ; 249 ; 635.159.483 ; 535 ; 553.624.595 ; 886 ; 2.020.604.833 ; 894 ; 10.411.901.716 ; 944 ; 11.168.047.009 ; 1.838 ; 21.579.948.725 ; 2.724 ; 23.600.553.558 ;
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 850 ; 3.798.858.242 ; 246 ; 252.382.105 ; 1.076 ; 3.220.122.541 ; 2.935 ; 2.329.452.348 ; 5.107 ; 9.600.815.236 ; 869 ; 4.088.359.997 ; 1.049 ; 8.676.700.775 ; 1.918 ; 12.765.060.772 ; 7.025 ; 22.365.876.009 ;
25;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 118 ; 710.285.562 ; 81 ; 201.266.322 ; 186 ; 3.458.580.917 ; 1.365 ; 2.043.498.127 ; 1.750 ; 6.413.630.928 ; 319 ; 5.004.787.899 ; 468 ; 7.316.849.777 ; 787 ; 12.321.637.675 ; 2.537 ; 18.735.268.603 ;
26;78.632.767;BANCO OURINVEST S.A.; 11.899 ; 1.251.507.733 ; 25.571 ; 1.747.005.401 ; 201.305 ; 2.708.796.685 ; 478.767 ; 3.968.028.023 ; 717.542 ; 9.675.337.842 ; 7.659 ; 5.127.433.820 ; 124.351 ; 3.389.324.819 ; 132.010 ; 8.516.758.639 ; 849.552 ; 18.192.096.482 ;
27;07.679.404;BANCO TOPÁZIO S.A.; 1.047 ; 322.237.946 ; 1.873 ; 54.802.228 ; 105.774 ; 1.108.539.805 ; 339.230 ; 6.224.913.269 ; 447.924 ; 7.710.493.248 ; 8.968 ; 7.400.722.717 ; 24.763 ; 2.547.373.090 ; 33.731 ; 9.948.095.807 ; 481.655 ; 17.658.589.055 ;
28;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 915 ; 43.580.691 ; 8.362 ; 506.127.435 ; 2.804 ; 269.485.546 ; 129.464 ; 301.941.134 ; 141.545 ; 1.121.134.806 ; 4.332 ; 8.227.387.294 ; 5.045 ; 7.725.618.779 ; 9.377 ; 15.953.006.073 ; 150.922 ; 17.074.140.879 ;
29;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;; 1 ; 72.779 ; 1.744 ; 5.209.518.747 ; 2.092 ; 5.239.016.131 ; 3.837 ; 10.448.607.657 ; 274 ; 3.542.481.342 ; 258 ; 2.958.518.641 ; 532 ; 6.500.999.983 ; 4.369 ; 16.949.607.640 ;
