Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em NOVEMBRO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;60.701.190;ITAÚ UNIBANCO S.A.; 9.306 ; 2.316.071.112 ; 26.663 ; 4.726.984.404 ; 33.882 ; 4.844.736.714 ; 32.287 ; 5.380.209.537 ; 102.138 ; 17.268.001.767 ; 442 ; 8.383.065.966 ; 324 ; 4.450.851.152 ; 766 ; 12.833.917.118 ; 102.904 ; 30.101.918.885 ;
2;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 6.509 ; 1.602.899.336 ; 17.813 ; 2.472.232.030 ; 21.252 ; 7.135.127.951 ; 29.887 ; 4.642.738.355 ; 75.461 ; 15.852.997.671 ; 746 ; 5.360.459.983 ; 737 ; 4.531.137.418 ; 1.483 ; 9.891.597.402 ; 76.944 ; 25.744.595.073 ;
3;33.479.023;BANCO CITIBANK S.A.; 1.352 ; 1.078.238.051 ; 8.187 ; 2.122.368.571 ; 9.419 ; 7.328.114.612 ; 10.810 ; 5.981.993.743 ; 29.768 ; 16.510.714.978 ; 313 ; 980.454.718 ; 352 ; 2.209.834.787 ; 665 ; 3.190.289.505 ; 30.433 ; 19.701.004.483 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 338 ; 451.217.695 ; 2.311 ; 871.071.315 ; 1.269 ; 4.796.002.632 ; 2.154 ; 3.586.567.253 ; 6.072 ; 9.704.858.894 ; 319 ; 2.056.906.249 ; 557 ; 4.664.647.340 ; 876 ; 6.721.553.590 ; 6.948 ; 16.426.412.484 ;
5;60.746.948;BANCO BRADESCO S.A.; 5.770 ; 1.757.824.186 ; 12.317 ; 1.719.023.248 ; 26.380 ; 2.225.964.788 ; 15.115 ; 3.155.024.730 ; 59.582 ; 8.857.836.952 ; 366 ; 1.176.922.343 ; 391 ; 2.096.321.886 ; 757 ; 3.273.244.229 ; 60.339 ; 12.131.081.180 ;
6;30.306.294;BANCO BTG PACTUAL S.A.; 262 ; 734.934.488 ; 1.150 ; 1.467.974.051 ; 1.405 ; 1.315.269.509 ; 2.359 ; 1.048.686.106 ; 5.176 ; 4.566.864.154 ; 195 ; 2.449.721.758 ; 432 ; 3.156.090.068 ; 627 ; 5.605.811.826 ; 5.803 ; 10.172.675.980 ;
7;00.000.000;BANCO DO BRASIL S.A.; 8.761 ; 1.885.256.031 ; 14.786 ; 2.202.477.896 ; 22.836 ; 1.300.764.183 ; 18.555 ; 1.425.092.678 ; 64.938 ; 6.813.590.789 ; 277 ; 937.531.234 ; 279 ; 731.634.312 ; 556 ; 1.669.165.546 ; 65.494 ; 8.482.756.335 ;
8;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 121 ; 299.256.852 ; 754 ; 429.147.082 ; 782 ; 2.081.680.245 ; 730 ; 1.980.532.494 ; 2.387 ; 4.790.616.673 ; 199 ; 870.699.019 ; 105 ; 1.296.988.787 ; 304 ; 2.167.687.807 ; 2.691 ; 6.958.304.480 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 186 ; 285.725.973 ; 1.397 ; 617.567.876 ; 1.054 ; 765.559.737 ; 1.924 ; 801.382.323 ; 4.561 ; 2.470.235.908 ; 628 ; 1.120.117.308 ; 634 ; 1.194.272.997 ; 1.262 ; 2.314.390.305 ; 5.823 ; 4.784.626.213 ;
10;03.532.415;BANCO ABN AMRO S.A.;;;;; 225 ; 2.015.592.080 ; 266 ; 2.014.437.922 ; 491 ; 4.030.030.003 ; 8 ; 149.424.345 ; 6 ; 135.426.092 ; 14 ; 284.850.437 ; 505 ; 4.314.880.440 ;
11;60.498.557;BANCO MUFG BRASIL S.A.; 117 ; 32.307.559 ; 390 ; 73.141.911 ; 252 ; 128.953.519 ; 351 ; 62.762.493 ; 1.110 ; 297.165.482 ; 635 ; 1.635.058.766 ; 664 ; 1.665.667.993 ; 1.299 ; 3.300.726.759 ; 2.409 ; 3.597.892.241 ;
12;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;;;;; 66 ; 813.785.072 ; 148 ; 1.542.572.508 ; 214 ; 2.356.357.581 ; 70 ; 979.705.496 ; 26 ; 247.205.169 ; 96 ; 1.226.910.665 ; 310 ; 3.583.268.246 ;
13;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 106 ; 132.953.523 ; 447 ; 218.930.545 ; 113 ; 420.003.755 ; 352 ; 444.447.942 ; 1.018 ; 1.216.335.764 ; 449 ; 1.109.190.087 ; 480 ; 1.071.164.977 ; 929 ; 2.180.355.064 ; 1.947 ; 3.396.690.828 ;
14;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 2.000.000 ;;; 480 ; 1.299.301.780 ; 229 ; 1.074.287.922 ; 710 ; 2.375.589.702 ; 12 ; 413.083.384 ; 13 ; 588.083.858 ; 25 ; 1.001.167.242 ; 735 ; 3.376.756.944 ;
15;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 245 ; 575.218.371 ; 165 ; 976.373.789 ; 410 ; 1.551.592.160 ; 47 ; 600.895.628 ; 40 ; 306.880.442 ; 87 ; 907.776.070 ; 497 ; 2.459.368.230 ;
16;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 141 ; 229.958.641 ; 138 ; 230.066.171 ; 279 ; 460.024.812 ; 25 ; 651.769.809 ; 27 ; 1.304.831.723 ; 52 ; 1.956.601.532 ; 331 ; 2.416.626.344 ;
17;28.195.667;BANCO ABC BRASIL S.A.; 135 ; 289.126.184 ; 639 ; 146.200.700 ; 49 ; 296.253.945 ; 411 ; 156.610.303 ; 1.234 ; 888.191.131 ; 160 ; 503.112.719 ; 243 ; 768.657.115 ; 403 ; 1.271.769.834 ; 1.637 ; 2.159.960.965 ;
18;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 811 ; 83.784.928 ; 2.500 ; 110.112.981 ; 2.166 ; 210.782.481 ; 6.852 ; 622.697.778 ; 12.329 ; 1.027.378.168 ; 1.881 ; 691.023.702 ; 5.544 ; 237.372.110 ; 7.425 ; 928.395.812 ; 19.754 ; 1.955.773.980 ;
19;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 107 ; 102.095.161 ; 143 ; 23.985.130 ; 300 ; 387.494.238 ; 308 ; 241.755.090 ; 858 ; 755.329.619 ; 91 ; 355.989.609 ; 126 ; 595.191.764 ; 217 ; 951.181.374 ; 1.075 ; 1.706.510.993 ;
20;31.872.495;BANCO C6 S.A.; 71 ; 47.523.401 ; 720 ; 80.054.204 ; 1.867 ; 180.172.024 ; 19.532 ; 192.935.752 ; 22.190 ; 500.685.382 ; 95 ; 607.520.561 ; 160 ; 506.837.156 ; 255 ; 1.114.357.717 ; 22.445 ; 1.615.043.099 ;
21;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 8 ; 32.161.885 ; 6 ; 17.743.479 ; 25 ; 27.175.447 ; 46 ; 31.146.034 ; 85 ; 108.226.845 ; 78 ; 709.327.607 ; 80 ; 700.567.091 ; 158 ; 1.409.894.698 ; 243 ; 1.518.121.543 ;
22;59.588.111;BANCO VOTORANTIM S.A.; 185 ; 144.684.274 ; 648 ; 183.581.346 ; 170 ; 203.597.480 ; 523 ; 179.189.597 ; 1.526 ; 711.052.697 ; 208 ; 426.813.974 ; 383 ; 358.636.258 ; 591 ; 785.450.232 ; 2.117 ; 1.496.502.929 ;
23;53.518.684;BANCO HSBC S.A.; 13 ; 130.552.148 ; 222 ; 51.210.591 ; 64 ; 204.306.216 ; 112 ; 98.474.025 ; 411 ; 484.542.979 ; 121 ; 379.968.823 ; 135 ; 574.633.017 ; 256 ; 954.601.839 ; 667 ; 1.439.144.819 ;
24;58.160.789;BANCO SAFRA S.A.; 257 ; 102.153.405 ; 867 ; 110.216.314 ; 959 ; 164.459.988 ; 1.505 ; 92.381.804 ; 3.588 ; 469.211.512 ; 281 ; 429.376.719 ; 281 ; 468.034.345 ; 562 ; 897.411.064 ; 4.150 ; 1.366.622.575 ;
25;68.900.810;BANCO RENDIMENTO S.A.; 69 ; 7.835.054 ; 203 ; 87.540.206 ; 311.790 ; 468.192.226 ; 3.192 ; 66.727.173 ; 315.254 ; 630.294.660 ; 1.360 ; 187.035.930 ; 8.007 ; 493.255.161 ; 9.367 ; 680.291.091 ; 324.621 ; 1.310.585.751 ;
26;33.264.668;BANCO XP S.A.; 283 ; 175.802.169 ; 1.855 ; 334.442.550 ; 1.260 ; 155.118.611 ; 2.408 ; 202.105.297 ; 5.806 ; 867.468.628 ; 31 ; 249.563.872 ; 19 ; 48.893.265 ; 50 ; 298.457.137 ; 5.856 ; 1.165.925.765 ;
27;07.679.404;BANCO TOPÁZIO S.A.; 54 ; 33.068.887 ; 34 ; 2.363.321 ; 245 ; 18.992.299 ; 599 ; 479.618.220 ; 932 ; 534.042.726 ; 509 ; 506.372.417 ; 1.221 ; 76.358.477 ; 1.730 ; 582.730.895 ; 2.662 ; 1.116.773.621 ;
28;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 17 ; 77.548.913 ; 19 ; 44.387.736 ; 17 ; 391.054.425 ; 116 ; 133.064.759 ; 169 ; 646.055.833 ; 3 ; 4.404.440 ; 34 ; 446.913.447 ; 37 ; 451.317.887 ; 206 ; 1.097.373.719 ;
29;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 52 ; 2.680.676 ; 711 ; 31.115.289 ; 186 ; 14.249.980 ; 20.962 ; 42.900.512 ; 21.911 ; 90.946.457 ; 383 ; 522.632.271 ; 450 ; 460.420.417 ; 833 ; 983.052.688 ; 22.744 ; 1.073.999.144 ;
30;78.632.767;BANCO OURINVEST S.A.; 1.115 ; 135.426.112 ; 2.398 ; 174.563.140 ; 11.514 ; 135.802.428 ; 25.517 ; 182.576.277 ; 40.544 ; 628.367.957 ; 434 ; 262.569.512 ; 6.261 ; 145.130.521 ; 6.695 ; 407.700.033 ; 47.239 ; 1.036.067.990 ;
31;62.232.889;BANCO DAYCOVAL S.A.; 595 ; 71.962.033 ; 1.357 ; 137.303.366 ; 84.077 ; 155.507.055 ; 2.330 ; 146.256.942 ; 88.359 ; 511.029.397 ; 338 ; 198.064.525 ; 951 ; 179.530.854 ; 1.289 ; 377.595.379 ; 89.648 ; 888.624.776 ;
32;30.723.886;BANCO MODAL S.A.; 19 ; 19.335.278 ; 21 ; 4.030.146 ; 87 ; 60.900.169 ; 192 ; 367.929.127 ; 319 ; 452.194.720 ; 9 ; 364.550.805 ; 5 ; 65.000.000 ; 14 ; 429.550.805 ; 333 ; 881.745.525 ;
33;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 86 ; 183.168.805 ; 31 ; 11.334.162 ; 99 ; 203.902.007 ; 188 ; 109.252.741 ; 404 ; 507.657.715 ; 71 ; 55.180.771 ; 82 ; 300.221.668 ; 153 ; 355.402.439 ; 557 ; 863.060.155 ;
