Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Dez/2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
16;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 112 ; 709.329.373 ; 57 ; 62.852.652 ; 322 ; 1.648.196.841 ; 626 ; 1.325.912.342 ; 1.117 ; 3.746.291.208 ; 1.343 ; 21.798.969.534 ; 1.398 ; 22.783.406.044 ; 2.741 ; 44.582.375.577 ; 3.858 ; 48.328.666.786 ;
17;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 2.866 ; 12.801.659.960 ; 3.186 ; 11.391.030.690 ; 6.052 ; 24.192.690.649 ; 352 ; 8.114.830.769 ; 384 ; 9.190.216.877 ; 736 ; 17.305.047.646 ; 6.788 ; 41.497.738.296 ;
18;59.588.111;BANCO VOTORANTIM S.A.; 1.274 ; 2.086.069.044 ; 7.091 ; 1.305.904.425 ; 3.225 ; 4.474.674.104 ; 7.359 ; 5.784.931.678 ; 18.949 ; 13.651.579.251 ; 2.962 ; 10.033.569.571 ; 4.793 ; 8.614.296.430 ; 7.755 ; 18.647.866.001 ; 26.704 ; 32.299.445.252 ;
19;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 1.044 ; 2.715.736.648 ; 3.119 ; 1.883.467.122 ; 3.295 ; 4.782.675.155 ; 5.445 ; 6.139.296.060 ; 12.903 ; 15.521.174.985 ; 1.270 ; 6.073.996.625 ; 1.551 ; 5.572.155.289 ; 2.821 ; 11.646.151.914 ; 15.724 ; 27.167.326.899 ;
20;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 15 ; 1.693.784 ; 1 ; 1.553.470 ; 2.499 ; 7.466.408.178 ; 3.644 ; 8.604.696.140 ; 6.159 ; 16.074.351.571 ; 180 ; 5.617.174.645 ; 205 ; 4.535.298.937 ; 385 ; 10.152.473.582 ; 6.544 ; 26.226.825.153 ;
21;28.195.667;BANCO ABC BRASIL S.A.; 1.589 ; 1.741.939.638 ; 5.030 ; 1.040.759.995 ; 1.294 ; 2.023.452.339 ; 4.228 ; 1.932.977.128 ; 12.141 ; 6.739.129.100 ; 2.469 ; 8.301.834.009 ; 4.386 ; 9.159.012.740 ; 6.855 ; 17.460.846.750 ; 18.996 ; 24.199.975.850 ;
22;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 1.248 ; 4.865.688.216 ; 430 ; 307.237.647 ; 912 ; 1.572.022.759 ; 2.660 ; 1.487.096.047 ; 5.250 ; 8.232.044.669 ; 351 ; 3.674.661.135 ; 444 ; 7.949.848.332 ; 795 ; 11.624.509.467 ; 6.045 ; 19.856.554.136 ;
23;53.518.684;BANCO HSBC S.A.; 182 ; 1.147.470.906 ; 1.326 ; 448.865.640 ; 438 ; 2.661.942.328 ; 1.211 ; 3.123.608.179 ; 3.157 ; 7.381.887.052 ; 1.221 ; 5.288.647.946 ; 1.433 ; 5.616.751.955 ; 2.654 ; 10.905.399.901 ; 5.811 ; 18.287.286.953 ;
24;58.160.789;BANCO SAFRA S.A.; 2.480 ; 1.180.319.820 ; 10.464 ; 1.436.439.228 ; 9.227 ; 3.160.940.653 ; 16.679 ; 2.912.831.531 ; 38.850 ; 8.690.531.232 ; 1.850 ; 3.772.810.349 ; 1.806 ; 3.751.631.004 ; 3.656 ; 7.524.441.353 ; 42.506 ; 16.214.972.586 ;
25;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.711 ; 838.885.845 ; 7.065 ; 937.999.589 ; 4.152 ; 1.765.809.665 ; 6.020 ; 2.177.484.523 ; 18.948 ; 5.720.179.622 ; 991 ; 2.737.421.095 ; 1.023 ; 2.281.004.667 ; 2.014 ; 5.018.425.762 ; 20.962 ; 10.738.605.384 ;
26;68.900.810;BANCO RENDIMENTO S.A.; 435 ; 29.227.989 ; 2.020 ; 334.990.735 ; 1.182.343 ; 3.531.781.975 ; 55.887 ; 716.578.820 ; 1.240.685 ; 4.612.579.518 ; 13.631 ; 1.729.817.006 ; 76.430 ; 4.284.111.822 ; 90.061 ; 6.013.928.828 ; 1.330.746 ; 10.626.508.346 ;
27;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 6.187 ; 912.882.728 ; 20.347 ; 775.286.263 ; 16.343 ; 1.332.082.775 ; 34.291 ; 2.594.592.984 ; 77.168 ; 5.614.844.750 ; 14.873 ; 2.781.765.830 ; 48.707 ; 1.659.024.025 ; 63.580 ; 4.440.789.855 ; 140.748 ; 10.055.634.605 ;
28;78.632.767;BANCO OURINVEST S.A.; 4.868 ; 672.771.837 ; 23.147 ; 1.532.478.664 ; 23.438 ; 1.324.199.636 ; 20.738 ; 1.521.923.989 ; 72.191 ; 5.051.374.126 ; 11.375 ; 2.830.445.978 ; 31.223 ; 1.828.382.128 ; 42.598 ; 4.658.828.106 ; 114.789 ; 9.710.202.231 ;
29;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 994 ; 54.193.805 ; 7.866 ; 302.287.473 ; 127.587 ; 1.639.341.174 ; 1.040.444 ; 1.315.291.989 ; 1.176.891 ; 3.311.114.440 ; 3.436 ; 3.158.410.320 ; 4.372 ; 3.237.221.525 ; 7.808 ; 6.395.631.844 ; 1.184.699 ; 9.706.746.285 ;
30;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 147 ; 461.838.039 ; 222 ; 320.894.740 ; 233 ; 2.684.944.974 ; 1.316 ; 1.456.789.700 ; 1.918 ; 4.924.467.453 ; 136 ; 1.602.754.413 ; 221 ; 3.125.538.053 ; 357 ; 4.728.292.466 ; 2.275 ; 9.652.759.919 ;
31;62.232.889;BANCO DAYCOVAL S.A.; 6.310 ; 908.744.592 ; 7.927 ; 621.865.446 ; 251.746 ; 1.653.452.252 ; 16.506 ; 689.345.464 ; 282.489 ; 3.873.407.754 ; 3.148 ; 1.535.257.559 ; 6.171 ; 3.096.249.842 ; 9.319 ; 4.631.507.401 ; 291.808 ; 8.504.915.155 ;
