Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Maio/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
14;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 167 ; 191.966.746 ; 1.161 ; 401.402.182 ; 1.349 ; 1.106.961.865 ; 2.509 ; 1.013.506.104 ; 5.186 ; 2.713.836.897 ; 300 ; 1.998.046.656 ; 302 ; 2.050.797.778 ; 602 ; 4.048.844.434 ; 5.788 ; 6.762.681.331 ;
15;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 108 ; 7.839.228 ; 1.229 ; 47.143.521 ; 558 ; 121.148.007 ; 7.836 ; 282.141.628 ; 9.731 ; 458.272.384 ; 581 ; 2.510.845.085 ; 585 ; 2.317.180.172 ; 1.166 ; 4.828.025.257 ; 10.897 ; 5.286.297.641 ;
16;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 860 ; 98.790.084 ; 6.469 ; 526.110.566 ; 6.928 ; 496.357.832 ; 21.495 ; 619.845.898 ; 35.752 ; 1.741.104.380 ; 132 ; 1.968.388.813 ; 135 ; 1.379.029.477 ; 267 ; 3.347.418.290 ; 36.019 ; 5.088.522.670 ;
17;03.532.415;BANCO ABN AMRO S.A.;BCO ABN AMRO S.A. - PRUDENCIAL; -   ; -   ; -   ; -   ; 369 ; 1.685.789.880 ; 396 ; 1.740.520.241 ; 765 ; 3.426.310.121 ; 17 ; 710.000.000 ; 18 ; 685.106.830 ; 35 ; 1.395.106.830 ; 800 ; 4.821.416.951 ;
18;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 121 ; 170.450.650 ; 1.107 ; 191.061.402 ; 1.517 ; 535.890.995 ; 3.043 ; 1.301.000.626 ; 5.788 ; 2.198.403.673 ; 87 ; 1.666.059.033 ; 125 ; 845.958.871 ; 212 ; 2.512.017.904 ; 6.000 ; 4.710.421.577 ;
19;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 119 ; 27.131.483 ; 408 ; 278.854.263 ; 257 ; 579.192.121 ; 450 ; 587.791.786 ; 1.234 ; 1.472.969.653 ; 651 ; 1.848.099.922 ; 635 ; 1.291.712.209 ; 1.286 ; 3.139.812.131 ; 2.520 ; 4.612.781.784 ;
20;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 81 ; 118.990.969 ; 164 ; 53.393.082 ; 73 ; 81.134.479 ; 100 ; 152.998.916 ; 418 ; 406.517.446 ; 171 ; 1.848.257.872 ; 159 ; 1.883.039.504 ; 330 ; 3.731.297.376 ; 748 ; 4.137.814.822 ;
21;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 188 ; 15.904.400 ; 989 ; 57.891.465 ; 35.536 ; 226.765.056 ; 80.258 ; 1.605.577.793 ; 116.971 ; 1.906.138.714 ; 923 ; 1.712.275.229 ; 2.780 ; 292.414.857 ; 3.703 ; 2.004.690.086 ; 120.674 ; 3.910.828.800 ;
22;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 14 ; 172.177.251 ; 14 ; 4.563.598 ; 33 ; 11.670.190 ; 34 ; 23.136.986 ; 95 ; 211.548.025 ; 64 ; 1.348.330.284 ; 69 ; 1.504.110.353 ; 133 ; 2.852.440.637 ; 228 ; 3.063.988.662 ;
23;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 64 ; 358.420.254 ; 184 ; 91.205.827 ; 223 ; 483.030.217 ; 338 ; 399.107.503 ; 809 ; 1.331.763.801 ; 197 ; 632.980.051 ; 205 ; 998.479.818 ; 402 ; 1.631.459.869 ; 1.211 ; 2.963.223.670 ;
