Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em OUTUBRO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
15;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 13 ; 43.593.128 ; 225 ; 14.186.342 ; 188 ; 1.601.447.921 ; 306 ; 1.297.705.851 ; 732 ; 2.956.933.241 ; 153 ; 955.206.274 ; 178 ; 1.623.518.697 ; 331 ; 2.578.724.971 ; 1.063 ; 5.535.658.212 ;;;;
16;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 170 ; 176.476.283 ; 629 ; 164.286.258 ; 536 ; 509.854.543 ; 549 ; 135.758.217 ; 1.884 ; 986.375.301 ; 406 ; 1.781.015.637 ; 473 ; 2.169.030.439 ; 879 ; 3.950.046.076 ; 2.763 ; 4.936.421.377 ;;;;
17;61.820.817;BANCO PAULISTA S.A.; 60 ; 22.737.993 ; 460 ; 31.468.820 ; 840 ; 123.407.353 ; 2.377 ; 261.249.717 ; 3.737 ; 438.863.884 ; 1.318 ; 2.011.810.954 ; 7.685 ; 1.866.169.360 ; 9.003 ; 3.877.980.314 ; 12.740 ; 4.316.844.198 ;;;;
18;61.146.577;BANCO BARCLAYS S.A.;;;;; 296 ; 853.883.510 ; 168 ; 919.389.503 ; 464 ; 1.773.273.013 ; 180 ; 1.093.392.046 ; 271 ; 986.792.581 ; 451 ; 2.080.184.627 ; 915 ; 3.853.457.640 ;;;;
19;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 157 ; 813.207.512 ; 155 ; 1.026.156.790 ; 312 ; 1.839.364.302 ; 16 ; 632.440.318 ; 9 ; 531.544.482 ; 25 ; 1.163.984.800 ; 337 ; 3.003.349.102 ;;;;
20;00.360.305;CAIXA ECONOMICA FEDERAL; 215 ; 55.085.196 ; 223 ; 10.387.087 ; 5.375 ; 919.911.383 ; 2.398 ; 507.077.278 ; 8.211 ; 1.492.460.945 ; 142 ; 196.188.578 ; 153 ; 653.159.960 ; 295 ; 849.348.538 ; 8.506 ; 2.341.809.482 ;;;;
21;58.160.789;BANCO SAFRA S.A.; 226 ; 137.114.717 ; 1.718 ; 193.521.554 ; 947 ; 402.110.500 ; 3.114 ; 251.613.146 ; 6.005 ; 984.359.917 ; 121 ; 478.434.905 ; 129 ; 784.694.570 ; 250 ; 1.263.129.475 ; 6.255 ; 2.247.489.392 ;;;;
22;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ñ BANCO DE INVESTIMENTO; 11 ; 152.922.535 ; 50 ; 194.445.368 ; 26 ; 22.040.566 ; 69 ; 36.515.192 ; 156 ; 405.923.661 ; 108 ; 905.675.539 ; 139 ; 872.278.564 ; 247 ; 1.777.954.102 ; 403 ; 2.183.877.763 ;;;;
23;11.703.662;BANCO CONFIDENCE DE C∂MBIO S.A.; 34 ; 1.378.456 ; 303 ; 12.586.537 ; 173 ; 15.699.070 ; 899 ; 33.560.756 ; 1.409 ; 63.224.819 ; 1.486 ; 824.899.606 ; 10.116 ; 790.746.057 ; 11.602 ; 1.615.645.664 ; 13.011 ; 1.678.870.483 ;;;;
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 72 ; 243.582.750 ; 13 ; 17.011.404 ; 78 ; 367.714.058 ; 360 ; 190.308.324 ; 523 ; 818.616.537 ; 20 ; 269.311.442 ; 27 ; 514.200.434 ; 47 ; 783.511.876 ; 570 ; 1.602.128.413 ;;;;
