Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em SETEMBRO / 2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
16;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 43 ; 173.443.083 ; 11 ; 10.264.613 ; 71 ; 487.319.915 ; 206 ; 527.240.168 ; 331 ; 1.198.267.779 ; 81 ; 1.441.387.845 ; 87 ; 1.609.786.192 ; 168 ; 3.051.174.037 ; 499 ; 4.249.441.816 ;;
17;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL; -   ; -   ; -   ; -   ; 315 ; 1.324.086.665 ; 222 ; 1.414.976.200 ; 537 ; 2.739.062.865 ; 54 ; 792.106.097 ; 53 ; 700.036.716 ; 107 ; 1.492.142.813 ; 644 ; 4.231.205.678 ;;
18;31.872.495;BANCO C6 S.A.; 88 ; 152.448.676 ; 893 ; 164.464.138 ; 1.394 ; 941.373.454 ; 3.409 ; 724.730.272 ; 5.784 ; 1.983.016.540 ; 117 ; 806.874.564 ; 169 ; 1.032.531.896 ; 286 ; 1.839.406.460 ; 6.070 ; 3.822.423.000 ;;
19;03.532.415;BANCO ABN AMRO S.A.; -   ; -   ; -   ; -   ; 344 ; 1.711.302.539 ; 367 ; 1.634.197.507 ; 711 ; 3.345.500.046 ; 5 ; 40.821.555 ; 13 ; 230.300.000 ; 18 ; 271.121.555 ; 729 ; 3.616.621.601 ;;
20;78.632.767;BANCO OURINVEST S.A.; 621 ; 67.175.238 ; 2.701 ; 114.883.072 ; 32.562 ; 429.086.340 ; 39.952 ; 1.344.103.363 ; 75.836 ; 1.955.248.013 ; 1.045 ; 1.302.430.505 ; 11.956 ; 331.125.929 ; 13.001 ; 1.633.556.434 ; 88.837 ; 3.588.804.447 ;;
21;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO; 164 ; 7.207.066 ; 1.009 ; 173.200.142 ; 433 ; 88.018.196 ; 8.142 ; 104.327.597 ; 9.748 ; 372.753.001 ; 405 ; 1.518.862.949 ; 473 ; 1.332.225.376 ; 878 ; 2.851.088.325 ; 10.626 ; 3.223.841.326 ;;
22;53.518.684;BANCO HSBC S.A.; 51 ; 311.391.834 ; 104 ; 115.054.727 ; 197 ; 388.172.157 ; 318 ; 309.368.984 ; 670 ; 1.123.987.702 ; 150 ; 868.010.757 ; 166 ; 1.128.131.201 ; 316 ; 1.996.141.958 ; 986 ; 3.120.129.660 ;;
23;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 58 ; 45.101.311 ; 194 ; 40.454.281 ; 74 ; 87.234.793 ; 163 ; 209.656.936 ; 489 ; 382.447.321 ; 138 ; 1.379.917.684 ; 143 ; 1.264.232.937 ; 281 ; 2.644.150.621 ; 770 ; 3.026.597.942 ;;
24;07.679.404;BANCO TOPÁZIO S.A.; 142 ; 28.727.700 ; 408 ; 5.822.755 ; 29.945 ; 185.703.610 ; 70.730 ; 1.187.555.060 ; 101.225 ; 1.407.809.125 ; 957 ; 1.281.201.312 ; 3.310 ; 302.733.710 ; 4.267 ; 1.583.935.022 ; 105.492 ; 2.991.744.147 ;;
25;02.801.938;BANCO MORGAN STANLEY S.A.; 11 ; 154.057.249 ; 66 ; 80.876.469 ; 123 ; 943.674.901 ; 209 ; 456.633.619 ; 409 ; 1.635.242.238 ; 9 ; 176.656.105 ; 30 ; 856.652.129 ; 39 ; 1.033.308.234 ; 448 ; 2.668.550.472 ;;
