Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JUNHO / 2021;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
24;33.264.668;BANCO XP S.A.;144;116.787.309;1.634;217.292.575;573;511.771.140;2.521;368.691.955;4.872;1.214.542.979;40;300.933.125;30;228.703.450;70;529.636.575;4.942;1.744.179.554
25;31.872.495;BANCO C6 S.A.;42;36.293.421;227;23.511.081;1.001;234.839.123;12.354;211.597.831;13.624;506.241.456;98;565.885.249;240;591.381.249;338;1.157.266.499;13.962;1.663.507.955
26;19.307.785;MS BANK S.A. BANCO DE CÂMBIO;69;4.165.856;793;36.265.113;179;6.615.067;20.773;30.395.676;21.814;77.441.712;411;814.123.902;554;761.637.980;965;1.575.761.882;22.779;1.653.203.594
27;78.632.767;BANCO OURINVEST S.A.;964;77.356.209;2.609;191.339.691;9.348;306.635.723;9.810;258.458.606;22.731;833.790.228;518;417.872.677;4.263;334.457.766;4.781;752.330.444;27.512;1.586.120.672
28;7.679.404;BANCO TOPÁZIO S.A.;56;44.263.664;28;2.035.842;287;205.042.948;530;428.073.457;901;679.415.910;380;445.111.075;971;264.405.865;1.351;709.516.941;2.252;1.388.932.850
29;58.160.789;BANCO SAFRA S.A.;211;62.947.725;1.155;128.319.978;885;192.332.092;1.713;171.799.489;3.964;555.399.285;317;429.512.060;303;370.448.453;620;799.960.513;4.584;1.355.359.798
30;68.900.810;BANCO RENDIMENTO S.A.;90;6.314.553;158;33.993.047;254.916;449.224.304;2.860;104.930.232;258.024;594.462.136;1.276;177.493.485;8.334;466.056.398;9.610;643.549.883;267.634;1.238.012.019
31;53.518.684;BANCO HSBC S.A.;17;45.921.807;98;49.209.364;62;210.934.875;146;165.119.776;323;471.185.822;107;323.592.825;131;384.263.388;238;707.856.213;561;1.179.042.035
32;49.336.860;ING BANK N.V.;;;;;9;693.498;23;80.360.981;32;81.054.480;22;491.820.115;18;436.682.007;40;928.502.122;72;1.009.556.602
33;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;141;82.072.440;713;76.783.750;327;133.276.281;531;152.449.536;1.712;444.582.008;98;299.817.049;89;229.331.182;187;529.148.232;1.899;973.730.239
34;62.232.889;BANCO DAYCOVAL S.A.;620;94.935.468;1.211;99.520.092;67.823;226.541.896;1.883;188.325.407;71.537;609.322.864;311;154.108.807;896;157.050.546;1.207;311.159.353;72.744;920.482.217
35;58.616.418;BANCO FIBRA S.A.;150;237.111.286;903;184.273.608;25;10.784.637;221;93.181.816;1.299;525.351.347;94;182.535.696;86;163.432.565;180;345.968.261;1.479;871.319.609
36;7.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A;77;102.263.900;252;27.080.014;25;164.243.470;320;178.533.753;674;472.121.137;27;41.723.806;35;203.166.146;62;244.889.952;736;717.011.089
37;61.088.183;BANCO MIZUHO DO BRASIL S.A.;46;62.748.186;219;45.611.156;42;20.724.580;126;125.111.648;433;254.195.571;80;202.257.326;81;157.288.406;161;359.545.732;594;613.741.303
38;13.059.145;BEXS BANCO DE CÂMBIO S/A;22;112.962.903;6;143.951;6.308;69.992.042;92.171;145.254.021;98.507;328.352.917;136;81.042.158;64;128.223.816;200;209.265.974;98.707;537.618.891
39;71.027.866;BANCO BS2 S.A.;391;96.897.468;1.548;65.414.999;7.652;110.817.407;27.025;129.560.968;36.616;402.690.841;54;63.628.654;58;70.068.609;112;133.697.264;36.728;536.388.105
40;45.246.410;BANCO GENIAL S.A.;40;3.174.980;40;4.647.775;254;69.258.326;527;262.650.688;861;339.731.768;46;194.957.993;2;91.742;48;195.049.734;909;534.781.502
41;33.923.798;BANCO MASTER S/A;132;14.733.804;415;17.260.509;15.030;101.240.599;56.395;172.388.576;71.972;305.623.488;135;116.408.704;61;41.805.515;196;158.214.219;72.168;463.837.707
42;00.997.185;BANCO B3 S.A.;;;;;143;161.513.556;126;166.219.156;269;327.732.712;39;50.913.675;49;46.224.459;88;97.138.135;357;424.870.847
43;36.588.217;TRANSFERWISE BRASIL CORRETORA DE CÂMBIO LTDA.;;;;;195;150.661;91.460;103.454.162;91.655;103.604.823;1.212;182.075.431;1.190;78.771.668;2.402;260.847.100;94.057;364.451.923
44;10.690.848;BANCO DA CHINA BRASIL S.A.;17;90.133.546;40;16.366.127;22;40.036.070;78;43.568.060;157;190.103.804;57;46.997.747;38;117.230.849;95;164.228.596;252;354.332.400
45;62.144.175;BANCO PINE S.A.;41;17.577.488;267;37.830.406;2;1.516.724;55;14.222.391;365;71.147.009;19;142.950.000;66;122.710.000;85;265.660.000;450;336.807.009
46;15.114.366;BANCO BOCOM BBM S.A.;13;31.156.083;88;6.238.324;29;56.777.814;202;19.282.560;332;113.454.782;25;198.971.083;11;13.474.166;36;212.445.248;368;325.900.030
47;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;7;1.839.816;25;3.786.334;20;122.618.846;59;505.383;111;128.750.380;13;4.249.501;14;174.109.829;27;178.359.330;138;307.109.710
48;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.;17;80.019.784;2;289.097;9;52.196.291;14;1.270.968;42;133.776.140;5;2.431.000;45;132.370.000;50;134.801.000;92;268.577.140
49;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.;15;2.315.049;72;3.694.439;4.139;117.233.692;250;11.053.375;4.476;134.296.554;102;11.489.148;163;116.290.662;265;127.779.810;4.741;262.076.364
50;30.723.886;BANCO MODAL S.A.;1;45.917;10;1.932.624;139;70.373.986;129;55.073.468;279;127.425.994;7;56.648.466;8;75.050.292;15;131.698.757;294;259.124.751
51;8.609.934;MONEYCORP BANCO DE CÂMBIO S.A.;14;3.328.459;167;5.962.238;217;41.531.873;944;76.215.182;1.342;127.037.751;245;77.815.850;83;40.486.368;328;118.302.219;1.670;245.339.970
52;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA;249;7.785.288;2.048;49.813.314;1.600;19.850.398;4.077;47.328.682;7.974;124.777.682;706;91.692.249;177;22.162.200;883;113.854.449;8.857;238.632.131
53;33.042.953;CITIBANK N.A.;;;;;2;526;10;354.809;12;355.335;1;215.000.000;;;1;215.000.000;13;215.355.335
54;00.360.305;CAIXA ECONOMICA FEDERAL;123;24.939.453;97;9.517.219;8.689;46.934.169;638;39.135.063;9.547;120.525.904;167;29.907.576;188;52.811.443;355;82.719.019;9.902;203.244.923
55;73.622.748;B&T CORRETORA DE CAMBIO LTDA.;202;5.267.583;1.051;36.340.888;9.498;28.690.386;3.381;48.710.021;14.132;119.008.878;1.429;67.303.172;170;16.457.889;1.599;83.761.061;15.731;202.769.939
56;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;710;53.093.700;470;24.587.463;386;4.376.949;422;19.665.088;1.988;101.723.200;6;12.704.094;11;23.692.160;17;36.396.254;2.005;138.119.454
57;59.118.133;BANCO LUSO BRASILEIRO S.A.;64;7.639.795;248;41.481.180;27;13.317.277;186;3.598.718;525;66.036.969;254;47.134.257;93;22.291.702;347;69.425.960;872;135.462.929
58;15.357.060;BANCO WOORI BANK DO BRASIL S.A.;3;57.106;121;59.582.922;91;1.656.902;199;5.611.913;414;66.908.843;145;64.188.667;11;698.000;156;64.886.667;570;131.795.510
59;1.181.521;BANCO COOPERATIVO SICREDI S.A.;946;40.392.751;836;46.901.340;513;6.785.511;343;9.080.304;2.638;103.159.907;15;15.600.515;2;7.000.000;17;22.600.515;2.655;125.760.422
60;32.648.370;FAIR CORRETORA DE CAMBIO S.A.;140;2.979.730;1.276;34.321.021;487;9.397.790;1.327;19.365.374;3.230;66.063.915;905;48.760.771;44;7.574.724;949;56.335.495;4.179;122.399.410
61;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO;8;1.630.924;14;1.459.154;7;14.277.086;27;9.489.728;56;26.856.891;29;43.469.528;29;43.547.947;58;87.017.475;114;113.874.366
62;00.250.699;AGK CORRETORA DE CAMBIO S.A.;227;4.103.437;1.235;41.176.626;469;5.341.443;670;8.758.993;2.601;59.380.498;529;43.908.216;49;3.415.616;578;47.323.832;3.179;106.704.330
63;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;;5.346;38.201.043;11.656;44.113.740;17.002;82.314.784;37;12.776.048;174;7.639.271;211;20.415.319;17.213;102.730.103
