Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JUNHO / 2021;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
116;33.851.064;DILLON S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS;5;68.260;24;698.549;77;687.807;276;2.319.728;382;3.774.344;388;3.005.202;29;565.314;417;3.570.516;799;7.344.860
117;77.162.881;DEBONI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;1;2.000;49;1.088.397;137;117.577;284;1.295.393;471;2.503.367;169;3.533.112;57;1.290.792;226;4.823.904;697;7.327.271
118;73.302.408;EXIM CORRETORA DE CAMBIO LTDA;11;131.298;56;1.233.225;120;861.323;344;1.347.254;531;3.573.101;218;2.634.300;48;1.034.825;266;3.669.124;797;7.242.225
119;17.312.661;AMARIL FRANKLIN CORRETORA DE TÍTULOS E VALORES LTDA;75;2.549.650;6;322.861;9;47.007;43;646.168;133;3.565.685;40;914.426;75;2.562.078;115;3.476.504;248;7.042.189
120;4.684.647;ARC CORRETORA DE CAMBIO, ASSOCIADOS GOUVEIA, CAMPEDELLI S.A.;20;209.378;31;434.986;260;2.970.524;242;1.621.888;553;5.236.777;34;243.252;35;1.380.434;69;1.623.686;622;6.860.463
121;10.853.017;GET MONEY CORRETORA DE CÂMBIO S.A.;;;7;149.072;216;1.530.827;413;3.249.915;636;4.929.814;266;1.801.068;4;3.688;270;1.804.756;906;6.734.570
122;15.482.499;TURCÂMBIO - CORRETORA DE CÂMBIO LTDA.;1;6.965;39;660.032;241;970.485;339;2.161.912;620;3.799.394;170;1.973.483;16;143.143;186;2.116.626;806;5.916.020
123;6.132.348;LABOR SOCIEDADE CORRETORA DE CÂMBIO LTDA.;14;381.460;26;470.116;190;728.140;288;1.731.481;518;3.311.196;137;1.634.305;28;556.525;165;2.190.830;683;5.502.026
124;17.635.177;CONEXION CORRETORA DE CÂMBIO LTDA.;;;19;329.970;16;175.975;212;2.076.696;247;2.582.642;299;2.295.916;3;55.316;302;2.351.232;549;4.933.874
125;00.806.535;PLANNER CORRETORA DE VALORES S.A.;;;;;20;1.813.757;13;320.129;33;2.133.886;13;350.341;29;1.843.968;42;2.194.309;75;4.328.194
126;17.312.083;H H PICCHIONI S/A CORRETORA DE CAMBIO E VALORES MOBILIARIOS;;;2;18.465;91;226.575;324;1.925.502;417;2.170.542;170;1.740.570;3;404;173;1.740.974;590;3.911.516
127;13.673.855;FRAM CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;;21;522.833;7;728.787;29;627.516;57;1.879.136;40;1.150.539;7;728.787;47;1.879.326;104;3.758.462
128;4.902.979;BANCO DA AMAZONIA S.A.;28;637.906;16;460.843;11;953.136;25;24.187;80;2.076.072;2;100.000;10;1.220.000;12;1.320.000;92;3.396.072
129;73.279.093;PACIFIC INVEST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;1;13.700;1;120.158;181;278.061;1.173;1.534.087;1.356;1.946.005;136;1.341.860;1;10.000;137;1.351.860;1.493;3.297.865
130;71.590.442;LASTRO RDV DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;9;94.670;48;967.484;17;48.717;96;490.181;170;1.601.051;138;1.455.975;20;142.646;158;1.598.621;328;3.199.672
131;61.444.949;SAGITUR CORRETORA DE CÂMBIO LTDA.;2;90.001;53;721.407;77;262.000;57;346.371;189;1.419.779;69;1.031.206;26;317.297;95;1.348.503;284;2.768.283
132;28.762.249;SADOC SOCIEDADE CORRETORA DE CÂMBIO LTDA.;6;275.318;11;282.982;79;146.897;112;749.998;208;1.455.194;49;804.811;4;175.498;53;980.309;261;2.435.503
133;59.285.411;BANCO PAN S.A.;;;;;5;64.103;16;487.696;21;551.799;5;1.450.000;;;5;1.450.000;26;2.001.799
134;15.122.605;LÚMINA CORRETORA DE CÂMBIO LTDA.;;;;;207;210.202;205;972.241;412;1.182.444;144;778.192;2;9.000;146;787.192;558;1.969.635
135;15.168.152;CONSEGTUR CORRETORA DE CÂMBIO LTDA.;;;6;165.782;17;170.584;127;605.667;150;942.032;125;771.865;17;171.001;142;942.866;292;1.884.897
136;23.010.182;GOOD CORRETORA DE CÂMBIO LTDA;;;;;64;257.699;118;724.484;182;982.184;64;540.535;1;83.000;65;623.535;247;1.605.719
137;33.042.151;BANCO DE LA NACION ARGENTINA;1;352.830;1;11.494;424;318.415;11;22.182;437;704.921;1;27.989;8;823.088;9;851.076;446;1.555.997
138;61.973.863;LEROSA S.A. CORRETORA DE VALORES E CAMBIO;1;1.900;19;386.580;6;102.232;24;246.349;50;737.062;41;632.930;6;104.132;47;737.062;97;1.474.124
139;8.520.517;SOL CORRETORA DE CÂMBIO LTDA.;;;1;18.503;68;391.764;118;280.190;187;690.457;48;223.584;7;300.246;55;523.829;242;1.214.286
140;16.927.221;AMAZÔNIA CORRETORA DE CÂMBIO LTDA.;;;1;4.347;45;76.387;88;550.804;134;631.538;145;482.307;;;145;482.307;279;1.113.845
141;20.155.248;PARMETAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;;;;;113;44.453;353;388.771;466;433.224;12;350.248;;;12;350.248;478;783.473
142;18.145.784;NUMATUR CORRETORA DE CÂMBIO LTDA.;;;;;31;19.504;212;355.828;243;375.332;55;352.816;1;15.000;56;367.816;299;743.148
143;28.650.236;BS2 DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;;;;4;2.433;22;178.759;26;181.191;10;10.400;11;497.892;21;508.292;47;689.484
144;62.280.490;DIBRAN DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;;;;;;;121;315.529;121;315.529;71;305.578;;;71;305.578;192;621.107
145;89.784.367;EBADIVAL - E. BAGGIO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;;;;;34;78.266;100;178.761;134;257.027;18;164.309;3;61.190;21;225.499;155;482.526
146;15.761.217;CORRETORA DE CÂMBIO AÇORIANA LIMITADA.;;;;;6;3.612;81;222.180;87;225.792;78;219.317;2;2.449;80;221.766;167;447.558
147;16.854.999;SINGRATUR CORRETORA DE CÂMBIO LTDA;;;;;30;18.350;59;210.731;89;229.081;40;192.782;1;100;41;192.882;130;421.963
148;21.040.668;GLOBAL EXCHANGE DO BRASIL SOCIEDADE CORRETORA DE CÂMBIO LTDA.;;;;;86;142.870;84;189.320;170;332.191;9;45.419;;;9;45.419;179;377.610
149;00.460.065;COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;;36;31.802;82;164.844;118;196.646;7;128.111;3;7.085;10;135.196;128;331.841
150;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;;;;22;60.006;22;60.006;21;106.297;2;44.221;23;150.518;45;210.524
151;54.403.563;BANCO ARBI S.A.;3;6.075;1;4.600;;;5;66.713;9;77.388;1;60.580;;;1;60.580;10;137.968
152;15.077.393;MEGA CORRETORA DE CÂMBIO LTDA.;;;;;4;963;24;31.906;28;32.868;3;37.469;;;3;37.469;31;70.337
153;9.512.542;CODEPE CORRETORA DE VALORES E CÂMBIO S.A.;;;;;;;5;17.731;5;17.731;;;;; -   ; -   ;5;17.731
154;38.486.817;BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;;;;;;;5;16.851;5;16.851;;;;; -   ; -   ;5;16.851
155;33.886.862;MAXIMA S.A. CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS;;;;;;;;; -   ; -   ;1;6.500;1;6.500;2;13.000;2;13.000
156;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES;;;;;1;5.000;3;1.527;4;6.527;;;;; -   ; -   ;4;6.527
157;50.585.090;BCV - BANCO DE CRÉDITO E VAREJO S.A.;;;;;1;3.215;2;1.229;3;4.444;;;;; -   ; -   ;3;4.444
158;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO;;;;;;;1;500;1;500;;;;; -   ; -   ;1;500
;;;;;;;;;;;;;;;;;;;;
Total;;;42.516;20.202.945.697;123.969;17.158.219.502;558.649;51.795.272.931;501.736;50.378.322.480;1.226.870;139.534.760.609;34.498;54.569.989.828;34.498;54.586.025.833;68.996;109.156.015.662;1.295.866;248.690.776.271
"Fonte: Sistema Câmbio; Dados extraídos em: 12.07.2021";;;;;;;;;;;;;;;;;;;;
Obs. Os dados para o Mercado Primário incluem os registros de contratos da natureza 99000 e não incluem os registros ACAM204.;;;;;;;;;;;;;;;;;;;;
Obs. Os dados para o Mercado Interbancário referem-se a registros de operações de arbitragens (no País e no exterior), operações entre  instituições e operações com o Banco Central do Brasil.;;;;;;;;;;;;;;;;;;;;
