Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Ago/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
14;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 3.821 ; 12.988.803.677 ; 3.880 ; 10.620.172.744 ; 7.701 ; 23.608.976.422 ; 252 ; 6.501.808.534 ; 359 ; 8.550.061.059 ; 611 ; 15.051.869.593 ; 8.312 ; 38.660.846.015 ;;;;
15;59.588.111;BANCO VOTORANTIM S.A.; 1.152 ; 2.684.619.215 ; 10.925 ; 2.543.015.948 ; 2.078 ; 3.791.703.615 ; 8.955 ; 5.666.751.256 ; 23.110 ; 14.686.090.034 ; 1.298 ; 8.266.323.675 ; 3.941 ; 6.452.318.399 ; 5.239 ; 14.718.642.074 ; 28.349 ; 29.404.732.108 ;;;;
16;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 1.242 ; 559.838.214 ; 4.260 ; 793.007.339 ; 3.971 ; 3.935.398.665 ; 3.992 ; 1.935.031.425 ; 13.465 ; 7.223.275.643 ; 2.516 ; 6.762.966.874 ; 2.470 ; 8.519.846.756 ; 4.986 ; 15.282.813.630 ; 18.451 ; 22.506.089.274 ;;;;
17;61.146.577;BANCO BARCLAYS S.A.;;; 29 ; 14.722.126 ; 879 ; 4.988.788.552 ; 941 ; 3.810.126.139 ; 1.849 ; 8.813.636.817 ; 1.075 ; 5.546.357.659 ; 1.582 ; 6.705.945.770 ; 2.657 ; 12.252.303.429 ; 4.506 ; 21.065.940.246 ;;;;
18;61.820.817;BANCO PAULISTA S.A.; 542 ; 481.468.719 ; 2.875 ; 240.240.359 ; 5.144 ; 901.163.201 ; 13.785 ; 1.084.217.825 ; 22.346 ; 2.707.090.105 ; 8.858 ; 7.692.970.962 ; 62.013 ; 7.692.157.824 ; 70.871 ; 15.385.128.785 ; 93.217 ; 18.092.218.890 ;;;;
19;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 1.537 ; 6.178.035.110 ; 1.333 ; 5.437.187.644 ; 2.870 ; 11.615.222.753 ; 60 ; 2.636.669.919 ; 83 ; 3.033.207.731 ; 143 ; 5.669.877.650 ; 3.013 ; 17.285.100.403 ;;;;
20;58.160.789;BANCO SAFRA S.A.; 1.599 ; 680.944.003 ; 9.538 ; 1.003.978.263 ; 6.567 ; 2.386.995.995 ; 19.117 ; 2.360.202.128 ; 36.821 ; 6.432.120.389 ; 920 ; 5.374.733.046 ; 848 ; 5.061.230.158 ; 1.768 ; 10.435.963.204 ; 38.589 ; 16.868.083.593 ;;;;
21;00.360.305;CAIXA ECONOMICA FEDERAL; 1.903 ; 1.083.605.938 ; 1.524 ; 88.646.128 ; 38.397 ; 4.642.520.914 ; 16.276 ; 3.015.047.707 ; 58.100 ; 8.829.820.686 ; 828 ; 1.194.555.322 ; 985 ; 3.812.497.387 ; 1.813 ; 5.007.052.708 ; 59.913 ; 13.836.873.395 ;;;;
22;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO; 130 ; 814.986.838 ; 236 ; 280.056.919 ; 204 ; 229.001.172 ; 386 ; 321.532.923 ; 956 ; 1.645.577.852 ; 958 ; 5.493.454.856 ; 1.302 ; 6.046.660.898 ; 2.260 ; 11.540.115.754 ; 3.216 ; 13.185.693.606 ;;;;
23;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 339 ; 88.487.912 ; 2.580 ; 137.426.419 ; 1.648 ; 361.053.064 ; 7.620 ; 508.275.983 ; 12.187 ; 1.095.243.378 ; 10.523 ; 5.061.841.607 ; 75.143 ; 4.866.198.651 ; 85.666 ; 9.928.040.258 ; 97.853 ; 11.023.283.636 ;;;;
