Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
27;58.160.789;BANCO SAFRA S.A.; 312 ; 60.100.810 ; 1.259 ; 142.972.343 ; 738 ; 256.677.454 ; 1.304 ; 130.744.392 ; 3.613 ; 590.495.000 ; 152 ; 183.925.060 ; 143 ; 219.127.238 ; 295 ; 403.052.298 ; 3.908 ; 993.547.298 ;
28;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 57 ; 24.442.519 ; 195 ; 28.280.297 ; 117 ; 228.167.470 ; 145 ; 31.651.572 ; 514 ; 312.541.857 ; 78 ; 194.799.501 ; 90 ; 334.144.058 ; 168 ; 528.943.559 ; 682 ; 841.485.416 ;
29;71.027.866;BANCO BS2 S.A.; 281 ; 74.935.902 ; 1.039 ; 41.420.549 ; 4.656 ; 116.442.485 ; 8.696 ; 134.665.357 ; 14.672 ; 367.464.292 ; 45 ; 195.847.133 ; 110 ; 216.962.129 ; 155 ; 412.809.262 ; 14.827 ; 780.273.554 ;
30;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 698 ; 127.354.365 ; 2.062 ; 85.944.867 ; 1.516 ; 77.397.155 ; 3.001 ; 198.128.598 ; 7.277 ; 488.824.985 ; 1.418 ; 171.816.018 ; 3.681 ; 98.125.579 ; 5.099 ; 269.941.597 ; 12.376 ; 758.766.582 ;
31;78.632.767;BANCO OURINVEST S.A.; 506 ; 95.541.473 ; 2.322 ; 140.652.443 ; 2.154 ; 84.767.558 ; 1.633 ; 85.799.608 ; 6.615 ; 406.761.081 ; 748 ; 115.295.801 ; 1.058 ; 89.846.185 ; 1.806 ; 205.141.986 ; 8.421 ; 611.903.067 ;
32;13.059.145;BEXS BANCO DE CÂMBIO S/A; 16 ; 55.174.344 ; 7 ; 245.373 ; 4.183 ; 22.412.048 ; 38.044 ; 196.097.665 ; 42.250 ; 273.929.430 ; 140 ; 182.690.928 ; 59 ; 65.129.678 ; 199 ; 247.820.606 ; 42.449 ; 521.750.036 ;
33;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;; 1 ; 1.553.470 ; 214 ; 208.510.699 ; 226 ; 183.658.980 ; 441 ; 393.723.148 ; 12 ; 87.210.935 ; 10 ; 37.191.029 ; 22 ; 124.401.964 ; 463 ; 518.125.112 ;
34;33.264.668;BANCO XP S.A.; 12 ; 13.377.500 ; 147 ; 17.897.262 ; 89 ; 27.835.072 ; 167 ; 209.277.555 ; 415 ; 268.387.389 ; 37 ; 203.733.928 ; 17 ; 35.008.330 ; 54 ; 238.742.259 ; 469 ; 507.129.648 ;
35;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 64 ; 47.474.584 ; 352 ; 27.289.040 ; 13 ; 151.069.160 ; 205 ; 177.984.533 ; 634 ; 403.817.316 ; 37 ; 71.009.695 ; 21 ; 26.780.354 ; 58 ; 97.790.049 ; 692 ; 501.607.365 ;
36;62.232.889;BANCO DAYCOVAL S.A.; 535 ; 74.771.987 ; 770 ; 50.402.638 ; 35.407 ; 97.764.897 ; 1.231 ; 21.152.467 ; 37.943 ; 244.091.989 ; 219 ; 48.691.615 ; 377 ; 198.803.398 ; 596 ; 247.495.013 ; 38.539 ; 491.587.002 ;
