Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JULHO / 2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
16;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 675 ; 1.878.722.000 ; 553 ; 1.162.866.717 ; 1.228 ; 3.041.588.717 ; 37 ; 947.205.213 ; 54 ; 1.165.212.848 ; 91 ; 2.112.418.060 ; 1.319 ; 5.154.006.777 ;;;;
17;49.336.860;ING BANK N.V.; 51 ; 301.763.364 ;;; 24 ; 60.731.461 ; 43 ; 57.805.804 ; 118 ; 420.300.628 ; 141 ; 1.781.669.583 ; 153 ; 2.037.629.442 ; 294 ; 3.819.299.025 ; 412 ; 4.239.599.654 ;;;;
18;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 90 ; 271.782.860 ; 504 ; 282.902.567 ; 292 ; 466.423.656 ; 806 ; 519.951.953 ; 1.692 ; 1.541.061.037 ; 81 ; 665.524.270 ; 72 ; 668.969.635 ; 153 ; 1.334.493.905 ; 1.845 ; 2.875.554.941 ;;;;
19;59.588.111;BANCO VOTORANTIM S.A.; 84 ; 242.470.173 ; 453 ; 120.767.513 ; 402 ; 242.686.709 ; 1.041 ; 327.687.241 ; 1.980 ; 933.611.637 ; 311 ; 769.221.014 ; 1.300 ; 809.922.034 ; 1.611 ; 1.579.143.048 ; 3.591 ; 2.512.754.685 ;;;;
20;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 3 ; 398.268 ;;; 253 ; 774.294.583 ; 267 ; 426.996.309 ; 523 ; 1.201.689.159 ; 28 ; 451.067.653 ; 37 ; 844.065.276 ; 65 ; 1.295.132.930 ; 588 ; 2.496.822.089 ;;;;
21;28.195.667;BANCO ABC BRASIL S.A.; 85 ; 149.654.458 ; 304 ; 117.752.153 ; 202 ; 83.212.732 ; 305 ; 157.945.495 ; 896 ; 508.564.838 ; 164 ; 697.796.871 ; 323 ; 662.844.914 ; 487 ; 1.360.641.786 ; 1.383 ; 1.869.206.624 ;;;;
22;00.360.305;CAIXA ECONOMICA FEDERAL; 134 ; 43.176.762 ; 112 ; 2.411.861 ; 8.279 ; 33.830.139 ; 1.871 ; 592.252.748 ; 10.396 ; 671.671.509 ; 153 ; 757.380.343 ; 158 ; 387.721.135 ; 311 ; 1.145.101.478 ; 10.707 ; 1.816.772.987 ;;;;
23;58.160.789;BANCO SAFRA S.A.; 117 ; 54.431.357 ; 1.049 ; 141.612.887 ; 963 ; 155.953.103 ; 2.563 ; 465.754.603 ; 4.692 ; 817.751.950 ; 253 ; 478.904.087 ; 226 ; 85.047.362 ; 479 ; 563.951.449 ; 5.171 ; 1.381.703.399 ;;;;
24;68.900.810;BANCO RENDIMENTO S.A.; 32 ; 4.127.796 ; 235 ; 30.264.162 ; 37.650 ; 162.780.661 ; 11.290 ; 190.856.350 ; 49.207 ; 388.028.968 ; 878 ; 489.030.667 ; 12.544 ; 460.017.733 ; 13.422 ; 949.048.400 ; 62.629 ; 1.337.077.369 ;;;;
25;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 198 ; 285.535.016 ; 572 ; 561.880.423 ; 770 ; 847.415.438 ; 54 ; 378.941.574 ; 30 ; 103.450.000 ; 84 ; 482.391.574 ; 854 ; 1.329.807.012 ;;;;
