Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JULHO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
16;28.195.667;BANCO ABC BRASIL S.A.; 143 ; 123.772.273 ; 528 ; 130.026.298 ; 110 ; 689.489.035 ; 565 ; 275.259.740 ; 1.346 ; 1.218.547.345 ; 143 ; 513.094.270 ; 142 ; 1.085.002.464 ; 285 ; 1.598.096.735 ; 1.631 ; 2.816.644.080 ;
17;03.532.415;BANCO ABN AMRO S.A.;;;;; 285 ; 1.248.847.565 ; 314 ; 1.245.369.989 ; 599 ; 2.494.217.554 ; 10 ; 170.000.000 ; 3 ; 55.000.000 ; 13 ; 225.000.000 ; 612 ; 2.719.217.554 ;
18;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 900 ; 68.555.683 ; 2.330 ; 84.853.165 ; 4.982 ; 335.152.024 ; 7.806 ; 609.231.350 ; 16.018 ; 1.097.792.222 ; 1.686 ; 780.630.240 ; 6.168 ; 495.397.913 ; 7.854 ; 1.276.028.153 ; 23.872 ; 2.373.820.375 ;
19;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 73 ; 111.988.220 ; 179 ; 59.829.818 ; 254 ; 233.090.623 ; 326 ; 267.380.138 ; 832 ; 672.288.799 ; 402 ; 895.609.170 ; 410 ; 735.288.542 ; 812 ; 1.630.897.712 ; 1.644 ; 2.303.186.511 ;
20;02.801.938;BANCO MORGAN STANLEY S.A.; 15 ; 76.208.619 ; 4 ; 5.589.764 ; 285 ; 426.932.617 ; 279 ; 887.316.722 ; 583 ; 1.396.047.722 ; 26 ; 603.370.125 ; 14 ; 181.853.614 ; 40 ; 785.223.740 ; 623 ; 2.181.271.462 ;
21;31.872.495;BANCO C6 S.A.; 115 ; 271.131.122 ; 581 ; 112.073.883 ; 6.207 ; 279.222.213 ; 52.163 ; 306.922.899 ; 59.066 ; 969.350.116 ; 163 ; 485.870.526 ; 213 ; 591.632.505 ; 376 ; 1.077.503.031 ; 59.442 ; 2.046.853.147 ;
22;07.679.404;BANCO TOPÁZIO S.A.; 62 ; 22.622.680 ; 277 ; 7.125.625 ; 14.688 ; 249.256.938 ; 53.950 ; 652.345.499 ; 68.977 ; 931.350.742 ; 909 ; 655.616.085 ; 2.429 ; 284.834.250 ; 3.338 ; 940.450.335 ; 72.315 ; 1.871.801.077 ;
23;78.632.767;BANCO OURINVEST S.A.; 988 ; 104.163.998 ; 2.375 ; 136.818.855 ; 19.514 ; 281.815.235 ; 36.018 ; 330.926.049 ; 58.895 ; 853.724.137 ; 714 ; 460.207.070 ; 10.301 ; 352.004.086 ; 11.015 ; 812.211.156 ; 69.910 ; 1.665.935.293 ;
24;33.264.668;BANCO XP S.A.; 441 ; 228.677.499 ; 3.110 ; 429.241.043 ; 1.927 ; 289.185.734 ; 4.289 ; 265.009.428 ; 9.767 ; 1.212.113.705 ; 53 ; 79.771.170 ; 53 ; 79.633.014 ; 106 ; 159.404.184 ; 9.873 ; 1.371.517.888 ;
25;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 97 ; 2.927.430 ; 800 ; 35.960.155 ; 255 ; 31.646.902 ; 11.043 ; 21.534.330 ; 12.195 ; 92.068.818 ; 373 ; 630.491.523 ; 446 ; 610.888.684 ; 819 ; 1.241.380.208 ; 13.014 ; 1.333.449.025 ;
