Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JUNHO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
16;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 10 ; 54.328.245 ; 3 ; 6.085.377 ; 14 ; 40.791.847 ; 38 ; 32.067.282 ; 65 ; 133.272.751 ; 121 ; 1.856.539.864 ; 124 ; 1.862.835.597 ; 245 ; 3.719.375.461 ; 310 ; 3.852.648.212 ;
17;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;;;;; 133 ; 1.229.092.960 ; 155 ; 1.119.645.721 ; 288 ; 2.348.738.681 ; 47 ; 656.769.978 ; 53 ; 766.015.211 ; 100 ; 1.422.785.188 ; 388 ; 3.771.523.870 ;
18;59.588.111;BANCO VOTORANTIM S.A.; 291 ; 207.252.455 ; 677 ; 116.790.240 ; 261 ; 290.218.480 ; 621 ; 236.877.202 ; 1.850 ; 851.138.377 ; 623 ; 1.313.817.919 ; 736 ; 786.262.868 ; 1.359 ; 2.100.080.787 ; 3.209 ; 2.951.219.164 ;
19;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 186 ; 1.412.340.429 ; 157 ; 1.281.584.866 ; 343 ; 2.693.925.296 ; 14 ; 162.193.207 ; 9 ; 62.201.073 ; 23 ; 224.394.280 ; 366 ; 2.918.319.575 ;
20;33.264.668;BANCO XP S.A.; 561 ; 608.687.346 ; 2.364 ; 535.539.000 ; 2.100 ; 319.198.473 ; 3.272 ; 352.018.299 ; 8.297 ; 1.815.443.118 ; 45 ; 519.066.167 ; 40 ; 232.625.774 ; 85 ; 751.691.941 ; 8.382 ; 2.567.135.059 ;
21;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 1.069 ; 87.585.518 ; 2.413 ; 101.984.413 ; 4.740 ; 357.075.547 ; 7.752 ; 807.535.055 ; 15.974 ; 1.354.180.533 ; 1.780 ; 782.884.958 ; 6.167 ; 305.383.437 ; 7.947 ; 1.088.268.395 ; 23.921 ; 2.442.448.929 ;
22;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 117 ; 168.684.539 ; 165 ; 137.862.596 ; 277 ; 339.677.908 ; 376 ; 526.946.332 ; 935 ; 1.173.171.375 ; 197 ; 618.151.587 ; 215 ; 640.440.797 ; 412 ; 1.258.592.384 ; 1.347 ; 2.431.763.759 ;
23;28.195.667;BANCO ABC BRASIL S.A.; 206 ; 138.140.634 ; 347 ; 110.759.987 ; 74 ; 325.899.333 ; 469 ; 234.316.790 ; 1.096 ; 809.116.744 ; 163 ; 832.130.716 ; 140 ; 549.923.925 ; 303 ; 1.382.054.641 ; 1.399 ; 2.191.171.384 ;
24;62.232.889;BANCO DAYCOVAL S.A.; 688 ; 131.525.446 ; 1.346 ; 143.572.283 ; 19.442 ; 440.374.371 ; 3.178 ; 396.984.737 ; 24.654 ; 1.112.456.837 ; 500 ; 563.051.527 ; 1.641 ; 491.565.966 ; 2.141 ; 1.054.617.493 ; 26.795 ; 2.167.074.330 ;
25;31.872.495;BANCO C6 S.A.; 124 ; 226.483.580 ; 593 ; 108.937.047 ; 5.947 ; 181.350.960 ; 39.136 ; 326.563.325 ; 45.800 ; 843.334.913 ; 145 ; 587.401.727 ; 174 ; 570.388.270 ; 319 ; 1.157.789.996 ; 46.119 ; 2.001.124.909 ;
