Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em MAIO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
15;61.146.577;BANCO BARCLAYS S.A.; 1 ; 10.000.000 ;;; 179 ; 1.003.969.208 ; 284 ; 861.745.902 ; 464 ; 1.875.715.111 ; 143 ; 1.020.656.545 ; 192 ; 1.127.246.673 ; 335 ; 2.147.903.218 ; 799 ; 4.023.618.329 ;;;;
16;62.073.200;BANCO MERRILL LYNCH DE INVESTIMENTOS S.A.; 30 ; 111.978.453 ; 16 ; 34.237.160 ; 172 ; 1.131.178.664 ; 179 ; 1.109.075.084 ; 397 ; 2.386.469.361 ; 49 ; 541.102.274 ; 23 ; 699.785.025 ; 72 ; 1.240.887.299 ; 469 ; 3.627.356.660 ;;;;
17;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 147 ; 79.997.157 ; 571 ; 123.625.162 ; 510 ; 188.736.264 ; 459 ; 61.698.700 ; 1.687 ; 454.057.283 ; 333 ; 1.054.140.890 ; 352 ; 1.153.387.464 ; 685 ; 2.207.528.354 ; 2.372 ; 2.661.585.637 ;;;;
18;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 13 ; 81.438.016 ; 141 ; 10.175.592 ; 148 ; 380.513.502 ; 203 ; 397.185.772 ; 505 ; 869.312.882 ; 110 ; 797.848.931 ; 107 ; 948.943.839 ; 217 ; 1.746.792.771 ; 722 ; 2.616.105.653 ;;;;
19;11.703.662;BANCO CONFIDENCE DE C∂MBIO S.A.; 19 ; 465.273 ; 367 ; 15.049.887 ; 146 ; 8.829.117 ; 731 ; 24.653.059 ; 1.263 ; 48.997.336 ; 1.194 ; 1.009.786.991 ; 10.317 ; 984.130.958 ; 11.511 ; 1.993.917.949 ; 12.774 ; 2.042.915.285 ;;;;
20;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 135 ; 586.572.195 ; 154 ; 607.414.392 ; 289 ; 1.193.986.587 ; 9 ; 316.745.000 ; 5 ; 245.000.000 ; 14 ; 561.745.000 ; 303 ; 1.755.731.587 ;;;;
21;58.160.789;BANCO SAFRA S.A.; 215 ; 212.412.186 ; 1.106 ; 186.391.795 ; 813 ; 92.823.093 ; 3.006 ; 545.224.319 ; 5.140 ; 1.036.851.392 ; 109 ; 506.306.440 ; 89 ; 100.511.003 ; 198 ; 606.817.443 ; 5.338 ; 1.643.668.834 ;;;;
22;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ñ BANCO DE INVESTIMENTO; 12 ; 91.233.031 ; 8 ; 77.728.614 ; 15 ; 5.577.243 ; 41 ; 108.437.636 ; 76 ; 282.976.524 ; 65 ; 569.527.119 ; 71 ; 476.050.226 ; 136 ; 1.045.577.345 ; 212 ; 1.328.553.869 ;;;;
23;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 53 ; 290.418.073 ; 28 ; 14.544.626 ; 56 ; 72.341.616 ; 303 ; 106.037.790 ; 440 ; 483.342.105 ; 22 ; 241.166.885 ; 31 ; 531.185.201 ; 53 ; 772.352.086 ; 493 ; 1.255.694.191 ;;;;
24;00.360.305;CAIXA ECONOMICA FEDERAL; 175 ; 33.650.079 ; 215 ; 9.124.189 ; 5.651 ; 363.826.011 ; 4.276 ; 87.578.452 ; 10.317 ; 494.178.730 ; 86 ; 142.779.675 ; 95 ; 444.288.590 ; 181 ; 587.068.264 ; 10.498 ; 1.081.246.994 ;;;;
25;68.900.810;BANCO RENDIMENTO S.A.; 10 ; 595.051 ; 111 ; 6.131.225 ; 3.709 ; 43.226.202 ; 3.347 ; 173.361.455 ; 7.177 ; 223.313.933 ; 386 ; 488.868.818 ; 6.461 ; 342.880.018 ; 6.847 ; 831.748.836 ; 14.024 ; 1.055.062.769 ;;;;
26;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 135 ; 268.102.363 ; 119 ; 14.314.023 ; 254 ; 282.416.386 ; 6 ; 170.272.812 ; 66 ; 428.611.311 ; 72 ; 598.884.123 ; 326 ; 881.300.509 ;;;;
27;58.616.418;BANCO FIBRA S.A.; 37 ; 11.084.120 ; 131 ; 11.805.609 ; 80 ; 193.379.610 ; 165 ; 255.990.556 ; 413 ; 472.259.895 ; 40 ; 248.442.036 ; 29 ; 26.911.031 ; 69 ; 275.353.067 ; 482 ; 747.612.962 ;;;;
28;62.232.889;BANCO DAYCOVAL S.A.; 131 ; 29.452.900 ; 495 ; 51.536.630 ; 536 ; 4.035.893 ; 3.136 ; 79.252.431 ; 4.298 ; 164.277.853 ; 285 ; 325.917.429 ; 541 ; 216.995.628 ; 826 ; 542.913.057 ; 5.124 ; 707.190.910 ;;;;
29;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 107 ; 40.667.396 ; 465 ; 122.718.064 ; 277 ; 160.790.066 ; 461 ; 55.259.555 ; 1.310 ; 379.435.081 ; 69 ; 147.907.853 ; 53 ; 164.426.761 ; 122 ; 312.334.614 ; 1.432 ; 691.769.696 ;;;;
30;15.114.366;BANCO BBM S/A; 37 ; 21.073.490 ;;; 15 ; 2.337.486 ; 36 ; 1.186.640 ; 88 ; 24.597.616 ; 19 ; 213.680.242 ; 37 ; 350.180.590 ; 56 ; 563.860.833 ; 144 ; 588.458.449 ;;;;
31;75.647.891;BANCO CRêDIT AGRICOLE BRASIL S.A.; 14 ; 170.270.226 ;;; 9 ; 2.388.505 ; 49 ; 20.169.619 ; 72 ; 192.828.350 ; 49 ; 114.905.487 ; 59 ; 265.374.443 ; 108 ; 380.279.929 ; 180 ; 573.108.279 ;;;;
