Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em MAIO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
15;58.160.789;BANCO SAFRA S.A.; 250 ; 102.977.999 ; 975 ; 95.505.584 ; 801 ; 260.244.380 ; 2.278 ; 354.039.343 ; 4.304 ; 812.767.306 ; 110 ; 1.900.009.243 ; 101 ; 1.813.721.910 ; 211 ; 3.713.731.153 ; 4.515 ; 4.526.498.459 ;;;;
16;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 630 ; 1.598.061.797 ; 356 ; 891.658.664 ; 986 ; 2.489.720.460 ; 21 ; 471.554.435 ; 54 ; 1.337.804.725 ; 75 ; 1.809.359.160 ; 1.061 ; 4.299.079.620 ;;;;
17;00.360.305;CAIXA ECONOMICA FEDERAL; 204 ; 322.804.304 ; 180 ; 28.578.460 ; 4.476 ; 1.508.249.027 ; 1.701 ; 1.549.854.716 ; 6.561 ; 3.409.486.507 ; 72 ; 115.188.624 ; 90 ; 367.674.180 ; 162 ; 482.862.804 ; 6.723 ; 3.892.349.311 ;;;;
18;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 169 ; 66.366.264 ; 543 ; 106.740.092 ; 441 ; 464.244.088 ; 467 ; 169.425.207 ; 1.620 ; 806.775.650 ; 352 ; 1.024.329.907 ; 322 ; 1.277.411.702 ; 674 ; 2.301.741.609 ; 2.294 ; 3.108.517.259 ;;;;
19;61.820.817;BANCO PAULISTA S.A.; 66 ; 88.935.155 ; 383 ; 24.264.231 ; 608 ; 130.337.609 ; 1.674 ; 135.212.744 ; 2.731 ; 378.749.740 ; 1.184 ; 1.039.906.556 ; 6.985 ; 1.077.214.148 ; 8.169 ; 2.117.120.704 ; 10.900 ; 2.495.870.443 ;;;;
20;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. – BANCO DE INVESTIMENTO; 28 ; 130.381.045 ; 34 ; 32.944.873 ; 40 ; 35.155.975 ; 42 ; 31.501.091 ; 144 ; 229.982.984 ; 95 ; 582.189.920 ; 135 ; 711.132.740 ; 230 ; 1.293.322.660 ; 374 ; 1.523.305.643 ;;;;
21;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 237 ; 548.555.039 ; 141 ; 546.461.324 ; 378 ; 1.095.016.363 ; 3 ; 140.339.770 ; 5 ; 180.342.668 ; 8 ; 320.682.438 ; 386 ; 1.415.698.801 ;;;;
22;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 145 ; 31.060.805 ; 423 ; 135.118.210 ; 312 ; 394.538.952 ; 456 ; 59.334.534 ; 1.336 ; 620.052.500 ; 57 ; 259.974.165 ; 94 ; 490.537.242 ; 151 ; 750.511.407 ; 1.487 ; 1.370.563.907 ;;;;
23;61.146.577;BANCO BARCLAYS S.A.;;; 15 ; 2.156.323 ; 117 ; 201.027.048 ; 114 ; 388.504.852 ; 246 ; 591.688.223 ; 120 ; 453.773.722 ; 166 ; 278.632.792 ; 286 ; 732.406.513 ; 532 ; 1.324.094.736 ;;;;
24;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 43 ; 1.629.556 ; 270 ; 12.580.735 ; 203 ; 77.542.241 ; 867 ; 97.398.223 ; 1.383 ; 189.150.754 ; 1.220 ; 539.726.144 ; 8.366 ; 501.063.504 ; 9.586 ; 1.040.789.648 ; 10.969 ; 1.229.940.402 ;;;;
25;13.059.145;BEXS BANCO DE CÂMBIO S/A; 27 ; 213.677.350 ; 107 ; 3.502.925 ; 167 ; 30.057.050 ; 495 ; 39.450.163 ; 796 ; 286.687.488 ; 174 ; 106.639.276 ; 156 ; 306.492.796 ; 330 ; 413.132.071 ; 1.126 ; 699.819.559 ;;;;
26;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 40 ; 189.614.957 ; 18 ; 20.757.316 ; 54 ; 60.936.812 ; 257 ; 87.893.067 ; 369 ; 359.202.152 ; 11 ; 104.179.386 ; 12 ; 167.148.510 ; 23 ; 271.327.895 ; 392 ; 630.530.047 ;;;;
27;71.027.866;BANCO BONSUCESSO S.A.; 1 ; 61.765 ;;; 39 ; 734.468 ; 81 ; 1.819.432 ; 121 ; 2.615.665 ; 207 ; 312.618.348 ; 141 ; 311.305.000 ; 348 ; 623.923.348 ; 469 ; 626.539.013 ;;;;
