Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Set/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
16;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 60 ; 331.183.131 ; 59 ; 37.813.413 ; 202 ; 1.036.110.094 ; 504 ; 731.220.556 ; 825 ; 2.136.327.194 ; 915 ; 13.366.788.976 ; 966 ; 13.991.855.246 ; 1.881 ; 27.358.644.222 ; 2.706 ; 29.494.971.417 ;
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 932 ; 2.467.926.239 ; 1.730 ; 1.302.355.192 ; 2.687 ; 3.274.566.989 ; 3.138 ; 3.853.822.236 ; 8.487 ; 10.898.670.655 ; 997 ; 7.748.759.407 ; 1.222 ; 8.081.873.992 ; 2.219 ; 15.830.633.399 ; 10.706 ; 26.729.304.055 ;
18;59.588.111;BANCO VOTORANTIM S.A.; 1.952 ; 1.966.800.665 ; 7.216 ; 1.347.617.160 ; 1.978 ; 2.486.043.128 ; 5.246 ; 3.353.770.568 ; 16.392 ; 9.154.231.521 ; 1.917 ; 7.209.368.245 ; 3.685 ; 7.241.296.971 ; 5.602 ; 14.450.665.217 ; 21.994 ; 23.604.896.738 ;
19;28.195.667;BANCO ABC BRASIL S.A.; 1.371 ; 1.600.422.545 ; 4.152 ; 629.502.843 ; 950 ; 3.157.515.168 ; 3.349 ; 2.964.857.650 ; 9.822 ; 8.352.298.207 ; 1.630 ; 6.849.266.788 ; 3.092 ; 7.915.974.761 ; 4.722 ; 14.765.241.549 ; 14.544 ; 23.117.539.756 ;
20;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 4 ; 580.094 ; 2 ; 1.678.995 ; 1.632 ; 5.780.714.862 ; 1.995 ; 6.634.970.843 ; 3.633 ; 12.417.944.794 ; 130 ; 3.597.192.628 ; 116 ; 2.960.200.037 ; 246 ; 6.557.392.665 ; 3.879 ; 18.975.337.459 ;
21;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;;;;; 546 ; 6.867.574.862 ; 534 ; 4.851.483.587 ; 1.080 ; 11.719.058.449 ; 175 ; 1.049.005.566 ; 330 ; 3.148.496.206 ; 505 ; 4.197.501.772 ; 1.585 ; 15.916.560.221 ;
22;53.518.684;BANCO HSBC S.A.; 145 ; 1.870.963.165 ; 1.352 ; 468.723.768 ; 493 ; 966.250.884 ; 1.386 ; 2.912.800.443 ; 3.376 ; 6.218.738.260 ; 1.112 ; 4.638.497.698 ; 1.245 ; 4.005.923.875 ; 2.357 ; 8.644.421.573 ; 5.733 ; 14.863.159.833 ;
23;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 877 ; 2.932.637.769 ; 174 ; 282.818.744 ; 700 ; 1.478.395.601 ; 2.071 ; 1.134.561.187 ; 3.822 ; 5.828.413.301 ; 442 ; 2.244.777.743 ; 520 ; 5.069.777.297 ; 962 ; 7.314.555.040 ; 4.784 ; 13.142.968.341 ;
24;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 6.053 ; 903.836.589 ; 17.400 ; 715.028.940 ; 16.191 ; 1.415.914.811 ; 43.809 ; 4.188.867.166 ; 83.453 ; 7.223.647.507 ; 14.909 ; 4.222.972.008 ; 36.125 ; 1.632.347.325 ; 51.034 ; 5.855.319.333 ; 134.487 ; 13.078.966.840 ;
25;31.872.495;BANCO C6 S.A.; 303 ; 356.672.982 ; 1.776 ; 481.066.872 ; 8.114 ; 1.461.440.646 ; 63.208 ; 1.906.347.932 ; 73.401 ; 4.205.528.433 ; 907 ; 4.186.218.893 ; 1.544 ; 3.601.897.967 ; 2.451 ; 7.788.116.860 ; 75.852 ; 11.993.645.293 ;
26;68.900.810;BANCO RENDIMENTO S.A.; 563 ; 46.886.555 ; 1.495 ; 468.508.622 ; 2.258.521 ; 4.011.548.169 ; 38.849 ; 680.766.581 ; 2.299.428 ; 5.207.709.927 ; 11.939 ; 1.351.537.533 ; 60.962 ; 4.262.274.996 ; 72.901 ; 5.613.812.529 ; 2.372.329 ; 10.821.522.455 ;
27;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 814 ; 43.687.484 ; 6.474 ; 298.891.970 ; 1.987 ; 296.253.992 ; 232.748 ; 323.902.442 ; 242.023 ; 962.735.888 ; 3.198 ; 5.029.732.303 ; 4.273 ; 4.747.786.434 ; 7.471 ; 9.777.518.736 ; 249.494 ; 10.740.254.624 ;
28;49.336.860;ING BANK N.V.; 39 ; 152.608.568 ;;; 124 ; 166.335.963 ; 273 ; 167.127.983 ; 436 ; 486.072.514 ; 168 ; 4.758.291.416 ; 172 ; 4.926.660.646 ; 340 ; 9.684.952.062 ; 776 ; 10.171.024.576 ;
29;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 91 ; 514.878.522 ; 145 ; 281.624.837 ; 236 ; 2.255.677.007 ; 1.026 ; 1.907.066.180 ; 1.498 ; 4.959.246.545 ; 146 ; 2.279.652.760 ; 201 ; 2.743.833.783 ; 347 ; 5.023.486.543 ; 1.845 ; 9.982.733.088 ;
30;58.160.789;BANCO SAFRA S.A.; 2.359 ; 1.172.983.246 ; 10.342 ; 1.208.257.198 ; 7.981 ; 1.347.931.891 ; 12.421 ; 1.851.630.884 ; 33.103 ; 5.580.803.219 ; 2.056 ; 2.464.697.004 ; 1.996 ; 1.909.660.380 ; 4.052 ; 4.374.357.384 ; 37.155 ; 9.955.160.603 ;
31;33.264.668;BANCO XP S.A.; 1.325 ; 1.313.544.215 ; 11.757 ; 1.722.498.159 ; 4.689 ; 1.903.275.705 ; 14.566 ; 1.630.709.842 ; 32.337 ; 6.570.027.921 ; 201 ; 1.404.029.653 ; 116 ; 1.040.511.792 ; 317 ; 2.444.541.445 ; 32.654 ; 9.014.569.365 ;
32;78.632.767;BANCO OURINVEST S.A.; 8.063 ; 785.704.130 ; 20.739 ; 1.414.930.009 ; 69.391 ; 1.353.926.721 ; 60.355 ; 1.214.393.974 ; 158.548 ; 4.768.954.834 ; 5.319 ; 1.855.819.752 ; 21.382 ; 1.315.208.489 ; 26.701 ; 3.171.028.240 ; 185.249 ; 7.939.983.074 ;
33;62.232.889;BANCO DAYCOVAL S.A.; 5.143 ; 846.876.590 ; 9.753 ; 931.326.548 ; 630.527 ; 1.830.804.544 ; 13.849 ; 744.193.277 ; 659.272 ; 4.353.200.960 ; 2.477 ; 1.208.081.744 ; 5.344 ; 2.168.117.421 ; 7.821 ; 3.376.199.165 ; 667.093 ; 7.729.400.125 ;
34;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.362 ; 838.396.590 ; 5.892 ; 857.847.716 ; 3.104 ; 1.440.299.313 ; 4.170 ; 584.274.664 ; 14.528 ; 3.720.818.283 ; 798 ; 1.485.669.246 ; 856 ; 2.275.201.006 ; 1.654 ; 3.760.870.252 ; 16.182 ; 7.481.688.534 ;
35;07.679.404;BANCO TOPÁZIO S.A.; 497 ; 332.551.208 ; 280 ; 36.765.237 ; 2.372 ; 404.656.274 ; 4.095 ; 2.376.121.161 ; 7.244 ; 3.150.093.879 ; 3.433 ; 2.556.264.867 ; 8.299 ; 879.087.266 ; 11.732 ; 3.435.352.133 ; 18.976 ; 6.585.446.012 ;
36;58.616.418;BANCO FIBRA S.A.; 1.036 ; 1.058.400.248 ; 7.502 ; 1.180.375.564 ; 281 ; 225.153.910 ; 1.691 ; 826.954.508 ; 10.510 ; 3.290.884.230 ; 770 ; 1.761.509.273 ; 668 ; 1.005.493.399 ; 1.438 ; 2.767.002.672 ; 11.948 ; 6.057.886.903 ;
37;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 476 ; 592.503.219 ; 1.768 ; 424.735.227 ; 515 ; 399.464.093 ; 1.197 ; 549.948.973 ; 3.956 ; 1.966.651.512 ; 764 ; 1.641.602.058 ; 774 ; 1.677.725.289 ; 1.538 ; 3.319.327.347 ; 5.494 ; 5.285.978.859 ;
38;71.027.866;BANCO BS2 S.A.; 3.342 ; 669.083.895 ; 11.199 ; 527.566.745 ; 63.901 ; 1.215.184.449 ; 150.526 ; 877.024.324 ; 228.968 ; 3.288.859.412 ; 368 ; 435.614.679 ; 539 ; 911.339.214 ; 907 ; 1.346.953.893 ; 229.875 ; 4.635.813.305 ;
39;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 646 ; 788.461.826 ; 3.188 ; 472.731.043 ; 197 ; 824.064.274 ; 2.286 ; 914.244.356 ; 6.317 ; 2.999.501.498 ; 305 ; 643.113.223 ; 229 ; 908.083.796 ; 534 ; 1.551.197.019 ; 6.851 ; 4.550.698.517 ;
40;33.923.798;BANCO MASTER S/A; 1.114 ; 139.958.014 ; 3.166 ; 140.149.420 ; 129.091 ; 945.107.447 ; 419.742 ; 1.223.929.887 ; 553.113 ; 2.449.144.769 ; 857 ; 772.739.565 ; 553 ; 466.549.689 ; 1.410 ; 1.239.289.254 ; 554.523 ; 3.688.434.023 ;
41;45.246.410;BANCO GENIAL S.A.; 340 ; 28.192.122 ; 293 ; 43.416.984 ; 2.072 ; 364.117.346 ; 3.958 ; 1.539.613.993 ; 6.663 ; 1.975.340.445 ; 417 ; 1.264.790.140 ; 58 ; 74.054.450 ; 475 ; 1.338.844.590 ; 7.138 ; 3.314.185.036 ;
42;00.997.185;BANCO B3 S.A.;;;;; 1.073 ; 1.155.421.778 ; 1.051 ; 1.341.243.658 ; 2.124 ; 2.496.665.437 ; 414 ; 408.039.855 ; 319 ; 222.234.789 ; 733 ; 630.274.644 ; 2.857 ; 3.126.940.080 ;
43;13.059.145;BEXS BANCO DE CÂMBIO S/A; 152 ; 438.226.742 ; 125 ; 7.086.540 ; 57.720 ; 362.960.539 ; 589.633 ; 975.158.761 ; 647.630 ; 1.783.432.582 ; 1.116 ; 735.976.426 ; 338 ; 559.769.808 ; 1.454 ; 1.295.746.235 ; 649.084 ; 3.079.178.816 ;
44;62.144.175;BANCO PINE S.A.; 290 ; 152.353.016 ; 2.495 ; 265.090.151 ; 33 ; 22.358.539 ; 416 ; 87.526.108 ; 3.234 ; 527.327.814 ; 185 ; 1.367.789.475 ; 702 ; 1.158.245.462 ; 887 ; 2.526.034.937 ; 4.121 ; 3.053.362.751 ;
45;10.690.848;BANCO DA CHINA BRASIL S.A.; 166 ; 671.366.488 ; 212 ; 62.955.633 ; 171 ; 404.544.396 ; 523 ; 309.818.522 ; 1.072 ; 1.448.685.039 ; 328 ; 324.244.609 ; 382 ; 1.027.451.701 ; 710 ; 1.351.696.310 ; 1.782 ; 2.800.381.349 ;
46;00.360.305;CAIXA ECONOMICA FEDERAL; 1.085 ; 320.260.354 ; 715 ; 53.548.993 ; 77.733 ; 393.530.297 ; 4.732 ; 393.496.048 ; 84.265 ; 1.160.835.693 ; 1.607 ; 485.725.962 ; 1.807 ; 725.938.836 ; 3.414 ; 1.211.664.799 ; 87.679 ; 2.372.500.491 ;
47;15.114.366;BANCO BOCOM BBM S.A.; 133 ; 110.576.894 ; 697 ; 89.030.337 ; 228 ; 417.104.291 ; 1.516 ; 349.872.260 ; 2.574 ; 966.583.782 ; 68 ; 503.814.660 ; 96 ; 856.812.210 ; 164 ; 1.360.626.869 ; 2.738 ; 2.327.210.651 ;
48;30.723.886;BANCO MODAL S.A.; 70 ; 33.900.476 ; 219 ; 38.567.759 ; 1.071 ; 561.883.023 ; 1.013 ; 541.543.143 ; 2.373 ; 1.175.894.401 ; 62 ; 537.405.160 ; 64 ; 561.526.137 ; 126 ; 1.098.931.297 ; 2.499 ; 2.274.825.697 ;
49;07.656.500;BANCO KDB DO BRASIL S.A.; 1 ; 7.000.000 ; 4 ; 6.894.781 ; 815 ; 163.258.464 ; 2.852 ; 895.610.487 ; 3.672 ; 1.072.763.732 ; 560 ; 896.409.231 ; 111 ; 218.960.000 ; 671 ; 1.115.369.231 ; 4.343 ; 2.188.132.963 ;
50;33.042.953;CITIBANK N.A.;;;;; 10 ; 1.722 ; 59 ; 1.201.730 ; 69 ; 1.203.452 ; 3 ; 771.000.000 ; 7 ; 1.321.000.000 ; 10 ; 2.092.000.000 ; 79 ; 2.093.203.452 ;
51;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 222 ; 412.063.424 ;;; 268 ; 101.023.292 ; 27 ; 701.942 ; 517 ; 513.788.658 ; 25 ; 1.096.369.002 ; 30 ; 440.398.195 ; 55 ; 1.536.767.196 ; 572 ; 2.050.555.854 ;
52;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 2.253 ; 64.076.697 ; 16.699 ; 368.467.524 ; 14.666 ; 195.838.821 ; 30.965 ; 334.244.219 ; 64.583 ; 962.627.261 ; 5.145 ; 636.370.972 ; 1.485 ; 193.339.775 ; 6.630 ; 829.710.748 ; 71.213 ; 1.792.338.009 ;
53;36.588.217;WISE BRASIL CORRETORA DE CâMBIO LTDA;;;;; 1.081 ; 816.806 ; 479.246 ; 477.874.614 ; 480.327 ; 478.691.421 ; 7.042 ; 858.267.812 ; 6.896 ; 381.208.597 ; 13.938 ; 1.239.476.409 ; 494.265 ; 1.718.167.830 ;
54;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 6.444 ; 463.747.175 ; 4.738 ; 249.367.643 ; 3.536 ; 74.638.579 ; 3.759 ; 342.459.299 ; 18.477 ; 1.130.212.696 ; 118 ; 293.962.713 ; 136 ; 237.155.701 ; 254 ; 531.118.414 ; 18.731 ; 1.661.331.111 ;
55;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 16 ; 175.013.120 ; 130 ; 97.983.527 ; 55 ; 24.099.941 ; 518 ; 212.371.662 ; 719 ; 509.468.250 ; 44 ; 632.679.013 ; 26 ; 503.633.643 ; 70 ; 1.136.312.656 ; 789 ; 1.645.780.906 ;
56;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 1.846 ; 43.952.666 ; 8.318 ; 261.766.078 ; 61.080 ; 255.487.528 ; 25.634 ; 352.411.957 ; 96.878 ; 913.618.229 ; 7.936 ; 504.212.335 ; 1.961 ; 188.946.584 ; 9.897 ; 693.158.919 ; 106.775 ; 1.606.777.148 ;
57;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 159 ; 32.065.842 ; 419 ; 19.913.513 ; 30.756 ; 718.937.153 ; 1.813 ; 49.234.962 ; 33.147 ; 820.151.469 ; 571 ; 38.613.616 ; 1.475 ; 720.467.673 ; 2.046 ; 759.081.289 ; 35.193 ; 1.579.232.758 ;
58;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 89 ; 22.596.968 ; 1.049 ; 40.059.248 ; 1.688 ; 208.332.870 ; 6.636 ; 524.636.694 ; 9.462 ; 795.625.779 ; 1.710 ; 554.314.599 ; 734 ; 220.519.428 ; 2.444 ; 774.834.027 ; 11.906 ; 1.570.459.806 ;
59;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 13 ; 23.825.354 ; 342 ; 165.031.985 ; 401 ; 190.686.477 ; 774 ; 369.695.358 ; 1.530 ; 749.239.174 ; 389 ; 543.067.399 ; 65 ; 222.842.648 ; 454 ; 765.910.047 ; 1.984 ; 1.515.149.221 ;
60;03.609.817;BANCO CARGILL S.A.; 172 ; 323.562.051 ; 1 ; 19.588 ; 82 ; 101.724.048 ; 296 ; 184.164.738 ; 551 ; 609.470.426 ; 11 ; 390.000.000 ; 16 ; 515.000.000 ; 27 ; 905.000.000 ; 578 ; 1.514.470.426 ;
61;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 7.607 ; 407.499.571 ; 6.590 ; 366.235.956 ; 4.618 ; 203.312.981 ; 3.074 ; 107.951.754 ; 21.889 ; 1.085.000.262 ; 121 ; 105.370.141 ; 55 ; 237.501.621 ; 176 ; 342.871.761 ; 22.065 ; 1.427.872.023 ;
