Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em FEVEREIRO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
16;02.801.938;BANCO MORGAN STANLEY S.A.; 4 ; 52.000.000 ; 5 ; 5.672.643 ; 413 ; 965.084.779 ; 168 ; 363.307.132 ; 590 ; 1.386.064.554 ; 6 ; 210.000.000 ; 26 ; 905.000.000 ; 32 ; 1.115.000.000 ; 622 ; 2.501.064.554 ;
17;33.264.668;BANCO XP S.A.; 261 ; 213.595.320 ; 1.719 ; 269.771.604 ; 1.223 ; 373.662.074 ; 4.461 ; 838.071.976 ; 7.664 ; 1.695.100.974 ; 59 ; 668.461.756 ; 38 ; 86.428.356 ; 97 ; 754.890.112 ; 7.761 ; 2.449.991.086 ;
18;59.588.111;BANCO VOTORANTIM S.A.; 235 ; 310.684.530 ; 845 ; 185.375.225 ; 238 ; 369.423.004 ; 659 ; 353.920.322 ; 1.977 ; 1.219.403.080 ; 270 ; 508.509.499 ; 523 ; 619.938.684 ; 793 ; 1.128.448.183 ; 2.770 ; 2.347.851.263 ;
19;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 924 ; 117.169.851 ; 2.158 ; 77.598.345 ; 2.500 ; 358.552.982 ; 7.367 ; 662.446.954 ; 12.949 ; 1.215.768.133 ; 1.751 ; 573.530.221 ; 5.755 ; 305.345.211 ; 7.506 ; 878.875.432 ; 20.455 ; 2.094.643.565 ;
20;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 8 ; 87.000.000 ; 2 ; 3.321 ; 17 ; 22.167.496 ; 53 ; 34.478.473 ; 80 ; 143.649.290 ; 76 ; 873.929.151 ; 77 ; 952.597.136 ; 153 ; 1.826.526.287 ; 233 ; 1.970.175.577 ;
21;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 211 ; 693.656.079 ; 243 ; 636.354.036 ; 454 ; 1.330.010.116 ; 17 ; 297.280.122 ; 11 ; 182.287.076 ; 28 ; 479.567.198 ; 482 ; 1.809.577.314 ;
22;53.518.684;BANCO HSBC S.A.; 25 ; 245.403.125 ; 168 ; 256.601.603 ; 80 ; 253.949.421 ; 118 ; 118.563.865 ; 391 ; 874.518.012 ; 118 ; 371.582.612 ; 127 ; 548.343.406 ; 245 ; 919.926.018 ; 636 ; 1.794.444.030 ;
23;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 118 ; 178.477.640 ; 174 ; 43.733.670 ; 313 ; 203.733.098 ; 299 ; 279.394.368 ; 904 ; 705.338.775 ; 166 ; 357.440.246 ; 196 ; 546.105.204 ; 362 ; 903.545.450 ; 1.266 ; 1.608.884.225 ;
24;31.872.495;BANCO C6 S.A.; 65 ; 68.906.002 ; 605 ; 72.070.079 ; 1.893 ; 365.404.779 ; 33.997 ; 247.435.672 ; 36.560 ; 753.816.532 ; 124 ; 401.257.581 ; 145 ; 408.583.955 ; 269 ; 809.841.536 ; 36.829 ; 1.563.658.067 ;
25;78.632.767;BANCO OURINVEST S.A.; 1.046 ; 94.998.159 ; 2.054 ; 157.970.739 ; 12.142 ; 120.759.459 ; 53.729 ; 211.308.881 ; 68.971 ; 585.037.238 ; 610 ; 459.494.878 ; 10.440 ; 248.014.432 ; 11.050 ; 707.509.310 ; 80.021 ; 1.292.546.548 ;
