Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Janeiro/2025.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
14;00.038.166;BANCO CENTRAL DO BRASIL; ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 9 ; 4.198.990.999 ; 9 ; 4.000.000.000 ; 18 ; 8.198.990.999 ; 18 ; 8.198.990.999 ;
15;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 622 ; 2.444.189.460 ; 715 ; 2.859.177.370 ; 1.337 ; 5.303.366.830 ; 70 ; 1.341.935.661 ; 52 ; 925.956.816 ; 122 ; 2.267.892.477 ; 1.459 ; 7.571.259.307 ;
16;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 133 ; 15.117.518 ; 1.742 ; 91.235.831 ; 763 ; 33.235.577 ; 10.139 ; 382.177.147 ; 12.777 ; 521.766.073 ; 642 ; 3.730.246.123 ; 729 ; 3.308.948.512 ; 1.371 ; 7.039.194.635 ; 14.148 ; 7.560.960.708 ;
17;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 951 ; 214.260.726 ; 7.957 ; 440.479.265 ; 9.352 ; 1.264.154.896 ; 48.627 ; 1.040.023.963 ; 66.887 ; 2.958.918.850 ; 174 ; 2.181.927.807 ; 230 ; 2.019.074.214 ; 404 ; 4.201.002.021 ; 67.291 ; 7.159.920.871 ;
18;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 360 ; 2.651.497.799 ; 397 ; 2.618.564.824 ; 757 ; 5.270.062.623 ; 14 ; 296.844.774 ; 16 ; 446.000.000 ; 30 ; 742.844.774 ; 787 ; 6.012.907.397 ;
19;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 116 ; 58.762.410 ; 635 ; 142.750.897 ; 249 ; 650.914.635 ; 548 ; 1.014.135.783 ; 1.548 ; 1.866.563.725 ; 685 ; 1.712.207.253 ; 676 ; 1.075.702.689 ; 1.361 ; 2.787.909.942 ; 2.909 ; 4.654.473.667 ;
20;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 2 ; 110.000.000 ; -   ; -   ; 77 ; 1.053.523.556 ; 127 ; 1.359.690.459 ; 206 ; 2.523.214.015 ; 30 ; 982.636.441 ; 23 ; 786.149.829 ; 53 ; 1.768.786.270 ; 259 ; 4.292.000.285 ;
21;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 58 ; 268.217.612 ; 6 ; 4.815.154 ; 78 ; 241.579.283 ; 163 ; 326.099.427 ; 305 ; 840.711.476 ; 128 ; 1.350.110.367 ; 146 ; 1.635.427.516 ; 274 ; 2.985.537.883 ; 579 ; 3.826.249.359 ;
22;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 137 ; 27.714.444 ; 642 ; 17.484.388 ; 33.566 ; 170.004.630 ; 85.299 ; 1.121.983.096 ; 119.644 ; 1.337.186.558 ; 861 ; 1.201.001.350 ; 3.756 ; 263.577.736 ; 4.617 ; 1.464.579.086 ; 124.261 ; 2.801.765.644 ;
23;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 377 ; 61.516.773 ; 1.923 ; 434.216.245 ; 4.941 ; 125.107.344 ; 8.823 ; 400.524.737 ; 16.064 ; 1.021.365.099 ; 182 ; 1.190.202.563 ; 154 ; 528.649.009 ; 336 ; 1.718.851.572 ; 16.400 ; 2.740.216.671 ;
24;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 65 ; 324.346.780 ; 296 ; 58.779.576 ; 194 ; 367.952.432 ; 320 ; 203.314.364 ; 875 ; 954.393.152 ; 283 ; 689.528.345 ; 295 ; 1.082.016.455 ; 578 ; 1.771.544.800 ; 1.453 ; 2.725.937.952 ;
25;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 305 ; 61.171.341 ; 1.227 ; 127.954.391 ; 25.224 ; 311.031.942 ; 16.272 ; 445.979.891 ; 43.028 ; 946.137.565 ; 361 ; 904.576.846 ; 346 ; 725.143.575 ; 707 ; 1.629.720.421 ; 43.735 ; 2.575.857.986 ;
26;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 69 ; 77.554.689 ; 234 ; 64.309.529 ; 109 ; 136.493.168 ; 190 ; 105.895.710 ; 602 ; 384.253.096 ; 184 ; 1.102.074.397 ; 176 ; 1.068.405.292 ; 360 ; 2.170.479.689 ; 962 ; 2.554.732.785 ;
