Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jun/2021;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
22;1.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;589;1.820.954.384;115;253.068.205;448;895.626.942;1.298;790.837.453;2.450;3.760.486.984;238;1.774.331.566;269;3.113.226.568;507;4.887.558.134;2.957;8.648.045.119
23;49.336.860;ING BANK N.V.;39;152.608.568;;;99;160.996.948;211;157.736.960;349;471.342.476;122;3.792.069.254;128;3.957.073.708;250;7.749.142.962;599;8.220.485.437
24;31.872.495;BANCO C6 S.A.;164;157.108.338;1.003;398.463.522;4.033;933.404.087;37.162;1.214.014.250;42.362;2.702.990.197;612;3.004.198.547;1.116;2.471.512.379;1.728;5.475.710.926;44.090;8.178.701.123
25;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.;3.869;591.645.575;11.085;455.992.590;9.779;764.842.462;27.068;2.430.887.157;51.801;4.243.367.785;10.262;2.589.533.062;22.966;1.063.474.634;33.228;3.653.007.696;85.029;7.896.375.481
26;19.307.785;MS BANK S.A. BANCO DE CÂMBIO;564;29.966.448;4.433;193.178.041;1.456;258.463.187;177.176;256.180.596;183.629;737.788.272;2.080;3.543.340.128;2.856;3.388.652.812;4.936;6.931.992.939;188.565;7.669.781.211
27;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;58;268.258.408;118;201.257.198;142;1.699.664.626;709;1.434.378.063;1.027;3.603.558.295;81;1.402.290.998;139;2.132.218.447;220;3.534.509.446;1.247;7.138.067.741
28;68.900.810;BANCO RENDIMENTO S.A.;368;28.221.366;915;262.558.365;1.358.038;2.555.393.386;29.965;453.346.035;1.389.286;3.299.519.152;7.572;931.173.597;40.284;2.787.101.115;47.856;3.718.274.712;1.437.142;7.017.793.864
29;9.274.232;STATE STREET BRASIL S.A. – BANCO COMERCIAL;;;;;296;3.087.465.283;241;1.168.807.616;537;4.256.272.899;80;202.618.156;232;2.205.106.503;312;2.407.724.659;849;6.663.997.558
30;58.160.789;BANCO SAFRA S.A.;1.462;775.722.252;7.064;789.219.752;5.202;734.467.658;8.155;1.296.128.319;21.883;3.595.537.981;1.314;1.685.339.573;1.259;1.089.348.687;2.573;2.774.688.260;24.456;6.370.226.241
31;33.264.668;BANCO XP S.A.;612;621.606.662;5.846;1.051.490.391;2.340;1.490.285.628;8.528;1.014.577.252;17.326;4.177.959.933;147;1.031.990.175;74;848.515.857;221;1.880.506.031;17.547;6.058.465.964
