Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jun/2021;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
90;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO;45;5.554.936;78;1.182.940;9;1.529.714;131;73.054.650;263;81.322.239;16;67.500.000;3;5.000.000;19;72.500.000;282;153.822.239
91;2.038.232;BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB;549;62.247.567;521;13.768.474;279;11.111.001;195;37.838.278;1.544;124.965.321;5;1.423.700;22;24.464.000;27;25.887.700;1.571;150.853.021
92;17.184.037;BANCO MERCANTIL DO BRASIL S.A.;1;62.140;5;1.408.781;261;2.354.196;314;2.558.545;581;6.383.662;112;67.947.103;91;66.391.927;203;134.339.030;784;140.722.692
93;34.265.629;INTERCAM CORRETORA DE CÂMBIO LTDA.;50;1.476.033;873;43.361.064;440;6.004.672;876;10.144.473;2.239;60.986.242;1.408;52.796.788;374;6.755.096;1.782;59.551.883;4.021;120.538.126
94;80.202.872;CORREPARTI CORRETORA DE CAMBIO LTDA;23;544.199;1.167;41.943.109;98;1.381.574;290;1.912.461;1.578;45.781.343;952;43.894.612;109;1.964.611;1.061;45.859.223;2.639;91.640.566
95;71.677.850;FRENTE CORRETORA DE CÂMBIO LTDA.;24;765.294;459;7.448.024;572;10.426.547;3.852;22.542.749;4.907;41.182.615;2.813;32.947.679;280;14.325.968;3.093;47.273.646;8.000;88.456.261
96;77.162.881;DEBONI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;9;126.111;470;22.877.383;805;1.291.734;1.212;7.702.781;2.496;31.998.008;1.047;42.402.876;266;13.280.563;1.313;55.683.439;3.809;87.681.448
97;40.353.377;FOURTRADE CORRETORA DE CÂMBIO LTDA.;31;433.799;863;26.187.728;496;5.552.702;1.262;11.303.509;2.652;43.477.738;561;36.313.785;144;4.808.453;705;41.122.238;3.357;84.599.976
98;34.666.362;MONOPÓLIO CORRETORA DE CÂMBIO LTDA.;;;2;28.500;3.827;1.206.835;1.930;1.314.984;5.759;2.550.319;284;40.688.765;250;40.555.784;534;81.244.548;6.293;83.794.867
99;12.392.983;MIRAE ASSET WEALTH MANAGEMENT (BRAZIL) CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA.;61;2.079.491;979;31.059.044;274;2.917.537;349;5.013.201;1.663;41.069.273;1.027;36.309.066;303;5.234.338;1.330;41.543.404;2.993;82.612.677
100;14.190.547;CAMBIONET CORRETORA DE CÂMBIO LTDA.;111;2.028.920;454;8.674.757;1.278;7.091.174;3.871;23.115.168;5.714;40.910.018;2.978;29.358.991;381;6.719.402;3.359;36.078.393;9.073;76.988.411
101;6.373.777;BOA VIAGEM SOCIEDADE CORRETORA DE CÂMBIO LTDA.;28;722.451;448;12.621.948;1.366;5.004.179;2.697;12.724.805;4.539;31.073.383;2.228;31.386.503;602;11.799.497;2.830;43.186.000;7.369;74.259.383
102;4.913.711;BANCO DO ESTADO DO PARÁ S.A.;336;19.889.601;13;759.502;125;13.916.462;226;1.847.213;700;36.412.777;19;3.087.649;118;33.781.747;137;36.869.396;837;73.282.173
103;19.086.249;EXECUTIVE CORRETORA DE CÂMBIO LTDA.;96;1.327.654;580;15.547.571;1.325;8.215.478;1.794;10.474.232;3.795;35.564.936;1.537;23.776.590;596;7.428.001;2.133;31.204.590;5.928;66.769.526
104;00.000.208;BRB - BANCO DE BRASILIA S.A.;;;12;2.557.306;206;4.773.695;514;23.183.789;732;30.514.790;19;24.763.619;14;4.238.131;33;29.001.751;765;59.516.541
105;94.968.518;DECYSEO CORRETORA DE CAMBIO LTDA.;66;1.858.715;195;5.613.788;457;10.727.619;704;14.101.097;1.422;32.301.218;565;15.398.456;235;8.275.783;800;23.674.239;2.222;55.975.457
106;27.842.177;IB CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.;81;4.855.134;300;5.687.091;289;8.319.169;949;7.096.536;1.619;25.957.931;897;11.145.284;469;11.534.206;1.366;22.679.490;2.985;48.637.421
107;00.795.423;BANCO SEMEAR S.A.;;;194;7.095.567;46;4.653.741;80;12.224.527;320;23.973.835;161;19.055.158;48;5.408.383;209;24.463.541;529;48.437.376
108;17.772.370;VIP'S CORRETORA DE CÂMBIO LTDA.;13;523.432;356;10.740.222;370;2.224.719;1.186;7.373.860;1.925;20.862.233;882;17.228.711;49;1.938.395;931;19.167.106;2.856;40.029.340
109;17.508.380;INVEST CORRETORA DE CÂMBIO LTDA.;;;;;957;6.275.970;1.106;9.354.867;2.063;15.630.837;516;13.193.753;148;10.098.604;664;23.292.357;2.727;38.923.194
110;7.333.726;ONNIX CORRETORA DE CÂMBIO LTDA.;12;293.722;295;12.671.265;107;2.439.827;194;4.515.337;608;19.920.151;293;16.627.861;90;2.174.824;383;18.802.684;991;38.722.835
111;59.615.005;PATACÃO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;11;289.773;237;6.790.056;250;2.064.201;665;9.758.660;1.163;18.902.690;572;16.189.334;84;1.998.535;656;18.187.869;1.819;37.090.559
112;17.904.906;BRX CORRETORA DE CÂMBIO LTDA.;6;140.765;2;17.947;570;1.775.113;1.269;6.457.657;1.847;8.391.483;1.068;16.544.357;361;11.986.793;1.429;28.531.150;3.276;36.922.633
113;4.684.647;ARC CORRETORA DE CAMBIO, ASSOCIADOS GOUVEIA, CAMPEDELLI S.A.;206;642.430;168;2.562.927;1.367;15.022.967;898;5.032.988;2.639;23.261.312;148;1.810.268;263;9.879.805;411;11.690.073;3.050;34.951.385
114;61.444.949;SAGITUR CORRETORA DE CÂMBIO LTDA.;11;344.312;456;9.462.361;513;2.202.057;385;2.373.152;1.365;14.381.882;619;14.632.836;236;5.359.683;855;19.992.519;2.220;34.374.401
115;18.287.740;CONECTA CORRETORA DE CÂMBIO LTDA.;90;2.517.163;134;3.062.070;607;6.824.367;1.046;7.350.482;1.877;19.754.083;474;7.424.939;209;6.411.967;683;13.836.907;2.560;33.590.989
116;33.851.064;DILLON S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS;29;323.735;188;3.442.456;453;5.182.294;986;7.379.920;1.656;16.328.405;1.204;10.181.941;223;4.648.996;1.427;14.830.936;3.083;31.159.341
117;73.302.408;EXIM CORRETORA DE CAMBIO LTDA;39;348.379;228;3.590.262;660;5.062.377;1.243;6.668.321;2.170;15.669.340;810;9.941.668;266;5.075.891;1.076;15.017.559;3.246;30.686.899
118;6.132.348;LABOR SOCIEDADE CORRETORA DE CÂMBIO LTDA.;88;2.810.842;186;4.350.967;1.116;4.297.522;1.403;6.603.435;2.793;18.062.766;654;8.038.777;203;4.484.196;857;12.522.973;3.650;30.585.738
119;15.482.499;TURCÂMBIO - CORRETORA DE CÂMBIO LTDA.;11;130.703;126;2.817.676;1.303;5.908.808;1.660;6.510.553;3.100;15.367.740;573;9.019.226;184;5.752.421;757;14.771.647;3.857;30.139.387
120;17.312.661;AMARIL FRANKLIN CORRETORA DE TÍTULOS E VALORES LTDA;329;9.856.558;60;1.067.573;62;974.555;172;1.806.635;623;13.705.322;207;2.823.191;353;10.780.105;560;13.603.295;1.183;27.308.617
121;25.280.945;AVS CORRETORA DE CÂMBIO LTDA.;60;345.269;367;4.440.857;949;3.573.039;1.483;8.162.425;2.859;16.521.590;882;9.661.155;201;968.250;1.083;10.629.406;3.942;27.150.996
122;13.720.915;BANCO WESTERN UNION DO BRASIL S.A.;;;;;;;6;6.321;6;6.321;7;12.984.030;11;12.935.796;18;25.919.826;24;25.926.147
123;10.853.017;GET MONEY CORRETORA DE CÂMBIO S.A.;;;65;1.020.186;1.280;7.575.057;1.666;10.601.379;3.011;19.196.622;777;4.751.285;70;856.182;847;5.607.467;3.858;24.804.090
124;4.902.979;BANCO DA AMAZONIA S.A.;198;6.026.906;77;3.467.528;68;3.000.567;187;1.168.866;530;13.663.867;21;2.837.504;71;7.264.285;92;10.101.790;622;23.765.657
125;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO;189;5.414.646;68;2.992.374;75;2.238.885;32;486.707;364;11.132.612;6;2.140.073;26;5.552.974;32;7.693.048;396;18.825.659
126;71.590.442;LASTRO RDV DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;26;371.161;246;5.378.587;151;1.038.934;337;2.126.391;760;8.915.074;534;7.489.011;134;1.395.173;668;8.884.184;1.428;17.799.258
127;00.806.535;PLANNER CORRETORA DE VALORES S.A.;2;10.557;3;21.527;97;4.645.308;78;3.212.464;180;7.889.856;80;3.464.563;108;4.885.761;188;8.350.324;368;16.240.180
128;17.635.177;CONEXION CORRETORA DE CÂMBIO LTDA.;;;30;476.971;104;1.066.964;945;6.359.614;1.079;7.903.548;1.015;6.433.470;30;672.043;1.045;7.105.512;2.124;15.009.061
129;61.033.106;BANCO CREFISA S.A.;;;1;3.680.000;18;372.289;41;3.699.743;60;7.752.032;5;6.980.000;;;5;6.980.000;65;14.732.032
130;15.168.152;CONSEGTUR CORRETORA DE CÂMBIO LTDA.;1;27.835;58;1.795.155;86;1.233.632;571;3.141.718;716;6.198.339;615;5.423.641;92;1.748.246;707;7.171.887;1.423;13.370.226
131;17.312.083;H H PICCHIONI S/A CORRETORA DE CAMBIO E VALORES MOBILIARIOS;1;171;9;60.344;549;1.457.981;1.345;5.814.669;1.904;7.333.165;634;4.910.169;21;510.409;655;5.420.578;2.559;12.753.743
132;33.042.151;BANCO DE LA NACION ARGENTINA;14;3.963.188;6;158.617;2.394;1.607.256;73;750.297;2.487;6.479.358;3;80.598;36;5.655.818;39;5.736.415;2.526;12.215.773
133;61.973.863;LEROSA S.A. CORRETORA DE VALORES E CAMBIO;1;1.900;96;2.813.819;34;332.296;87;2.810.119;218;5.958.134;164;5.614.464;27;334.841;191;5.949.305;409;11.907.439
134;73.279.093;PACIFIC INVEST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;2;293.700;9;331.036;1.116;1.250.008;3.302;4.252.598;4.429;6.127.342;470;3.878.794;33;954.200;503;4.832.994;4.932;10.960.336
135;28.650.236;BS2 DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;;;;681;2.265.636;702;3.174.783;1.383;5.440.419;204;2.016.320;277;2.338.768;481;4.355.088;1.864;9.795.507
136;13.673.855;FRAM CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;;60;2.268.875;22;1.240.465;59;1.139.679;141;4.649.019;87;3.408.745;21;1.240.476;108;4.649.221;249;9.298.241
137;28.762.249;SADOC SOCIEDADE CORRETORA DE CÂMBIO LTDA.;29;777.369;24;655.114;376;1.305.779;428;2.158.563;857;4.896.825;170;2.370.652;75;1.664.721;245;4.035.373;1.102;8.932.198
138;59.285.411;BANCO PAN S.A.;;;;;33;523.618;116;3.590.524;149;4.114.142;23;4.020.000;;;23;4.020.000;172;8.134.142
139;15.122.605;LÚMINA CORRETORA DE CÂMBIO LTDA.;;;;;1.182;1.260.221;959;3.288.467;2.141;4.548.688;364;2.130.071;25;102.907;389;2.232.977;2.530;6.781.665
140;8.520.517;SOL CORRETORA DE CÂMBIO LTDA.;;;3;116.992;498;2.205.374;623;1.528.342;1.124;3.850.708;244;1.122.571;154;1.685.400;398;2.807.970;1.522;6.658.678
141;23.010.182;GOOD CORRETORA DE CÂMBIO LTDA;;;;;462;1.108.916;567;2.039.057;1.029;3.147.973;168;1.012.973;8;105.874;176;1.118.846;1.205;4.266.819
142;16.854.999;SINGRATUR CORRETORA DE CÂMBIO LTDA;;;4;23.682;195;655.575;302;1.398.850;501;2.078.108;197;1.346.019;77;588.033;274;1.934.052;775;4.012.159
143;20.155.248;PARMETAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;;;;;981;487.659;1.353;1.665.414;2.334;2.153.073;53;1.154.889;3;19.852;56;1.174.741;2.390;3.327.814
144;89.784.367;EBADIVAL - E. BAGGIO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;;;;;271;426.683;380;1.291.067;651;1.717.750;84;1.157.706;10;285.763;94;1.443.468;745;3.161.218
145;2.332.886;XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;;;;;186;1.404.200;1;1.978;187;1.406.177;2;28.261;166;1.433.483;168;1.461.743;355;2.867.920
146;16.927.221;AMAZÔNIA CORRETORA DE CÂMBIO LTDA.;;;3;47.156;259;303.774;353;1.371.629;615;1.722.559;385;1.110.579;;;385;1.110.579;1.000;2.833.138
147;18.145.784;NUMATUR CORRETORA DE CÂMBIO LTDA.;;;;;253;138.701;573;1.190.642;826;1.329.343;136;1.073.243;1;15.000;137;1.088.243;963;2.417.586
148;21.040.668;GLOBAL EXCHANGE DO BRASIL SOCIEDADE CORRETORA DE CÂMBIO LTDA.;;;;;518;996.880;438;780.143;956;1.777.023;13;65.231;34;290.033;47;355.263;1.003;2.132.286
149;62.280.490;DIBRAN DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;;;1;4.950;22;78.727;263;900.723;286;984.400;160;936.466;13;151.799;173;1.088.264;459;2.072.664
150;15.761.217;CORRETORA DE CÂMBIO AÇORIANA LIMITADA.;;;;;76;111.774;347;868.380;423;980.154;252;795.820;13;43.449;265;839.268;688;1.819.422
151;54.403.563;BANCO ARBI S.A.;3;6.075;1;4.600;;;19;451.331;23;462.006;10;449.710;;;10;449.710;33;911.716
152;00.460.065;COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;;187;147.905;280;403.048;467;550.953;27;271.878;4;77.085;31;348.962;498;899.915
153;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;;6;15.127;92;229.135;98;244.261;74;269.180;6;58.773;80;327.953;178;572.214
154;15.077.393;MEGA CORRETORA DE CÂMBIO LTDA.;;;;;104;95.962;150;194.710;254;290.671;12;114.471;;;12;114.471;266;405.142
155;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES;;;;;6;34.300;20;14.093;26;48.393;;;1;100.000;1;100.000;27;148.393
156;38.486.817;BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;;;;;;;28;111.324;28;111.324;;;;; -   ; -   ;28;111.324
157;33.886.862;MAXIMA S.A. CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS;;;;;;;;; -   ; -   ;6;39.000;6;39.000;12;78.000;12;78.000
158;9.512.542;CODEPE CORRETORA DE VALORES E CÂMBIO S.A.;;;;;6;22.345;15;34.393;21;56.739;5;1.640;;;5;1.640;26;58.378
159;50.585.090;BCV - BANCO DE CRÉDITO E VAREJO S.A.;;;;;2;6.430;15;7.456;17;13.887;1;1.211;;;1;1.211;18;15.098
160;3.443.143;AVIPAM CORRETORA DE CAMBIO LTDA;;;;;;;1;3.000;1;3.000;;;;; -   ; -   ;1;3.000
161;58.497.702;BANCO SMARTBANK S.A.;;;;;;;4;274;4;274;;;;; -   ; -   ;4;274
;;;;;;;;;;;;;;;;;;;;
Total;;;238.151;115.891.274.404;683.683;97.297.534.309;3.042.747;265.386.806.892;2.230.685;268.631.399.235;6.195.266;747.207.014.840;162.244;296.848.753.308;162.244;296.933.741.367;324.488;593.782.494.675;6.519.754;1.340.989.509.514
"Fonte: Sistema Câmbio; Dados extraídos em: 12.07.2021";;;;;;;;;;;;;;;;;;;;
Obs. Os dados para o Mercado Primário incluem os registros de contratos da natureza 99000 e não incluem os registros ACAM204.;;;;;;;;;;;;;;;;;;; ; 
Obs. Os dados para o Mercado Interbancário referem-se a registros de operações de arbitragens (no País e no exterior), operações entre  instituições e operações com o Banco Central do Brasil.;;;;;;;;;;;;;;;;;;; ; 
