Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em FEVEREIRO / 2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;60.701.190;ITAÚ UNIBANCO S.A.; 4.750 ; 4.072.345.368 ; 10.595 ; 2.602.491.401 ; 46.594 ; 4.858.348.158 ; 60.629 ; 4.551.261.382 ; 122.568 ; 16.084.446.310 ; 497 ; 8.579.356.393 ; 575 ; 11.185.175.874 ; 1.072 ; 19.764.532.267 ; 123.640 ; 35.848.978.576 ;
2;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 2.511 ; 1.980.629.133 ; 5.384 ; 2.028.034.383 ; 25.604 ; 4.868.830.747 ; 39.904 ; 3.525.193.846 ; 73.403 ; 12.402.688.109 ; 748 ; 10.025.668.074 ; 692 ; 6.900.907.628 ; 1.440 ; 16.926.575.702 ; 74.843 ; 29.329.263.811 ;
3;33.479.023;BANCO CITIBANK S.A.; 1.158 ; 1.517.901.277 ; 6.372 ; 1.580.482.771 ; 7.602 ; 6.500.940.500 ; 9.085 ; 6.182.133.627 ; 24.217 ; 15.781.458.175 ; 167 ; 4.518.080.510 ; 182 ; 4.272.687.665 ; 349 ; 8.790.768.175 ; 24.566 ; 24.572.226.350 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 268 ; 456.239.771 ; 2.242 ; 647.769.948 ; 1.872 ; 3.088.681.279 ; 2.568 ; 2.947.872.737 ; 6.950 ; 7.140.563.735 ; 456 ; 6.857.893.162 ; 479 ; 6.935.080.566 ; 935 ; 13.792.973.728 ; 7.885 ; 20.933.537.463 ;
5;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 109 ; 223.900.805 ; 421 ; 441.130.782 ; 122 ; 269.756.596 ; 362 ; 340.669.878 ; 1.014 ; 1.275.458.060 ; 393 ; 7.038.817.268 ; 408 ; 6.735.751.838 ; 801 ; 13.774.569.106 ; 1.815 ; 15.050.027.166 ;
6;30.306.294;BANCO BTG PACTUAL S.A.; 233 ; 793.414.734 ; 934 ; 435.440.548 ; 2.354 ; 2.109.927.119 ; 3.279 ; 1.116.902.843 ; 6.800 ; 4.455.685.244 ; 208 ; 4.321.817.664 ; 326 ; 5.242.343.487 ; 534 ; 9.564.161.151 ; 7.334 ; 14.019.846.395 ;
7;60.746.948;BANCO BRADESCO S.A.; 2.942 ; 2.515.206.962 ; 4.636 ; 1.053.764.948 ; 22.925 ; 2.028.288.865 ; 17.806 ; 2.227.605.820 ; 48.309 ; 7.824.866.595 ; 426 ; 1.621.168.613 ; 443 ; 2.437.114.897 ; 869 ; 4.058.283.510 ; 49.178 ; 11.883.150.105 ;
8;00.000.000;BANCO DO BRASIL S.A.; 7.909 ; 3.380.527.225 ; 14.141 ; 2.227.961.463 ; 28.433 ; 1.017.798.502 ; 47.822 ; 1.578.216.850 ; 98.305 ; 8.204.504.041 ; 325 ; 1.049.716.412 ; 326 ; 2.133.615.022 ; 651 ; 3.183.331.435 ; 98.956 ; 11.387.835.476 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 168 ; 460.863.671 ; 537 ; 179.977.196 ; 1.554 ; 1.257.219.223 ; 2.039 ; 1.305.874.539 ; 4.298 ; 3.203.934.628 ; 809 ; 1.955.680.817 ; 817 ; 2.156.931.157 ; 1.626 ; 4.112.611.974 ; 5.924 ; 7.316.546.603 ;
10;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 114 ; 515.974.679 ; 672 ; 359.406.348 ; 514 ; 1.414.544.790 ; 676 ; 2.389.885.423 ; 1.976 ; 4.679.811.238 ; 181 ; 1.270.709.810 ; 96 ; 638.131.468 ; 277 ; 1.908.841.278 ; 2.253 ; 6.588.652.517 ;
11;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;; 1 ; 46.784.494 ; 216 ; 1.478.971.021 ; 183 ; 1.904.095.956 ; 400 ; 3.429.851.472 ; 41 ; 1.261.987.983 ; 28 ; 381.988.608 ; 69 ; 1.643.976.591 ; 469 ; 5.073.828.062 ;
12;60.498.557;BANCO MUFG BRASIL S.A.; 65 ; 15.906.113 ; 258 ; 41.223.141 ; 244 ; 47.920.391 ; 452 ; 109.186.478 ; 1.019 ; 214.236.122 ; 605 ; 2.141.273.770 ; 601 ; 2.025.080.613 ; 1.206 ; 4.166.354.383 ; 2.225 ; 4.380.590.506 ;
13;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;;;;; 267 ; 1.266.856.178 ; 204 ; 957.462.496 ; 471 ; 2.224.318.673 ; 33 ; 368.581.909 ; 47 ; 678.570.870 ; 80 ; 1.047.152.779 ; 551 ; 3.271.471.452 ;
14;59.588.111;BANCO VOTORANTIM S.A.; 310 ; 393.609.239 ; 953 ; 110.887.972 ; 224 ; 340.274.368 ; 648 ; 142.625.633 ; 2.135 ; 987.397.211 ; 428 ; 775.831.479 ; 596 ; 1.269.151.773 ; 1.024 ; 2.044.983.252 ; 3.159 ; 3.032.380.463 ;
15;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 153 ; 101.213.430 ; 174 ; 32.042.211 ; 218 ; 412.779.764 ; 360 ; 194.063.103 ; 905 ; 740.098.507 ; 475 ; 1.171.249.773 ; 478 ; 1.050.089.195 ; 953 ; 2.221.338.968 ; 1.858 ; 2.961.437.476 ;
16;03.532.415;BANCO ABN AMRO S.A.;;;;; 261 ; 1.279.302.829 ; 261 ; 1.112.669.341 ; 522 ; 2.391.972.171 ; 3 ; 90.000.000 ; 9 ; 270.000.000 ; 12 ; 360.000.000 ; 534 ; 2.751.972.171 ;
17;53.518.684;BANCO HSBC S.A.; 17 ; 170.142.277 ; 49 ; 30.417.510 ; 128 ; 238.704.604 ; 298 ; 511.378.930 ; 492 ; 950.643.321 ; 104 ; 729.679.348 ; 102 ; 809.394.621 ; 206 ; 1.539.073.969 ; 698 ; 2.489.717.289 ;
18;07.679.404;BANCO TOPÁZIO S.A.; 133 ; 45.636.363 ; 34 ; 29.975.435 ; 23.434 ; 120.446.351 ; 62.320 ; 917.413.164 ; 85.921 ; 1.113.471.313 ; 946 ; 1.018.937.608 ; 2.456 ; 241.319.618 ; 3.402 ; 1.260.257.226 ; 89.323 ; 2.373.728.539 ;
19;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 1 ; 4.000.000 ;;; 12 ; 75.305.008 ; 36 ; 2.858.157 ; 49 ; 82.163.165 ; 76 ; 1.067.447.876 ; 74 ; 1.149.196.933 ; 150 ; 2.216.644.809 ; 199 ; 2.298.807.974 ;
20;02.801.938;BANCO MORGAN STANLEY S.A.; 24 ; 121.242.189 ; 65 ; 178.991.797 ; 101 ; 524.109.788 ; 156 ; 574.203.186 ; 346 ; 1.398.546.961 ; 9 ; 400.546.875 ; 9 ; 265.546.850 ; 18 ; 666.093.725 ; 364 ; 2.064.640.686 ;
21;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 395 ; 56.770.135 ; 379 ; 51.194.223 ; 6.369 ; 513.605.948 ; 6.699 ; 677.395.026 ; 13.842 ; 1.298.965.332 ; 1.488 ; 456.055.507 ; 4.036 ; 296.352.565 ; 5.524 ; 752.408.072 ; 19.366 ; 2.051.373.403 ;
22;31.872.495;BANCO C6 S.A.; 64 ; 181.728.375 ; 443 ; 58.723.825 ; 9.750 ; 239.405.527 ; 72.161 ; 491.355.949 ; 82.418 ; 971.213.676 ; 86 ; 569.203.352 ; 150 ; 467.286.296 ; 236 ; 1.036.489.648 ; 82.654 ; 2.007.703.324 ;
23;33.264.668;BANCO XP S.A.; 346 ; 211.822.073 ; 1.603 ; 308.808.835 ; 3.334 ; 383.666.547 ; 14.322 ; 384.699.296 ; 19.605 ; 1.288.996.751 ; 73 ; 299.051.697 ; 70 ; 324.057.591 ; 143 ; 623.109.288 ; 19.748 ; 1.912.106.039 ;
24;28.195.667;BANCO ABC BRASIL S.A.; 107 ; 135.463.684 ; 324 ; 83.779.977 ; 175 ; 176.305.811 ; 489 ; 97.996.014 ; 1.095 ; 493.545.486 ; 123 ; 741.365.882 ; 217 ; 528.882.352 ; 340 ; 1.270.248.234 ; 1.435 ; 1.763.793.720 ;
25;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 101 ; 363.636.065 ; 133 ; 839.101.952 ; 234 ; 1.202.738.016 ; 31 ; 549.082.247 ; 11 ; 4.082.667 ; 42 ; 553.164.914 ; 276 ; 1.755.902.931 ;
26;78.632.767;BANCO OURINVEST S.A.; 741 ; 71.447.407 ; 2.077 ; 127.804.073 ; 25.550 ; 254.914.747 ; 33.383 ; 489.245.726 ; 61.751 ; 943.411.953 ; 695 ; 535.749.172 ; 8.995 ; 255.063.362 ; 9.690 ; 790.812.534 ; 71.441 ; 1.734.224.487 ;
27;62.232.889;BANCO DAYCOVAL S.A.; 217 ; 56.012.918 ; 335 ; 107.379.719 ; 45.178 ; 575.193.316 ; 37.677 ; 485.291.167 ; 83.407 ; 1.223.877.121 ; 374 ; 305.689.158 ; 1.228 ; 198.958.021 ; 1.602 ; 504.647.180 ; 85.009 ; 1.728.524.301 ;
28;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 70 ; 311.977.745 ; 9 ; 13.401.625 ; 67 ; 151.508.687 ; 193 ; 299.045.936 ; 339 ; 775.933.994 ; 62 ; 403.723.797 ; 68 ; 542.280.903 ; 130 ; 946.004.701 ; 469 ; 1.721.938.695 ;
29;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 84 ; 3.876.045 ; 763 ; 55.760.838 ; 274 ; 23.478.372 ; 8.969 ; 28.431.864 ; 10.090 ; 111.547.120 ; 323 ; 698.622.121 ; 388 ; 638.083.503 ; 711 ; 1.336.705.625 ; 10.801 ; 1.448.252.745 ;
30;58.160.789;BANCO SAFRA S.A.; 113 ; 53.680.225 ; 409 ; 109.595.303 ; 27.465 ; 416.186.018 ; 15.927 ; 488.260.900 ; 43.914 ; 1.067.722.446 ; 209 ; 242.562.110 ; 244 ; 122.300.561 ; 453 ; 364.862.671 ; 44.367 ; 1.432.585.117 ;
31;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 90 ; 128.925.932 ; 151 ; 51.123.918 ; 81 ; 177.587.813 ; 142 ; 78.537.907 ; 464 ; 436.175.569 ; 85 ; 390.712.211 ; 98 ; 563.326.943 ; 183 ; 954.039.154 ; 647 ; 1.390.214.723 ;
32;68.900.810;BANCO RENDIMENTO S.A.; 8 ; 18.351.975 ; 98 ; 107.929.594 ; 67.076 ; 216.978.834 ; 3.311 ; 68.420.323 ; 70.493 ; 411.680.725 ; 1.301 ; 286.516.164 ; 5.434 ; 349.097.812 ; 6.735 ; 635.613.976 ; 77.228 ; 1.047.294.701 ;
33;15.114.366;BANCO BOCOM BBM S.A.; 5 ; 5.250.610 ; 50 ; 9.858.770 ; 20 ; 21.775.437 ; 183 ; 19.188.724 ; 258 ; 56.073.541 ; 27 ; 466.760.883 ; 31 ; 484.927.440 ; 58 ; 951.688.323 ; 316 ; 1.007.761.864 ;
34;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 4 ; 59.706.232 ; 4 ; 3.171.373 ; 13 ; 91.718.949 ; 133 ; 104.141.437 ; 154 ; 258.737.991 ; 28 ; 396.483.090 ; 24 ; 331.982.588 ; 52 ; 728.465.678 ; 206 ; 987.203.669 ;
35;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 54 ; 108.645.023 ; 203 ; 105.420.988 ; 358 ; 179.105.221 ; 899 ; 111.179.861 ; 1.514 ; 504.351.094 ; 68 ; 154.836.932 ; 68 ; 189.887.225 ; 136 ; 344.724.157 ; 1.650 ; 849.075.250 ;
36;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 21 ; 26.753.821 ;;; 26 ; 5.639.677 ; 2 ; 104.792 ; 49 ; 32.498.291 ;;; 14 ; 800.000.000 ; 14 ; 800.000.000 ; 63 ; 832.498.291 ;
37;58.616.418;BANCO FIBRA S.A.; 64 ; 67.131.601 ; 450 ; 98.837.601 ; 44 ; 7.578.366 ; 379 ; 9.248.371 ; 937 ; 182.795.939 ; 83 ; 337.161.980 ; 78 ; 305.975.468 ; 161 ; 643.137.448 ; 1.098 ; 825.933.386 ;
38;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;;;;; 610.756 ; 273.440.546 ; 584.102 ; 256.905.805 ; 1.194.858 ; 530.346.351 ; 847 ; 126.960.138 ; 852 ; 143.495.502 ; 1.699 ; 270.455.640 ; 1.196.557 ; 800.801.991 ;
39;71.027.866;BANCO BS2 S.A.; 256 ; 67.539.833 ; 883 ; 41.415.196 ; 7.106 ; 168.570.261 ; 8.473 ; 162.430.999 ; 16.718 ; 439.956.289 ; 27 ; 121.280.284 ; 30 ; 148.473.895 ; 57 ; 269.754.180 ; 16.775 ; 709.710.469 ;
40;13.059.145;BEXS BANCO DE CÂMBIO S/A; 22 ; 91.388.204 ; 52 ; 12.079.701 ; 11.463 ; 37.386.056 ; 76.187 ; 142.183.033 ; 87.724 ; 283.036.993 ; 250 ; 130.908.984 ; 39 ; 106.405.682 ; 289 ; 237.314.666 ; 88.013 ; 520.351.659 ;
41;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 52 ; 51.546.295 ; 192 ; 33.172.018 ; 25 ; 134.846.797 ; 140 ; 151.823.518 ; 409 ; 371.388.628 ; 39 ; 74.808.101 ; 31 ; 52.794.528 ; 70 ; 127.602.629 ; 479 ; 498.991.257 ;
42;10.690.848;BANCO DA CHINA BRASIL S.A.; 20 ; 65.650.000 ; 11 ; 33.819.753 ; 27 ; 87.820.329 ; 84 ; 7.649.799 ; 142 ; 194.939.881 ; 40 ; 28.443.380 ; 61 ; 140.436.134 ; 101 ; 168.879.514 ; 243 ; 363.819.394 ;
43;00.360.305;CAIXA ECONOMICA FEDERAL; 106 ; 31.376.093 ; 72 ; 1.942.002 ; 7.001 ; 37.174.893 ; 2.600 ; 88.687.571 ; 9.779 ; 159.180.560 ; 163 ; 94.147.557 ; 174 ; 83.179.784 ; 337 ; 177.327.341 ; 10.116 ; 336.507.900 ;
44;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 5 ; 17.500.000 ;;; 6 ; 329.415 ; 25 ; 81.704.306 ; 36 ; 99.533.721 ; 7 ; 130.171.000 ; 22 ; 66.805.000 ; 29 ; 196.976.000 ; 65 ; 296.509.721 ;
45;33.923.798;BANCO MASTER S/A; 44 ; 44.132.594 ; 97 ; 4.441.287 ; 1.828 ; 37.429.193 ; 243 ; 14.604.596 ; 2.212 ; 100.607.671 ; 13 ; 61.760.900 ; 28 ; 132.406.075 ; 41 ; 194.166.975 ; 2.253 ; 294.774.646 ;
46;00.997.185;BANCO B3 S.A.;;;;; 136 ; 101.272.912 ; 118 ; 100.889.717 ; 254 ; 202.162.629 ; 34 ; 34.013.380 ; 45 ; 34.725.763 ; 79 ; 68.739.143 ; 333 ; 270.901.772 ;
47;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 71 ; 12.160.950 ; 37 ; 1.137.105 ; 3.787 ; 119.555.511 ; 170 ; 6.235.409 ; 4.065 ; 139.088.975 ; 33 ; 2.490.856 ; 151 ; 126.834.899 ; 184 ; 129.325.755 ; 4.249 ; 268.414.730 ;
48;07.656.500;BANCO KDB DO BRASIL S.A.;;; 3 ; 687.895 ; 117 ; 58.051.199 ; 246 ; 24.674.224 ; 366 ; 83.413.318 ; 20 ; 50.411.862 ; 44 ; 83.200.000 ; 64 ; 133.611.862 ; 430 ; 217.025.179 ;
49;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 180 ; 4.318.137 ; 1.420 ; 33.672.992 ; 1.938 ; 39.086.596 ; 3.578 ; 54.344.842 ; 7.116 ; 131.422.568 ; 413 ; 64.462.716 ; 123 ; 19.284.889 ; 536 ; 83.747.606 ; 7.652 ; 215.170.173 ;
50;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 320 ; 58.340.978 ; 256 ; 20.893.292 ; 596 ; 17.551.935 ; 534 ; 13.917.609 ; 1.706 ; 110.703.814 ; 18 ; 14.124.665 ; 54 ; 55.227.789 ; 72 ; 69.352.455 ; 1.778 ; 180.056.268 ;
51;61.024.352;BANCO VOITER S.A.; 14 ; 10.899.694 ; 94 ; 32.539.328 ; 180 ; 29.804.265 ; 571 ; 45.125.354 ; 859 ; 118.368.642 ; 31 ; 47.252.277 ; 23 ; 9.248.641 ; 54 ; 56.500.918 ; 913 ; 174.869.560 ;
52;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 141 ; 3.318.675 ; 574 ; 18.022.701 ; 12.838 ; 25.255.742 ; 31.016 ; 39.026.243 ; 44.569 ; 85.623.361 ; 1.304 ; 44.938.492 ; 108 ; 16.790.093 ; 1.412 ; 61.728.585 ; 45.981 ; 147.351.946 ;
53;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 6 ; 146.141.836 ;;; 6 ; 146.141.836 ;;;;; -   ; -   ; 6 ; 146.141.836 ;
54;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 725 ; 37.662.077 ; 751 ; 38.593.815 ; 755 ; 17.531.590 ; 337 ; 15.272.620 ; 2.568 ; 109.060.102 ; 13 ; 15.938.394 ; 9 ; 17.519.030 ; 22 ; 33.457.424 ; 2.590 ; 142.517.526 ;
55;00.416.968;BANCO INTER S.A.; 9 ; 134.043 ; 6 ; 66.716 ; 12.120 ; 68.956.857 ; 18.347 ; 43.764.585 ; 30.482 ; 112.922.201 ; 5 ; 211.731 ; 9 ; 24.515.247 ; 14 ; 24.726.978 ; 30.496 ; 137.649.180 ;
56;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 118 ; 2.996.792 ; 620 ; 24.177.662 ; 1.640 ; 13.765.414 ; 3.023 ; 22.438.561 ; 5.401 ; 63.378.429 ; 534 ; 46.382.386 ; 70 ; 16.530.254 ; 604 ; 62.912.640 ; 6.005 ; 126.291.068 ;
57;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 4 ; 24.912.894 ;;; 2 ; 200.589 ; 7 ; 9.910 ; 13 ; 25.123.393 ; 7 ; 38.302.456 ; 9 ; 61.908.300 ; 16 ; 100.210.756 ; 29 ; 125.334.149 ;
58;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 10 ; 54.493.608 ; 33 ; 10.267.265 ; 43 ; 64.760.873 ; 3 ; 3.355.222 ; 2 ; 51.100.000 ; 5 ; 54.455.222 ; 48 ; 119.216.095 ;
59;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 19 ; 24.398.986 ; 11 ; 10.010.077 ; 13 ; 1.389.011 ; 69 ; 1.645.025 ; 112 ; 37.443.098 ; 16 ; 29.587.845 ; 18 ; 52.083.363 ; 34 ; 81.671.208 ; 146 ; 119.114.306 ;
60;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 122.090 ; 39.921.963 ; 176.730 ; 50.811.832 ; 298.820 ; 90.733.795 ; 55 ; 15.778.069 ; 131 ; 5.790.766 ; 186 ; 21.568.835 ; 299.006 ; 112.302.630 ;
61;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 10 ; 1.096.131 ; 54 ; 5.460.766 ; 7.167 ; 13.174.040 ; 11.125 ; 28.193.304 ; 18.356 ; 47.924.241 ; 2.896 ; 34.792.231 ; 349 ; 15.421.770 ; 3.245 ; 50.214.000 ; 21.601 ; 98.138.241 ;
62;71.677.850;FRENTE CORRETORA DE CÂMBIO LTDA.;;; 1 ; 51.337 ; 619 ; 17.600.903 ; 2.362 ; 44.909.942 ; 2.982 ; 62.562.181 ; 394 ; 27.494.845 ; 10 ; 4.414.218 ; 404 ; 31.909.063 ; 3.386 ; 94.471.244 ;
63;60.889.128;BANCO SOFISA S.A.; 175 ; 48.574.384 ; 68 ; 4.421.448 ; 20 ; 4.288.728 ; 91 ; 4.038.029 ; 354 ; 61.322.588 ; 9 ; 227.594 ; 17 ; 32.228.385 ; 26 ; 32.455.980 ; 380 ; 93.778.568 ;
64;30.723.886;BANCO MODAL S.A.; 2 ; 377.635 ;;; 136 ; 42.089.023 ; 125 ; 13.250.062 ; 263 ; 55.716.720 ; 2 ; 5.001.524 ; 4 ; 32.271.902 ; 6 ; 37.273.425 ; 269 ; 92.990.145 ;
65;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 119 ; 3.264.426 ; 708 ; 27.465.086 ; 492 ; 7.879.805 ; 1.024 ; 6.683.702 ; 2.343 ; 45.293.018 ; 331 ; 30.243.004 ; 71 ; 7.252.340 ; 402 ; 37.495.343 ; 2.745 ; 82.788.361 ;
