Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em ABRIL / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
16;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 205 ; 521.336.822 ; 793 ; 265.108.051 ; 278 ; 299.618.618 ; 1.150 ; 608.163.122 ; 2.426 ; 1.694.226.613 ; 97 ; 695.193.962 ; 78 ; 296.335.271 ; 175 ; 991.529.233 ; 2.601 ; 2.685.755.845 
17;59.588.111;BANCO VOTORANTIM S.A.; 87 ; 230.972.889 ; 345 ; 70.550.111 ; 239 ; 219.351.809 ; 739 ; 545.265.242 ; 1.410 ; 1.066.140.051 ; 335 ; 783.387.101 ; 777 ; 607.252.268 ; 1.112 ; 1.390.639.369 ; 2.522 ; 2.456.779.420 
18;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 382 ; 1.084.223.814 ; 166 ; 685.102.688 ; 548 ; 1.769.326.502 ; 3 ; 28.084.941 ; 18 ; 525.899.974 ; 21 ; 553.984.915 ; 569 ; 2.323.311.417 
19;61.820.817;BANCO PAULISTA S.A.; 184 ; 92.187.158 ; 470 ; 31.871.754 ; 20.104 ; 160.944.393 ; 1.579 ; 166.707.454 ; 22.337 ; 451.710.759 ; 1.744 ; 616.665.637 ; 12.772 ; 675.494.775 ; 14.516 ; 1.292.160.413 ; 36.853 ; 1.743.871.172 
20;28.195.667;BANCO ABC BRASIL S.A.; 93 ; 51.372.231 ; 169 ; 16.630.346 ; 33 ; 503.865.819 ; 230 ; 506.089.000 ; 525 ; 1.077.957.397 ; 91 ; 191.077.267 ; 143 ; 240.871.137 ; 234 ; 431.948.404 ; 759 ; 1.509.905.800 
21;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 35 ; 132.118.524 ; 9 ; 9.311.196 ; 34 ; 69.391.247 ; 58 ; 3.214.425 ; 136 ; 214.035.393 ; 82 ; 533.887.566 ; 100 ; 722.025.402 ; 182 ; 1.255.912.968 ; 318 ; 1.469.948.361 
22;58.160.789;BANCO SAFRA S.A.; 228 ; 107.243.351 ; 868 ; 69.147.598 ; 1.303 ; 439.757.429 ; 2.426 ; 214.607.261 ; 4.825 ; 830.755.639 ; 183 ; 138.162.203 ; 193 ; 401.613.123 ; 376 ; 539.775.326 ; 5.201 ; 1.370.530.965 
23;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 251 ; 8.980.351 ; 1.456 ; 65.214.050 ; 959 ; 173.269.152 ; 2.928 ; 185.933.556 ; 5.594 ; 433.397.109 ; 878 ; 357.310.345 ; 8.302 ; 283.080.493 ; 9.180 ; 640.390.839 ; 14.774 ; 1.073.787.948 
24;68.900.810;BANCO RENDIMENTO S.A.; 18 ; 2.363.085 ; 124 ; 15.256.055 ; 44.410 ; 161.082.387 ; 2.599 ; 154.337.374 ; 47.151 ; 333.038.901 ; 563 ; 350.195.297 ; 9.296 ; 336.382.029 ; 9.859 ; 686.577.326 ; 57.010 ; 1.019.616.226 
25;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 24 ; 104.052.471 ; 45 ; 354.792.745 ; 69 ; 458.845.215 ; 41 ; 353.121.550 ; 13 ; 102.350.447 ; 54 ; 455.471.997 ; 123 ; 914.317.212 
26;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 202 ; 93.993.574 ; 660 ; 148.678.131 ; 421 ; 60.691.498 ; 719 ; 138.937.180 ; 2.002 ; 442.300.383 ; 111 ; 252.073.966 ; 101 ; 117.538.468 ; 212 ; 369.612.434 ; 2.214 ; 811.912.816 
27;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 40 ; 50.383.518 ; 48 ; 6.871.232 ; 15 ; 228.683.876 ; 74 ; 39.762.987 ; 177 ; 325.701.612 ; 8 ; 181.609.671 ; 16 ; 258.610.016 ; 24 ; 440.219.687 ; 201 ; 765.921.299 
28;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 107 ; 302.508.906 ; 23 ; 4.814.317 ; 93 ; 39.190.761 ; 251 ; 97.038.932 ; 474 ; 443.552.916 ; 8 ; 6.423.411 ; 17 ; 281.414.521 ; 25 ; 287.837.932 ; 499 ; 731.390.848 
29;62.232.889;BANCO DAYCOVAL S.A.; 483 ; 72.535.999 ; 583 ; 45.680.391 ; 620 ; 5.271.213 ; 2.385 ; 51.830.931 ; 4.071 ; 175.318.534 ; 490 ; 281.749.819 ; 2.272 ; 216.568.839 ; 2.762 ; 498.318.657 ; 6.833 ; 673.637.191 
30;78.632.767;BANCO OURINVEST S.A.; 139 ; 11.773.820 ; 593 ; 30.826.664 ; 493 ; 48.223.136 ; 1.267 ; 88.096.986 ; 2.492 ; 178.920.606 ; 448 ; 270.541.452 ; 9.068 ; 210.996.294 ; 9.516 ; 481.537.746 ; 12.008 ; 660.458.352 
31;13.059.145;BEXS BANCO DE CÂMBIO S/A; 33 ; 163.242.617 ; 48 ; 1.886.766 ; 134 ; 17.546.625 ; 417 ; 103.017.942 ; 632 ; 285.693.951 ; 175 ; 104.401.667 ; 96 ; 181.620.469 ; 271 ; 286.022.135 ; 903 ; 571.716.086 
32;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 49 ; 103.640.458 ;;; 91 ; 89.342.274 ; 26 ; 58.586.837 ; 166 ; 251.569.569 ; 15 ; 313.016.163 ;;; 15 ; 313.016.163 ; 181 ; 564.585.732 
33;71.027.866;BANCO BONSUCESSO S.A.; 40 ; 13.921.868 ; 226 ; 12.037.034 ; 448 ; 80.283.859 ; 821 ; 107.293.225 ; 1.535 ; 213.535.986 ; 777 ; 184.362.239 ; 2.627 ; 159.439.839 ; 3.404 ; 343.802.078 ; 4.939 ; 557.338.064 
34;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 74 ; 113.576.881 ; 177 ; 34.044.106 ; 108 ; 55.207.033 ; 96 ; 59.954.785 ; 455 ; 262.782.805 ; 79 ; 118.745.201 ; 82 ; 143.187.033 ; 161 ; 261.932.234 ; 616 ; 524.715.039 
35;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 49 ; 11.346.730 ; 155 ; 12.164.063 ; 11 ; 15.373.294 ; 229 ; 143.360.681 ; 444 ; 182.244.768 ; 40 ; 227.949.695 ; 14 ; 103.600.390 ; 54 ; 331.550.085 ; 498 ; 513.794.853 
36;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 55 ; 3.077.041 ; 431 ; 14.530.850 ; 127 ; 21.116.709 ; 33.593 ; 88.757.715 ; 34.206 ; 127.482.315 ; 220 ; 221.222.920 ; 309 ; 140.768.106 ; 529 ; 361.991.025 ; 34.735 ; 489.473.340 
37;00.360.305;CAIXA ECONOMICA FEDERAL; 193 ; 32.962.714 ; 167 ; 4.943.189 ; 7.226 ; 73.547.803 ; 1.865 ; 98.010.693 ; 9.451 ; 209.464.399 ; 104 ; 121.459.504 ; 114 ; 130.374.991 ; 218 ; 251.834.495 ; 9.669 ; 461.298.894 
38;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;;;;; 1 ; 1.725 ; 11 ; 266.530 ; 12 ; 268.255 ; 7 ; 190.000.000 ; 7 ; 189.000.000 ; 14 ; 379.000.000 ; 26 ; 379.268.255 
39;58.616.418;BANCO FIBRA S.A.; 67 ; 45.411.001 ; 533 ; 76.503.537 ; 70 ; 29.467.367 ; 407 ; 24.668.407 ; 1.077 ; 176.050.312 ; 35 ; 88.429.806 ; 27 ; 55.153.398 ; 62 ; 143.583.205 ; 1.139 ; 319.633.517 
40;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 197 ; 96.821.375 ; 256 ; 41.656.825 ; 453 ; 138.478.200 ; 15 ; 58.700.000 ; 87 ; 115.100.000 ; 102 ; 173.800.000 ; 555 ; 312.278.200 
41;03.532.415;BANCO ABN AMRO S.A.; 8 ; 54.974.297 ;;; 45 ; 86.977.423 ; 45 ; 93.922.760 ; 98 ; 235.874.480 ; 2 ; 2.421.583 ; 10 ; 51.174.064 ; 12 ; 53.595.647 ; 110 ; 289.470.128 
