Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em NOVEMBRO / 2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
16;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 194 ; 1.363.202.473 ; 243 ; 1.753.425.768 ; 437 ; 3.116.628.242 ; 80 ; 1.308.423.798 ; 55 ; 391.431.723 ; 135 ; 1.699.855.521 ; 572 ; 4.816.483.762 ;;;;
17;60.498.557;BANCO MUFG BRASIL S.A.; 108 ; 64.369.019 ; 379 ; 56.580.529 ; 372 ; 258.734.234 ; 401 ; 419.630.059 ; 1.260 ; 799.313.841 ; 388 ; 1.660.528.700 ; 394 ; 1.694.644.418 ; 782 ; 3.355.173.118 ; 2.042 ; 4.154.486.960 ;;;;
18;59.588.111;BANCO VOTORANTIM S.A.; 66 ; 161.331.614 ; 578 ; 95.354.756 ; 204 ; 384.431.894 ; 678 ; 322.962.495 ; 1.526 ; 964.080.760 ; 322 ; 816.754.976 ; 450 ; 943.864.716 ; 772 ; 1.760.619.692 ; 2.298 ; 2.724.700.452 ;;;;
19;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 122 ; 212.147.482 ; 419 ; 273.905.258 ; 336 ; 386.083.597 ; 506 ; 230.750.182 ; 1.383 ; 1.102.886.519 ; 110 ; 387.702.785 ; 119 ; 403.644.096 ; 229 ; 791.346.881 ; 1.612 ; 1.894.233.400 ;;;;
20;28.195.667;BANCO ABC BRASIL S.A.; 79 ; 117.376.466 ; 205 ; 35.332.853 ; 76 ; 251.495.930 ; 313 ; 90.420.617 ; 673 ; 494.625.867 ; 194 ; 569.561.700 ; 253 ; 741.761.764 ; 447 ; 1.311.323.465 ; 1.120 ; 1.805.949.331 ;;;;
21;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 461 ; 520.527.709 ; 468 ; 471.311.943 ; 929 ; 991.839.652 ; 23 ; 254.998.218 ; 28 ; 281.987.251 ; 51 ; 536.985.469 ; 980 ; 1.528.825.121 ;;;;
22;78.632.767;BANCO OURINVEST S.A.; 270 ; 20.852.751 ; 1.534 ; 90.070.174 ; 1.355 ; 75.032.053 ; 1.948 ; 152.524.841 ; 5.107 ; 338.479.819 ; 850 ; 527.564.686 ; 8.538 ; 389.181.666 ; 9.388 ; 916.746.351 ; 14.495 ; 1.255.226.171 ;;;;
23;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 4 ; 47.846.512 ; 5 ; 145.476 ; 39 ; 66.863.702 ; 49 ; 3.027.120 ; 97 ; 117.882.810 ; 56 ; 432.642.443 ; 56 ; 534.285.871 ; 112 ; 966.928.314 ; 209 ; 1.084.811.124 ;;;;
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 112 ; 207.773.947 ; 23 ; 13.496.985 ; 67 ; 79.682.517 ; 202 ; 100.066.203 ; 404 ; 401.019.652 ; 11 ; 14.105.428 ; 20 ; 509.068.667 ; 31 ; 523.174.095 ; 435 ; 924.193.746 ;;;;
25;68.900.810;BANCO RENDIMENTO S.A.; 31 ; 1.770.724 ; 208 ; 18.864.620 ; 80.714 ; 228.080.914 ; 9.790 ; 167.535.780 ; 90.743 ; 416.252.038 ; 900 ; 205.029.938 ; 7.657 ; 265.459.224 ; 8.557 ; 470.489.162 ; 99.300 ; 886.741.200 ;;;;
