Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em AGOSTO / 2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
16;60.498.557;BANCO MUFG BRASIL S.A.; 82 ; 195.892.456 ; 301 ; 154.639.131 ; 308 ; 285.201.026 ; 547 ; 319.760.207 ; 1.238 ; 955.492.820 ; 676 ; 1.796.676.982 ; 679 ; 1.767.741.960 ; 1.355 ; 3.564.418.942 ; 2.593 ; 4.519.911.762 ;;
17;31.872.495;BANCO C6 S.A.; 106 ; 126.649.328 ; 600 ; 114.778.410 ; 1.619 ; 819.992.907 ; 3.778 ; 625.851.336 ; 6.103 ; 1.687.271.981 ; 121 ; 935.136.756 ; 180 ; 1.162.528.117 ; 301 ; 2.097.664.873 ; 6.404 ; 3.784.936.854 ;;
18;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO; 178 ; 7.132.610 ; 967 ; 114.082.600 ; 474 ; 96.339.124 ; 7.696 ; 102.582.326 ; 9.315 ; 320.136.660 ; 452 ; 1.723.495.629 ; 607 ; 1.610.246.227 ; 1.059 ; 3.333.741.856 ; 10.374 ; 3.653.878.516 ;;
19;78.632.767;BANCO OURINVEST S.A.; 859 ; 92.031.952 ; 2.644 ; 149.255.671 ; 33.536 ; 610.244.688 ; 40.545 ; 1.245.012.608 ; 77.584 ; 2.096.544.919 ; 1.206 ; 1.118.849.084 ; 12.910 ; 332.249.877 ; 14.116 ; 1.451.098.961 ; 91.700 ; 3.547.643.880 ;;
20;07.679.404;BANCO TOPÁZIO S.A.; 202 ; 42.028.663 ; 494 ; 9.260.643 ; 32.345 ; 134.712.707 ; 71.718 ; 1.304.338.549 ; 104.759 ; 1.490.340.562 ; 1.061 ; 1.435.290.806 ; 3.528 ; 296.787.103 ; 4.589 ; 1.732.077.909 ; 109.348 ; 3.222.418.471 ;;
21;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 93 ; 226.614.602 ; 4 ; 4.538.821 ; 80 ; 279.988.464 ; 171 ; 270.446.061 ; 348 ; 781.587.948 ; 79 ; 847.037.680 ; 85 ; 956.557.458 ; 164 ; 1.803.595.138 ; 512 ; 2.585.183.086 ;;
22;33.264.668;BANCO XP S.A.; 387 ; 337.294.796 ; 2.412 ; 461.645.318 ; 5.509 ; 326.073.105 ; 17.736 ; 647.519.453 ; 26.044 ; 1.772.532.672 ; 87 ; 616.768.544 ; 111 ; 186.026.467 ; 198 ; 802.795.011 ; 26.242 ; 2.575.327.683 ;;
23;02.801.938;BANCO MORGAN STANLEY S.A.; 7 ; 316.000.000 ; 26 ; 61.667.443 ; 189 ; 863.230.987 ; 153 ; 443.539.923 ; 375 ; 1.684.438.353 ; 5 ; 130.524.798 ; 25 ; 746.224.125 ; 30 ; 876.748.923 ; 405 ; 2.561.187.276 ;;
24;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 200 ; 142.980.208 ; 634 ; 64.452.371 ; 5.418 ; 579.328.056 ; 8.172 ; 822.579.215 ; 14.424 ; 1.609.339.850 ; 1.662 ; 533.114.175 ; 5.140 ; 372.060.014 ; 6.802 ; 905.174.189 ; 21.226 ; 2.514.514.039 ;;
25;28.195.667;BANCO ABC BRASIL S.A.; 124 ; 52.567.257 ; 310 ; 55.826.981 ; 125 ; 243.392.137 ; 550 ; 213.868.378 ; 1.109 ; 565.654.753 ; 122 ; 1.071.422.203 ; 187 ; 848.512.465 ; 309 ; 1.919.934.668 ; 1.418 ; 2.485.589.421 ;;
26;15.114.366;BANCO BOCOM BBM S.A.; 45 ; 34.398.125 ; 44 ; 23.676.834 ; 40 ; 252.574.709 ; 227 ; 84.616.944 ; 356 ; 395.266.612 ; 99 ; 847.148.599 ; 109 ; 1.047.467.418 ; 208 ; 1.894.616.017 ; 564 ; 2.289.882.629 ;;
27;53.518.684;BANCO HSBC S.A.; 54 ; 364.273.453 ; 55 ; 28.250.167 ; 210 ; 316.813.649 ; 337 ; 141.209.723 ; 656 ; 850.546.992 ; 134 ; 441.723.621 ; 148 ; 943.311.552 ; 282 ; 1.385.035.173 ; 938 ; 2.235.582.165 ;;
28;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 133 ; 213.685.078 ; 193 ; 40.568.236 ; 96 ; 86.413.610 ; 190 ; 103.331.718 ; 612 ; 443.998.642 ; 140 ; 584.666.407 ; 154 ; 732.226.000 ; 294 ; 1.316.892.407 ; 906 ; 1.760.891.049 ;;
