Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mai/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
16;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 344 ; 689.530.630 ; 1.734 ; 618.817.255 ; 580 ; 1.631.725.771 ; 1.501 ; 2.550.726.945 ; 4.159 ; 5.490.800.602 ; 807 ; 6.367.389.449 ; 973 ; 5.301.105.033 ; 1.780 ; 11.668.494.482 ; 5.939 ; 17.159.295.084 ;
17;59.588.111;BANCO VOTORANTIM S.A.; 982 ; 1.213.467.964 ; 4.216 ; 780.016.276 ; 1.080 ; 1.257.186.004 ; 2.915 ; 2.083.286.706 ; 9.193 ; 5.333.956.950 ; 898 ; 3.805.183.045 ; 1.864 ; 4.419.650.910 ; 2.762 ; 8.224.833.955 ; 11.955 ; 13.558.790.904 ;
18;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 511 ; 1.306.112.015 ; 958 ; 645.103.296 ; 1.482 ; 1.679.336.234 ; 1.696 ; 1.690.991.672 ; 4.647 ; 5.321.543.218 ; 591 ; 3.658.143.237 ; 783 ; 4.047.563.221 ; 1.374 ; 7.705.706.458 ; 6.021 ; 13.027.249.676 ;
19;53.518.684;BANCO HSBC S.A.; 68 ; 847.250.036 ; 767 ; 240.014.072 ; 250 ; 503.750.809 ; 753 ; 1.996.863.846 ; 1.838 ; 3.587.878.762 ; 562 ; 3.115.027.290 ; 625 ; 2.194.726.794 ; 1.187 ; 5.309.754.084 ; 3.025 ; 8.897.632.846 ;
20;28.195.667;BANCO ABC BRASIL S.A.; 663 ; 582.627.259 ; 2.080 ; 268.470.003 ; 621 ; 688.597.494 ; 1.699 ; 760.418.535 ; 5.063 ; 2.300.113.290 ; 891 ; 2.857.408.480 ; 1.961 ; 3.725.784.689 ; 2.852 ; 6.583.193.169 ; 7.915 ; 8.883.306.459 ;
21;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 3 ; 457.241 ; 2 ; 1.678.995 ; 885 ; 2.499.575.757 ; 1.184 ; 2.787.227.421 ; 2.074 ; 5.288.939.414 ; 57 ; 1.508.267.530 ; 61 ; 1.429.293.617 ; 118 ; 2.937.561.147 ; 2.192 ; 8.226.500.561 ;
22;49.336.860;ING BANK N.V.; 39 ; 152.608.568 ;;; 90 ; 160.303.450 ; 188 ; 77.375.979 ; 317 ; 390.287.996 ; 100 ; 3.300.249.139 ; 110 ; 3.520.391.700 ; 210 ; 6.820.640.839 ; 527 ; 7.210.928.835 ;
23;31.872.495;BANCO C6 S.A.; 122 ; 120.814.917 ; 776 ; 374.952.441 ; 3.032 ; 698.564.965 ; 24.808 ; 1.002.416.419 ; 28.738 ; 2.196.748.741 ; 514 ; 2.438.313.297 ; 876 ; 1.880.131.130 ; 1.390 ; 4.318.444.427 ; 30.128 ; 6.515.193.168 ;
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 508 ; 1.564.325.911 ; 92 ; 147.140.496 ; 366 ; 573.874.021 ; 1.056 ; 717.127.768 ; 2.022 ; 3.002.468.196 ; 191 ; 1.215.295.314 ; 214 ; 2.163.710.492 ; 405 ; 3.379.005.807 ; 2.427 ; 6.381.474.003 ;
25;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 3.342 ; 513.883.401 ; 8.920 ; 366.154.351 ; 7.910 ; 618.738.669 ; 20.850 ; 1.867.966.413 ; 41.022 ; 3.366.742.834 ; 8.681 ; 1.879.713.469 ; 17.820 ; 778.843.239 ; 26.501 ; 2.658.556.709 ; 67.523 ; 6.025.299.542 ;
26;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 495 ; 25.800.592 ; 3.642 ; 156.919.667 ; 1.277 ; 251.848.119 ; 156.401 ; 225.778.182 ; 161.815 ; 660.346.560 ; 1.669 ; 2.729.216.226 ; 2.302 ; 2.627.014.832 ; 3.971 ; 5.356.231.058 ; 165.786 ; 6.016.577.617 ;
