Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em ABRIL / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
15;59.588.111;BANCO VOTORANTIM S.A.; 111 ; 225.352.319 ; 1.557 ; 382.935.938 ; 238 ; 470.730.078 ; 958 ; 575.083.369 ; 2.864 ; 1.654.101.703 ; 177 ; 1.030.709.362 ; 531 ; 668.406.218 ; 708 ; 1.699.115.580 ; 3.572 ; 3.353.217.283 ;;;;
16;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 97 ; 48.280.984 ; 576 ; 91.905.658 ; 539 ; 319.916.291 ; 500 ; 168.804.531 ; 1.712 ; 628.907.464 ; 359 ; 995.799.753 ; 362 ; 1.108.396.571 ; 721 ; 2.104.196.325 ; 2.433 ; 2.733.103.788 ;;;;
17;58.160.789;BANCO SAFRA S.A.; 197 ; 127.221.815 ; 1.390 ; 217.903.936 ; 749 ; 367.942.067 ; 2.721 ; 345.946.067 ; 5.057 ; 1.059.013.885 ; 127 ; 759.456.973 ; 113 ; 697.473.615 ; 240 ; 1.456.930.589 ; 5.297 ; 2.515.944.474 ;;;;
18;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 162 ; 842.957.782 ; 144 ; 873.868.489 ; 306 ; 1.716.826.271 ; 12 ; 351.683.432 ; 15 ; 342.547.946 ; 27 ; 694.231.378 ; 333 ; 2.411.057.649 ;;;;
19;61.820.817;BANCO PAULISTA S.A.; 64 ; 13.028.943 ; 356 ; 27.625.090 ; 613 ; 85.382.634 ; 1.978 ; 147.308.821 ; 3.011 ; 273.345.488 ; 1.023 ; 962.544.854 ; 8.595 ; 888.246.502 ; 9.618 ; 1.850.791.356 ; 12.629 ; 2.124.136.843 ;;;;
20;61.146.577;BANCO BARCLAYS S.A.;;; 7 ; 195.618 ; 109 ; 606.049.209 ; 126 ; 164.010.974 ; 242 ; 770.255.800 ; 108 ; 390.183.543 ; 155 ; 768.681.744 ; 263 ; 1.158.865.287 ; 505 ; 1.929.121.088 ;;;;
21;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. – BANCO DE INVESTIMENTO; 19 ; 92.824.751 ; 20 ; 28.585.386 ; 31 ; 8.840.307 ; 47 ; 54.592.006 ; 117 ; 184.842.450 ; 112 ; 578.532.015 ; 139 ; 639.039.235 ; 251 ; 1.217.571.249 ; 368 ; 1.402.413.699 ;;;;
22;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 34 ; 9.186.956 ; 361 ; 19.434.961 ; 181 ; 15.957.447 ; 941 ; 21.734.356 ; 1.517 ; 66.313.720 ; 1.298 ; 662.490.052 ; 9.830 ; 645.302.879 ; 11.128 ; 1.307.792.932 ; 12.645 ; 1.374.106.651 ;;;;
23;00.360.305;CAIXA ECONOMICA FEDERAL; 221 ; 239.597.185 ; 195 ; 5.756.748 ; 4.658 ; 270.266.574 ; 1.991 ; 297.151.556 ; 7.065 ; 812.772.064 ; 82 ; 123.182.988 ; 98 ; 329.726.899 ; 180 ; 452.909.887 ; 7.245 ; 1.265.681.951 ;;;;
24;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 131 ; 83.990.775 ; 470 ; 118.796.350 ; 330 ; 236.322.762 ; 504 ; 203.130.653 ; 1.435 ; 642.240.539 ; 62 ; 283.998.420 ; 104 ; 282.254.968 ; 166 ; 566.253.388 ; 1.601 ; 1.208.493.927 ;;;;
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 42 ; 203.145.347 ; 26 ; 19.085.214 ; 68 ; 161.878.733 ; 211 ; 67.589.677 ; 347 ; 451.698.972 ; 12 ; 196.768.647 ; 17 ; 239.795.660 ; 29 ; 436.564.307 ; 376 ; 888.263.279 ;;;;
26;62.232.889;BANCO DAYCOVAL S.A.; 205 ; 26.496.816 ; 405 ; 37.306.174 ; 435 ; 71.805.277 ; 2.266 ; 72.512.580 ; 3.311 ; 208.120.846 ; 299 ; 312.547.729 ; 1.485 ; 316.619.424 ; 1.784 ; 629.167.154 ; 5.095 ; 837.288.000 ;;;;
27;68.900.810;BANCO RENDIMENTO S.A.; 4 ; 830.000 ; 66 ; 3.299.417 ; 5.714 ; 43.531.756 ; 1.815 ; 116.881.278 ; 7.599 ; 164.542.451 ; 365 ; 287.408.714 ; 7.519 ; 232.155.643 ; 7.884 ; 519.564.356 ; 15.483 ; 684.106.807 ;;;;
28;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 3 ; 400.848 ;;; 104 ; 44.090.017 ; 101 ; 37.713.042 ; 208 ; 82.203.908 ; 53 ; 285.039.460 ; 58 ; 304.072.824 ; 111 ; 589.112.284 ; 319 ; 671.316.192 ;;;;
29;13.059.145;BEXS BANCO DE CÂMBIO S/A; 26 ; 210.292.881 ; 143 ; 7.790.310 ; 155 ; 12.319.510 ; 634 ; 38.721.401 ; 958 ; 269.124.102 ; 229 ; 111.836.453 ; 207 ; 288.127.738 ; 436 ; 399.964.192 ; 1.394 ; 669.088.294 ;;;;
30;28.195.667;BANCO ABC BRASIL S.A.; 41 ; 18.310.511 ; 93 ; 11.766.925 ; 27 ; 121.904.905 ; 268 ; 79.953.774 ; 429 ; 231.936.115 ; 32 ; 143.385.259 ; 39 ; 235.492.389 ; 71 ; 378.877.648 ; 500 ; 610.813.763 ;;;;
31;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 120 ; 104.230.063 ; 121 ; 16.836.305 ; 60 ; 100.916.224 ; 184 ; 37.988.520 ; 485 ; 259.971.111 ; 28 ; 65.450.345 ; 26 ; 200.791.006 ; 54 ; 266.241.351 ; 539 ; 526.212.462 ;;;;
32;71.027.866;BANCO BONSUCESSO S.A.; 2 ; 83.425 ; 1 ; 57.157 ; 6 ; 1.239.286 ; 74 ; 7.154.905 ; 83 ; 8.534.772 ; 174 ; 248.446.664 ; 152 ; 242.415.277 ; 326 ; 490.861.941 ; 409 ; 499.396.713 ;;;;
33;78.632.767;BANCO OURINVEST S.A.; 1 ; 67.588 ; 51 ; 4.420.355 ; 136 ; 3.982.300 ; 692 ; 12.157.342 ; 880 ; 20.627.584 ; 254 ; 241.847.978 ; 5.430 ; 227.692.773 ; 5.684 ; 469.540.751 ; 6.564 ; 490.168.335 ;;;;
34;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 16 ; 72.260.590 ;;; 11 ; 985.046 ; 74 ; 16.427.304 ; 101 ; 89.672.939 ; 86 ; 168.298.608 ; 91 ; 228.310.639 ; 177 ; 396.609.247 ; 278 ; 486.282.186 ;;;;
35;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 14 ; 35.728.257 ; 18 ; 12.433.748 ; 33 ; 155.930.185 ; 30 ; 46.789.375 ; 95 ; 250.881.565 ; 21 ; 33.562.788 ; 27 ; 167.019.493 ; 48 ; 200.582.281 ; 143 ; 451.463.846 ;;;;
36;49.336.860;ING BANK N.V.; 19 ; 169.409.924 ; 15 ; 62.649.143 ; 5 ; 50.968.303 ; 60 ; 4.389.979 ; 99 ; 287.417.349 ; 5 ; 30.430.850 ; 7 ; 130.428.575 ; 12 ; 160.859.425 ; 111 ; 448.276.774 ;;;;
37;03.609.817;BANCO CARGILL S.A.; 14 ; 123.687.497 ; 2 ; 21.031.581 ; 2 ; 5.314.527 ; 28 ; 27.824.300 ; 46 ; 177.857.905 ; 5 ; 47.143.000 ; 10 ; 127.250.000 ; 15 ; 174.393.000 ; 61 ; 352.250.905 ;;;;
38;03.532.415;BANCO ABN AMRO S.A.; 26 ; 143.240.546 ;;; 1 ; 390.472 ; 32 ; 2.458.799 ; 59 ; 146.089.817 ; 5 ; 28.891.764 ; 54 ; 169.525.553 ; 59 ; 198.417.317 ; 118 ; 344.507.134 ;;;;
