Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Fev/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
15;61.146.577;BANCO BARCLAYS S.A.; 4 ; 51.517.797 ; 9 ; 26.097.616 ; 419 ; 2.674.772.586 ; 454 ; 1.493.744.034 ; 886 ; 4.246.132.034 ; 242 ; 2.151.373.569 ; 335 ; 3.207.451.779 ; 577,0 ; 5.358.825.347,9 ; 1.463 ; 9.604.957.381 ;
16;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 72.407 ;;; 1.109 ; 3.783.950.144 ; 995 ; 2.428.112.489 ; 2.105 ; 6.212.135.040 ; 35 ; 742.826.934 ; 109 ; 2.423.349.467 ; 144,0 ; 3.166.176.400,1 ; 2.249 ; 9.378.311.440 ;
17;61.820.817;BANCO PAULISTA S.A.; 276 ; 23.859.593 ; 922 ; 65.504.493 ; 2.426 ; 148.801.145 ; 4.840 ; 448.576.172 ; 8.464 ; 686.741.402 ; 3.092 ; 3.968.800.369 ; 19.782 ; 3.637.144.212 ; 22.874,0 ; 7.605.944.580,9 ; 31.338 ; 8.292.685.983 ;
18;59.588.111;BANCO VOTORANTIM S.A.; 185 ; 170.112.559 ; 1.225 ; 301.420.296 ; 276 ; 326.334.855 ; 1.098 ; 566.356.158 ; 2.784 ; 1.364.223.869 ; 267 ; 3.710.129.660 ; 933 ; 3.027.162.574 ; 1.200,0 ; 6.737.292.234,1 ; 3.984 ; 8.101.516.103 ;
19;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 310 ; 138.442.234 ; 953 ; 219.068.928 ; 914 ; 508.771.658 ; 862 ; 154.409.050 ; 3.039 ; 1.020.691.870 ; 700 ; 3.031.494.107 ; 929 ; 3.304.925.321 ; 1.629,0 ; 6.336.419.428,0 ; 4.668 ; 7.357.111.298 ;
20;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 42 ; 117.042.493 ; 524 ; 66.755.786 ; 289 ; 1.113.709.795 ; 591 ; 1.060.186.937 ; 1.446 ; 2.357.695.011 ; 285 ; 1.365.506.641 ; 300 ; 1.954.913.781 ; 585,0 ; 3.320.420.422,2 ; 2.031 ; 5.678.115.433 ;
21;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.; 6 ; 30.984.610 ;;; 446 ; 1.851.830.457 ; 354 ; 1.787.798.279 ; 806 ; 3.670.613.345 ; 13 ; 660.173.977 ; 22 ; 842.123.865 ; 35,0 ; 1.502.297.842,2 ; 841 ; 5.172.911.188 ;
22;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 59 ; 58.630.140 ;;; 80 ; 1.590.616.549 ; 101 ; 130.290.610 ; 240 ; 1.779.537.298 ; 9 ; 890.872.713 ; 27 ; 2.166.697.900 ; 36,0 ; 3.057.570.613,2 ; 276 ; 4.837.107.911 ;
23;11.703.662;BANCO CONFIDENCE DE C∂MBIO S.A.; 48 ; 1.601.455 ; 1.036 ; 62.601.686 ; 262 ; 13.107.810 ; 1.013 ; 48.160.205 ; 2.359 ; 125.471.156 ; 2.361 ; 1.665.943.656 ; 19.869 ; 1.558.979.514 ; 22.230,0 ; 3.224.923.169,9 ; 24.589 ; 3.350.394.326 ;
24;58.160.789;BANCO SAFRA S.A.; 523 ; 336.743.903 ; 1.887 ; 394.603.216 ; 1.615 ; 467.586.943 ; 5.580 ; 501.517.752 ; 9.605 ; 1.700.451.814 ; 233 ; 918.524.188 ; 202 ; 442.745.694 ; 435,0 ; 1.361.269.882,7 ; 10.040 ; 3.061.721.697 ;
