Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Junho/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
14;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 104 ; 5.320.265 ; 1.210 ; 54.451.199 ; 712 ; 92.289.953 ; 7.132 ; 276.270.052 ; 9.158 ; 428.331.469 ; 598 ; 3.178.114.273 ; 584 ; 2.938.755.567 ; 1.182 ; 6.116.869.840 ; 10.340 ; 6.545.201.309 ;
15;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 992 ; 174.720.834 ; 5.864 ; 353.310.207 ; 8.364 ; 790.804.742 ; 18.553 ; 745.438.081 ; 33.773 ; 2.064.273.864 ; 102 ; 1.976.445.603 ; 141 ; 1.787.427.367 ; 243 ; 3.763.872.970 ; 34.016 ; 5.828.146.834 ;
16;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 476 ; 1.593.972.404 ; 461 ; 1.819.104.651 ; 937 ; 3.413.077.055 ; 52 ; 922.883.354 ; 37 ; 692.459.681 ; 89 ; 1.615.343.035 ; 1.026 ; 5.028.420.090 ;
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 136 ; 111.636.070 ; 666 ; 139.119.441 ; 273 ; 532.808.133 ; 368 ; 963.783.716 ; 1.443 ; 1.747.347.360 ; 421 ; 1.193.950.312 ; 417 ; 1.107.473.675 ; 838 ; 2.301.423.987 ; 2.281 ; 4.048.771.347 ;
18;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 352 ; 1.640.492.075 ; 381 ; 1.589.341.568 ; 733 ; 3.229.833.643 ; 15 ; 372.740.000 ; 10 ; 310.108.630 ; 25 ; 682.848.630 ; 758 ; 3.912.682.273 ;
19;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 165 ; 12.205.300 ; 1.004 ; 9.187.394 ; 33.847 ; 194.422.620 ; 68.518 ; 1.483.186.033 ; 103.534 ; 1.699.001.347 ; 883 ; 1.558.203.970 ; 2.411 ; 274.257.296 ; 3.294 ; 1.832.461.266 ; 106.828 ; 3.531.462.613 ;
20;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 8 ; 245.902.179 ; 27 ; 15.164.839 ; 151 ; 525.939.452 ; 148 ; 889.758.367 ; 334 ; 1.676.764.837 ; 7 ; 949.000.000 ; 25 ; 895.000.000 ; 32 ; 1.844.000.000 ; 366 ; 3.520.764.837 ;
21;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 81 ; 73.569.754 ; 232 ; 53.920.427 ; 74 ; 80.421.028 ; 135 ; 164.499.249 ; 522 ; 372.410.458 ; 183 ; 1.428.786.785 ; 170 ; 1.377.722.409 ; 353 ; 2.806.509.194 ; 875 ; 3.178.919.652 ;
22;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 101 ; 725.700.889 ; 176 ; 105.470.091 ; 195 ; 195.414.198 ; 308 ; 320.839.575 ; 780 ; 1.347.424.753 ; 228 ; 678.005.930 ; 239 ; 1.006.220.426 ; 467 ; 1.684.226.356 ; 1.247 ; 3.031.651.109 ;
23;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 87 ; 189.765.306 ; 6 ; 1.311.830 ; 56 ; 146.771.011 ; 179 ; 159.205.648 ; 328 ; 497.053.795 ; 90 ; 1.132.456.283 ; 111 ; 1.267.069.899 ; 201 ; 2.399.526.182 ; 529 ; 2.896.579.977 ;
24;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 183 ; 174.840.165 ; 1.127 ; 144.392.810 ; 1.905 ; 583.821.493 ; 3.027 ; 405.364.645 ; 6.242 ; 1.308.419.113 ; 112 ; 649.501.270 ; 141 ; 889.110.525 ; 253 ; 1.538.611.795 ; 6.495 ; 2.847.030.908 ;
25;78.632.767;OURIBANK S.A. BANCO MÚLTIPLO;OURIBANK - PRUDENCIAL; 738 ; 96.791.097 ; 3.309 ; 254.036.738 ; 41.634 ; 466.652.555 ; 31.684 ; 741.206.045 ; 77.365 ; 1.558.686.435 ; 989 ; 703.751.654 ; 8.018 ; 267.490.089 ; 9.007 ; 971.241.743 ; 86.372 ; 2.529.928.178 ;
26;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 455 ; 111.029.642 ; 1.917 ; 515.760.020 ; 5.863 ; 121.240.642 ; 5.570 ; 123.969.607 ; 13.805 ; 871.999.911 ; 159 ; 942.890.129 ; 141 ; 557.183.955 ; 300 ; 1.500.074.084 ; 14.105 ; 2.372.073.995 ;
