Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Out/2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
19;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 34 ; 222.070.001 ;;; 2.143 ; 5.934.688.003 ; 2.230 ; 5.382.879.218 ; 4.407 ; 11.539.637.221 ; 252 ; 7.887.856.078 ; 327 ; 8.120.780.840 ; 579 ; 16.008.636.918 ; 4.986 ; 27.548.274.140 ;;;;
20;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 992 ; 3.215.099.402 ; 4.782 ; 1.901.895.082 ; 2.983 ; 5.100.099.506 ; 6.753 ; 5.300.626.212 ; 15.510 ; 15.517.720.201 ; 808 ; 5.201.637.881 ; 835 ; 5.956.816.024 ; 1.643 ; 11.158.453.905 ; 17.153 ; 26.676.174.106 ;;;;
21;28.195.667;BANCO ABC BRASIL S.A.; 805 ; 794.698.757 ; 1.920 ; 501.259.198 ; 1.132 ; 3.002.249.523 ; 2.797 ; 3.305.227.499 ; 6.654 ; 7.603.434.976 ; 1.570 ; 6.186.510.702 ; 2.992 ; 6.270.962.250 ; 4.562 ; 12.457.472.951 ; 11.216 ; 20.060.907.928 ;;;;
22;58.160.789;BANCO SAFRA S.A.; 1.628 ; 865.322.741 ; 9.014 ; 1.159.968.618 ; 9.672 ; 2.788.308.312 ; 21.366 ; 2.940.398.168 ; 41.680 ; 7.753.997.839 ; 1.876 ; 5.218.537.512 ; 1.838 ; 4.609.191.019 ; 3.714 ; 9.827.728.531 ; 45.394 ; 17.581.726.371 ;;;;
23;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 1.170 ; 4.009.454.831 ; 354 ; 325.825.003 ; 792 ; 1.328.135.489 ; 2.133 ; 1.309.799.382 ; 4.449 ; 6.973.214.703 ; 310 ; 2.549.793.875 ; 405 ; 5.958.727.731 ; 715 ; 8.508.521.605 ; 5.164 ; 15.481.736.309 ;;;;
24;68.900.810;BANCO RENDIMENTO S.A.; 297 ; 35.610.542 ; 1.972 ; 231.195.560 ; 508.533 ; 1.769.798.829 ; 112.722 ; 1.479.076.090 ; 623.524 ; 3.515.681.022 ; 8.055 ; 4.979.536.757 ; 100.948 ; 5.057.188.288 ; 109.003 ; 10.036.725.044 ; 732.527 ; 13.552.406.066 ;;;;
25;61.820.817;BANCO PAULISTA S.A.; 1.241 ; 781.149.254 ; 2.473 ; 126.288.762 ; 887.221 ; 1.026.117.951 ; 10.264 ; 673.067.147 ; 901.199 ; 2.606.623.113 ; 14.309 ; 3.615.369.264 ; 83.438 ; 4.633.944.288 ; 97.747 ; 8.249.313.553 ; 998.946 ; 10.855.936.665 ;;;;
26;00.360.305;CAIXA ECONOMICA FEDERAL; 1.275 ; 528.410.282 ; 1.012 ; 30.514.612 ; 81.060 ; 1.286.331.679 ; 15.947 ; 2.739.228.449 ; 99.294 ; 4.584.485.022 ; 1.569 ; 3.439.959.974 ; 1.617 ; 2.447.768.327 ; 3.186 ; 5.887.728.301 ; 102.480 ; 10.472.213.324 ;;;;
27;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 784 ; 1.215.243.436 ;;; 1.110 ; 428.535.633 ; 369 ; 3.176.811.024 ; 2.263 ; 4.820.590.094 ; 119 ; 3.654.056.835 ; 39 ; 1.141.833.983 ; 158 ; 4.795.890.818 ; 2.421 ; 9.616.480.912 ;;;;
28;78.632.767;BANCO OURINVEST S.A.; 1.999 ; 161.061.592 ; 15.599 ; 847.528.299 ; 8.521 ; 806.909.472 ; 20.688 ; 983.061.366 ; 46.807 ; 2.798.560.730 ; 6.583 ; 3.798.302.193 ; 92.462 ; 2.915.664.848 ; 99.045 ; 6.713.967.041 ; 145.852 ; 9.512.527.771 ;;;;
