Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mar/2017;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 14.966 ; 7.030.783.539 ; 63.518 ; 5.985.663.276 ; 58.644 ; 18.994.658.710 ; 93.251 ; 21.683.909.469 ; 230.379 ; 53.695.014.994 ; 2.092 ; 33.752.665.985 ; 1.792 ; 25.650.336.326 ; 3.884 ; 59.403.002.311 ; 234.263 ; 113.098.017.305 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 3.686 ; 4.612.415.343 ; 19.571 ; 5.023.381.994 ; 25.995 ; 32.274.635.023 ; 43.185 ; 33.022.712.494 ; 92.437 ; 74.933.144.854 ; 766 ; 9.445.492.131 ; 784 ; 7.546.192.955 ; 1.550 ; 16.991.685.086 ; 93.987 ; 91.924.829.940 ;;;;
3;60.746.948;BANCO BRADESCO S.A.; 21.379 ; 10.442.487.201 ; 50.464 ; 6.663.669.776 ; 93.869 ; 13.993.552.746 ; 72.467 ; 19.962.448.839 ; 238.179 ; 51.062.158.563 ; 2.449 ; 9.718.835.134 ; 2.481 ; 10.321.828.851 ; 4.930 ; 20.040.663.985 ; 243.109 ; 71.102.822.547 ;;;;
4;33.172.537;BANCO J.P. MORGAN S.A.; 691 ; 1.952.268.517 ; 5.686 ; 1.381.082.591 ; 2.784 ; 16.227.734.679 ; 5.187 ; 15.626.275.756 ; 14.348 ; 35.187.361.544 ; 681 ; 8.278.639.746 ; 748 ; 9.600.495.107 ; 1.429 ; 17.879.134.854 ; 15.777 ; 53.066.496.397 ;;;;
5;60.701.190;ITAÚ UNIBANCO S.A.; 21.432 ; 3.977.665.954 ; 49.532 ; 3.981.754.991 ; 119.705 ; 10.988.202.274 ; 91.076 ; 10.631.497.989 ; 281.745 ; 29.579.121.209 ; 748 ; 5.011.164.785 ; 761 ; 5.088.930.390 ; 1.509 ; 10.100.095.175 ; 283.254 ; 39.679.216.384 ;;;;
6;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 89 ; 171.783.812 ; 759 ; 97.652.702 ; 494 ; 3.216.219.564 ; 1.044 ; 2.967.156.361 ; 2.386 ; 6.452.812.438 ; 423 ; 12.762.179.156 ; 415 ; 13.574.366.756 ; 838 ; 26.336.545.912 ; 3.224 ; 32.789.358.350 ;;;;
7;00.000.000;BANCO DO BRASIL S.A.; 21.857 ; 8.119.772.341 ; 25.193 ; 4.051.483.180 ; 60.368 ; 4.978.657.173 ; 104.262 ; 6.195.208.811 ; 211.680 ; 23.345.121.505 ; 1.171 ; 3.408.611.357 ; 1.224 ; 5.499.161.573 ; 2.395 ; 8.907.772.930 ; 214.075 ; 32.252.894.435 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 90 ; 367.240.849 ; 80 ; 19.261.202 ; 905 ; 1.346.261.574 ; 1.445 ; 1.305.329.462 ; 2.520 ; 3.038.093.086 ; 454 ; 12.041.744.474 ; 472 ; 11.481.586.355 ; 926 ; 23.523.330.828 ; 3.446 ; 26.561.423.914 ;;;;
9;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 3 ; 232.460 ;;; 546 ; 1.236.308.827 ; 560 ; 1.658.126.116 ; 1.109 ; 2.894.667.403 ; 517 ; 9.146.628.720 ; 682 ; 8.799.441.802 ; 1.199 ; 17.946.070.522 ; 2.308 ; 20.840.737.925 ;;;;
