Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Jun/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
15;61.146.577;BANCO BARCLAYS S.A.; 7 ; 72.708.597 ; 29 ; 56.360.908 ; 1.040 ; 6.477.291.542 ; 1.283 ; 5.830.833.340 ; 2.359 ; 12.437.194.388 ; 831 ; 7.409.405.640 ; 1.073 ; 8.094.916.206 ; 1.904,0 ; 15.504.321.846 ; 4.263 ; 27.941.516.233 ;
16;61.820.817;BANCO PAULISTA S.A.; 467 ; 56.533.639 ; 2.388 ; 184.938.045 ; 7.398 ; 510.795.538 ; 14.465 ; 1.332.382.444 ; 24.718 ; 2.084.649.666 ; 7.865 ; 11.842.804.096 ; 51.965 ; 10.912.227.966 ; 59.830,0 ; 22.755.032.062 ; 84.548 ; 24.839.681.728 ;
17;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 894 ; 499.678.098 ; 3.005 ; 670.742.896 ; 2.816 ; 1.409.962.388 ; 2.736 ; 669.876.529 ; 9.451 ; 3.250.259.912 ; 1.954 ; 7.081.068.348 ; 2.335 ; 7.652.284.243 ; 4.289,0 ; 14.733.352.591 ; 13.740 ; 17.983.612.503 ;
18;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 90 ; 319.842.112 ; 1.132 ; 160.897.922 ; 851 ; 3.196.757.296 ; 1.509 ; 3.494.708.116 ; 3.582 ; 7.172.205.445 ; 762 ; 4.792.364.907 ; 787 ; 4.842.920.776 ; 1.549,0 ; 9.635.285.682 ; 5.131 ; 16.807.491.128 ;
19;17.298.092;BANCO ITAÈ BBA S.A.; 2.743 ; 1.395.551.654 ; 6.405 ; 1.402.576.734 ; 2.516 ; 1.731.398.284 ; 5.715 ; 1.921.543.491 ; 17.379 ; 6.451.070.163 ; 326 ; 4.486.715.129 ; 334 ; 4.645.267.412 ; 660,0 ; 9.131.982.541 ; 18.039 ; 15.583.052.704 ;
20;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.; 6 ; 30.984.610 ;;; 1.057 ; 4.620.818.968 ; 1.183 ; 5.039.423.585 ; 2.246 ; 9.691.227.163 ; 50 ; 2.105.037.796 ; 51 ; 2.164.183.465 ; 101,0 ; 4.269.221.261 ; 2.347 ; 13.960.448.424 ;
21;58.160.789;BANCO SAFRA S.A.; 1.317 ; 1.280.111.931 ; 6.126 ; 1.154.919.777 ; 5.076 ; 1.096.491.072 ; 18.028 ; 1.953.214.518 ; 30.547 ; 5.484.737.298 ; 760 ; 4.176.845.516 ; 685 ; 2.882.292.368 ; 1.445,0 ; 7.059.137.884 ; 31.992 ; 12.543.875.183 ;
22;11.703.662;BANCO CONFIDENCE DE C∂MBIO S.A.; 135 ; 4.925.566 ; 2.502 ; 132.230.097 ; 827 ; 84.273.494 ; 3.693 ; 155.524.701 ; 7.157 ; 376.953.858 ; 6.808 ; 5.461.367.790 ; 60.017 ; 5.242.610.715 ; 66.825,0 ; 10.703.978.506 ; 73.982 ; 11.080.932.364 ;
23;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 53 ; 153.308.455 ;;; 53 ; 153.308.455 ; 14 ; 5.250.000.000 ; 14 ; 5.250.000.000 ; 28,0 ; 10.500.000.000 ; 81 ; 10.653.308.455 ;
24;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 162 ; 276.022.881 ;;; 238 ; 3.688.924.969 ; 356 ; 957.354.410 ; 756 ; 4.922.302.260 ; 19 ; 1.013.350.716 ; 54 ; 4.055.767.250 ; 73,0 ; 5.069.117.966 ; 829 ; 9.991.420.226 ;
