Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jun/2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
15;03.532.415;BANCO ABN AMRO S.A.; -   ; -   ; -   ; -   ; 1.922 ; 12.740.620.284 ; 2.066 ; 12.457.056.422 ; 3.988 ; 25.197.676.706 ; 75 ; 1.523.806.406 ; 72 ; 1.863.230.007 ; 147 ; 3.387.036.413 ; 4.135 ; 28.584.713.119 ;
16;53.518.684;BANCO HSBC S.A.; 161 ; 2.029.991.798 ; 344 ; 263.610.617 ; 1.150 ; 3.213.781.419 ; 1.841 ; 2.253.416.182 ; 3.496 ; 7.760.800.016 ; 794 ; 7.380.849.699 ; 882 ; 10.089.014.887 ; 1.676 ; 17.469.864.586 ; 5.172 ; 25.230.664.602 ;
17;59.588.111;BANCO VOTORANTIM S.A.; 1.544 ; 1.878.293.523 ; 4.526 ; 759.364.794 ; 1.257 ; 1.876.674.119 ; 3.971 ; 1.208.959.517 ; 11.298 ; 5.723.291.953 ; 2.343 ; 8.003.417.115 ; 3.610 ; 9.605.285.942 ; 5.953 ; 17.608.703.057 ; 17.251 ; 23.331.995.010 ;
18;33.264.668;BANCO XP S.A.; 1.839 ; 797.583.823 ; 13.676 ; 2.708.204.799 ; 22.229 ; 2.375.233.237 ; 111.924 ; 5.047.309.491 ; 149.668 ; 10.928.331.350 ; 711 ; 6.219.646.644 ; 598 ; 1.653.755.149 ; 1.309 ; 7.873.401.793 ; 150.977 ; 18.801.733.143 ;
19;07.679.404;BANCO TOPÁZIO S.A.; 1.035 ; 317.177.216 ; 560 ; 62.621.299 ; 153.352 ; 752.116.751 ; 437.170 ; 7.152.266.131 ; 592.117 ; 8.284.181.397 ; 6.320 ; 7.848.877.988 ; 19.139 ; 1.702.390.988 ; 25.459 ; 9.551.268.976 ; 617.576 ; 17.835.450.373 ;
20;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 2.257 ; 327.437.001 ; 2.715 ; 385.925.893 ; 35.810 ; 4.171.126.954 ; 49.080 ; 5.741.107.120 ; 89.862 ; 10.625.596.968 ; 9.775 ; 3.903.096.619 ; 30.779 ; 2.294.272.549 ; 40.554 ; 6.197.369.168 ; 130.416 ; 16.822.966.136 ;
21;31.872.495;BANCO C6 S.A.; 373 ; 950.443.936 ; 3.579 ; 720.312.186 ; 57.423 ; 1.914.970.150 ; 475.339 ; 3.430.008.286 ; 536.714 ; 7.015.734.558 ; 719 ; 5.483.950.084 ; 1.022 ; 4.277.708.051 ; 1.741 ; 9.761.658.135 ; 538.455 ; 16.777.392.693 ;
22;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 442 ; 2.160.394.621 ; 48 ; 35.467.113 ; 527 ; 1.865.911.764 ; 1.319 ; 2.252.281.370 ; 2.336 ; 6.314.054.868 ; 464 ; 3.919.966.250 ; 533 ; 5.401.508.620 ; 997 ; 9.321.474.870 ; 3.333 ; 15.635.529.738 ;
23;02.801.938;BANCO MORGAN STANLEY S.A.; 86 ; 1.373.248.317 ; 376 ; 495.165.601 ; 1.073 ; 4.326.683.758 ; 1.373 ; 3.204.161.474 ; 2.908 ; 9.399.259.150 ; 73 ; 2.175.683.551 ; 122 ; 3.954.354.798 ; 195 ; 6.130.038.349 ; 3.103 ; 15.529.297.499 ;
24;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO; 663 ; 38.513.958 ; 5.902 ; 724.840.575 ; 1.949 ; 356.054.055 ; 57.984 ; 420.924.461 ; 66.498 ; 1.540.333.049 ; 2.384 ; 7.059.381.119 ; 2.797 ; 6.307.145.452 ; 5.181 ; 13.366.526.571 ; 71.679 ; 14.906.859.620 ;
25;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 43 ; 381.125.178 ; 15 ; 2.045.160 ; 140 ; 553.681.321 ; 259 ; 318.985.658 ; 457 ; 1.255.837.317 ; 493 ; 6.464.551.971 ; 537 ; 7.107.467.778 ; 1.030 ; 13.572.019.749 ; 1.487 ; 14.827.857.066 ;
26;78.632.767;BANCO OURINVEST S.A.; 4.188 ; 518.455.696 ; 14.702 ; 846.833.087 ; 168.541 ; 2.270.618.394 ; 255.798 ; 4.243.252.520 ; 443.229 ; 7.879.159.697 ; 5.048 ; 4.421.060.828 ; 73.711 ; 2.026.988.209 ; 78.759 ; 6.448.049.037 ; 521.988 ; 14.327.208.734 ;
27;28.195.667;BANCO ABC BRASIL S.A.; 619 ; 581.569.752 ; 2.091 ; 595.984.482 ; 1.275 ; 1.173.836.196 ; 3.231 ; 1.239.143.283 ; 7.216 ; 3.590.533.713 ; 796 ; 5.121.579.039 ; 1.528 ; 4.792.994.689 ; 2.324 ; 9.914.573.728 ; 9.540 ; 13.505.107.441 ;
28;62.232.889;BANCO DAYCOVAL S.A.; 1.387 ; 359.916.202 ; 4.081 ; 779.091.805 ; 289.488 ; 2.421.422.851 ; 287.917 ; 2.471.625.555 ; 582.873 ; 6.032.056.413 ; 2.663 ; 2.696.314.863 ; 10.077 ; 2.352.486.889 ; 12.740 ; 5.048.801.752 ; 595.613 ; 11.080.858.165 ;
29;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 506 ; 1.000.858.390 ; 1.074 ; 349.709.491 ; 452 ; 1.120.366.478 ; 1.026 ; 737.228.068 ; 3.058 ; 3.208.162.427 ; 558 ; 3.262.681.207 ; 666 ; 4.454.102.912 ; 1.224 ; 7.716.784.119 ; 4.282 ; 10.924.946.546 ;
30;58.160.789;BANCO SAFRA S.A.; 1.382 ; 485.602.281 ; 2.723 ; 696.306.911 ; 141.893 ; 2.705.055.901 ; 110.116 ; 1.912.232.285 ; 256.114 ; 5.799.197.378 ; 1.841 ; 2.212.514.435 ; 1.958 ; 2.804.119.954 ; 3.799 ; 5.016.634.389 ; 259.913 ; 10.815.831.767 ;
31;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 341 ; 505.458.012 ; 1.559 ; 290.976.893 ; 156 ; 1.819.045.507 ; 1.362 ; 1.737.787.087 ; 3.418 ; 4.353.267.499 ; 332 ; 2.843.063.993 ; 273 ; 3.080.972.730 ; 605 ; 5.924.036.723 ; 4.023 ; 10.277.304.222 ;
32;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 24 ; 409.998.195 ; 51 ; 170.818.913 ; 117 ; 1.676.017.789 ; 766 ; 854.992.873 ; 958 ; 3.111.827.770 ; 133 ; 2.446.493.377 ; 225 ; 3.963.751.306 ; 358 ; 6.410.244.683 ; 1.316 ; 9.522.072.453 ;
33;68.900.810;BANCO RENDIMENTO S.A.; 44 ; 25.500.208 ; 772 ; 677.937.131 ; 422.258 ; 1.318.871.827 ; 22.518 ; 473.772.971 ; 445.592 ; 2.496.082.137 ; 7.909 ; 2.265.648.953 ; 43.127 ; 2.464.871.887 ; 51.036 ; 4.730.520.840 ; 496.628 ; 7.226.602.977 ;
34;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA; -   ; -   ; -   ; -   ; 4.056.850 ; 1.884.990.884 ; 4.715.091 ; 2.053.600.638 ; 8.771.941 ; 3.938.591.522 ; 5.747 ; 1.203.253.725 ; 5.734 ; 1.034.646.893 ; 11.481 ; 2.237.900.618 ; 8.783.422 ; 6.176.492.140 ;
35;58.616.418;BANCO FIBRA S.A.; 429 ; 386.849.460 ; 2.546 ; 798.399.171 ; 256 ; 119.596.190 ; 2.772 ; 168.191.664 ; 6.003 ; 1.473.036.485 ; 573 ; 2.520.133.552 ; 517 ; 2.105.895.058 ; 1.090 ; 4.626.028.610 ; 7.093 ; 6.099.065.095 ;
36;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; -   ; -   ; 1 ; 1.995.411 ; 603 ; 1.983.904.160 ; 918 ; 2.629.981.423 ; 1.522 ; 4.615.880.994 ; 89 ; 1.046.681.263 ; 66 ; 341.767.489 ; 155 ; 1.388.448.752 ; 1.677 ; 6.004.329.746 ;
37;15.114.366;BANCO BOCOM BBM S.A.; 92 ; 45.222.331 ; 228 ; 96.648.549 ; 206 ; 701.649.742 ; 1.358 ; 397.512.761 ; 1.884 ; 1.241.033.383 ; 152 ; 1.835.904.827 ; 215 ; 1.897.626.376 ; 367 ; 3.733.531.203 ; 2.251 ; 4.974.564.586 ;
38;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 402 ; 608.765.170 ; 1.215 ; 615.114.732 ; 2.365 ; 969.751.002 ; 5.578 ; 695.435.705 ; 9.560 ; 2.889.066.609 ; 388 ; 793.925.689 ; 398 ; 1.068.340.381 ; 786 ; 1.862.266.070 ; 10.346 ; 4.751.332.679 ;
39;00.038.166;BANCO CENTRAL DO BRASIL; -   ; -   ; -   ; -   ; 15 ; 168.475.909 ; -   ; -   ; 15 ; 168.475.909 ; 4 ; 2.034.844.375 ; 4 ; 2.000.000.000 ; 8 ; 4.034.844.375 ; 23 ; 4.203.320.284 ;
40;71.027.866;BANCO BS2 S.A.; 1.960 ; 481.708.131 ; 7.275 ; 410.398.780 ; 44.117 ; 893.532.418 ; 61.361 ; 942.220.793 ; 114.713 ; 2.727.860.122 ; 197 ; 659.391.353 ; 214 ; 687.453.312 ; 411 ; 1.346.844.665 ; 115.124 ; 4.074.704.787 ;
41;13.059.145;BEXS BANCO DE CÂMBIO S/A; 168 ; 545.570.299 ; 396 ; 102.661.158 ; 69.092 ; 343.935.345 ; 625.624 ; 1.317.536.693 ; 695.280 ; 2.309.703.495 ; 1.357 ; 1.130.066.096 ; 363 ; 626.027.339 ; 1.720 ; 1.756.093.435 ; 697.000 ; 4.065.796.930 ;
