Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jun/2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 36.147 ; 12.609.337.794 ; 99.134 ; 14.327.370.605 ; 134.216 ; 34.192.706.644 ; 217.349 ; 39.165.852.359 ; 486.846 ; 100.295.267.401 ; 4.576 ; 44.274.830.849 ; 4.476 ; 37.631.671.804 ; 9.052 ; 81.906.502.653 ; 495.898 ; 182.201.770.055 ;
2;33.479.023;BANCO CITIBANK S.A.; 8.701 ; 12.235.540.213 ; 47.749 ; 12.284.920.542 ; 51.435 ; 59.320.153.087 ; 61.353 ; 53.467.207.315 ; 169.238 ; 137.307.821.157 ; 1.922 ; 15.768.546.249 ; 2.171 ; 20.619.219.342 ; 4.093 ; 36.387.765.590 ; 173.331 ; 173.695.586.747 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 53.970 ; 24.663.866.724 ; 157.501 ; 24.120.356.411 ; 201.203 ; 25.342.563.970 ; 230.228 ; 29.033.219.075 ; 642.902 ; 103.160.006.180 ; 2.856 ; 34.361.150.961 ; 2.713 ; 27.468.315.192 ; 5.569 ; 61.829.466.153 ; 648.471 ; 164.989.472.333 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 2.042 ; 5.805.043.010 ; 15.132 ; 5.820.143.734 ; 8.330 ; 31.287.512.949 ; 13.324 ; 35.342.744.297 ; 38.828 ; 78.255.443.990 ; 2.899 ; 36.363.745.788 ; 3.149 ; 28.458.257.462 ; 6.048 ; 64.822.003.249 ; 44.876 ; 143.077.447.239 ;
5;60.746.948;BANCO BRADESCO S.A.; 30.653 ; 21.188.546.541 ; 63.150 ; 8.776.413.359 ; 155.231 ; 12.781.765.751 ; 117.995 ; 16.416.955.336 ; 367.029 ; 59.163.680.986 ; 2.358 ; 13.404.981.520 ; 2.523 ; 22.206.950.308 ; 4.881 ; 35.611.931.828 ; 371.910 ; 94.775.612.814 ;
6;00.000.000;BANCO DO BRASIL S.A.; 53.093 ; 24.056.756.827 ; 89.963 ; 15.374.979.143 ; 225.353 ; 9.641.317.716 ; 147.736 ; 13.987.563.819 ; 516.145 ; 63.060.617.504 ; 1.912 ; 10.441.470.241 ; 1.917 ; 14.181.912.030 ; 3.829 ; 24.623.382.271 ; 519.974 ; 87.683.999.775 ;
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 674 ; 1.121.158.305 ; 3.564 ; 1.328.782.194 ; 929 ; 3.346.881.983 ; 2.158 ; 3.144.542.995 ; 7.325 ; 8.941.365.476 ; 2.189 ; 36.597.948.643 ; 2.324 ; 36.503.817.463 ; 4.513 ; 73.101.766.107 ; 11.838 ; 82.043.131.583 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 1.714 ; 6.478.082.472 ; 6.591 ; 3.002.617.559 ; 11.541 ; 6.968.998.196 ; 18.714 ; 6.763.682.032 ; 38.560 ; 23.213.380.259 ; 1.233 ; 20.929.497.262 ; 2.848 ; 21.556.361.858 ; 4.081 ; 42.485.859.120 ; 42.641 ; 65.699.239.379 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 961 ; 5.054.028.421 ; 4.555 ; 3.425.070.713 ; 3.050 ; 13.775.025.966 ; 4.405 ; 17.389.597.390 ; 12.971 ; 39.643.722.490 ; 1.171 ; 9.201.585.868 ; 626 ; 7.085.131.579 ; 1.797 ; 16.286.717.446 ; 14.768 ; 55.930.439.936 ;
10;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.376 ; 2.677.066.462 ; 8.534 ; 2.613.767.839 ; 10.167 ; 12.019.232.462 ; 14.020 ; 8.735.951.833 ; 34.097 ; 26.046.018.595 ; 5.222 ; 11.149.276.191 ; 5.321 ; 14.690.050.971 ; 10.543 ; 25.839.327.162 ; 44.640 ; 51.885.345.758 ;
11;60.498.557;BANCO MUFG BRASIL S.A.; 728 ; 473.627.369 ; 2.321 ; 434.605.375 ; 1.634 ; 1.622.678.473 ; 2.159 ; 1.235.089.242 ; 6.842 ; 3.766.000.458 ; 3.808 ; 13.683.683.364 ; 3.906 ; 13.985.662.341 ; 7.714 ; 27.669.345.705 ; 14.556 ; 31.435.346.163 ;
12;03.532.415;BANCO ABN AMRO S.A.;;;;; 1.510 ; 13.068.614.769 ; 1.718 ; 13.138.773.061 ; 3.228 ; 26.207.387.830 ; 84 ; 1.755.114.180 ; 72 ; 1.712.113.725 ; 156 ; 3.467.227.905 ; 3.384 ; 29.674.615.734 ;
