Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Abr/2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
16;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 56 ; 392.116.643 ; 25 ; 15.375.290 ; 165 ; 340.349.321 ; 250 ; 228.363.237 ; 496 ; 976.204.490 ; 347 ; 4.872.796.205 ; 373 ; 5.362.273.610 ; 720 ; 10.235.069.815 ; 1.216 ; 11.211.274.305 ;;;;
17;59.588.111;BANCO VOTORANTIM S.A.; 354 ; 730.684.608 ; 2.764 ; 633.631.863 ; 1.860 ; 1.557.670.972 ; 3.497 ; 1.236.895.363 ; 8.475 ; 4.158.882.806 ; 1.227 ; 3.188.703.371 ; 3.007 ; 3.509.220.706 ; 4.234 ; 6.697.924.077 ; 12.709 ; 10.856.806.883 ;;;;
18;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 311 ; 723.512.393 ; 1.799 ; 489.902.629 ; 1.217 ; 2.403.853.166 ; 2.582 ; 2.153.512.330 ; 5.909 ; 5.770.780.519 ; 245 ; 2.342.594.464 ; 260 ; 2.515.410.904 ; 505 ; 4.858.005.368 ; 6.414 ; 10.628.785.887 ;;;;
19;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 46 ; 148.074.301 ; 151 ; 131.684.431 ; 288 ; 1.128.701.869 ; 620 ; 1.158.498.185 ; 1.105 ; 2.566.958.786 ; 789 ; 2.551.286.040 ; 1.155 ; 2.461.264.587 ; 1.944 ; 5.012.550.627 ; 3.049 ; 7.579.509.413 ;;;;
20;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 5 ; 288.801 ;;; 843 ; 1.972.648.246 ; 763 ; 1.099.432.679 ; 1.611 ; 3.072.369.726 ; 97 ; 2.184.567.667 ; 112 ; 2.299.548.357 ; 209 ; 4.484.116.024 ; 1.820 ; 7.556.485.750 ;;;;
21;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 499 ; 2.100.227.320 ; 146 ; 144.495.743 ; 331 ; 497.369.115 ; 759 ; 496.924.323 ; 1.735 ; 3.239.016.501 ; 144 ; 1.168.870.821 ; 195 ; 2.990.167.615 ; 339 ; 4.159.038.436 ; 2.074 ; 7.398.054.937 ;;;;
22;61.820.817;BANCO PAULISTA S.A.; 693 ; 529.127.978 ; 1.521 ; 86.747.578 ; 514.346 ; 649.775.847 ; 5.256 ; 558.879.584 ; 521.816 ; 1.824.530.987 ; 7.294 ; 2.380.179.220 ; 41.593 ; 2.873.259.953 ; 48.887 ; 5.253.439.173 ; 570.703 ; 7.077.970.160 ;;;;
23;68.900.810;BANCO RENDIMENTO S.A.; 94 ; 9.260.733 ; 614 ; 123.159.410 ; 157.765 ; 641.117.171 ; 44.202 ; 602.031.153 ; 202.675 ; 1.375.568.466 ; 2.571 ; 2.880.276.740 ; 37.443 ; 2.803.447.258 ; 40.014 ; 5.683.723.998 ; 242.689 ; 7.059.292.465 ;;;;
24;58.160.789;BANCO SAFRA S.A.; 671 ; 387.279.779 ; 3.383 ; 463.738.437 ; 3.589 ; 1.926.297.041 ; 8.367 ; 1.720.775.819 ; 16.010 ; 4.498.091.076 ; 624 ; 780.360.019 ; 595 ; 854.677.212 ; 1.219 ; 1.635.037.231 ; 17.229 ; 6.133.128.307 ;;;;
25;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 291 ; 580.713.205 ;;; 417 ; 151.193.296 ; 155 ; 1.577.666.904 ; 863 ; 2.309.573.405 ; 74 ; 2.503.796.252 ; 16 ; 765.913.998 ; 90 ; 3.269.710.249 ; 953 ; 5.579.283.655 ;;;;
26;28.195.667;BANCO ABC BRASIL S.A.; 255 ; 156.228.371 ; 639 ; 184.086.705 ; 154 ; 277.759.190 ; 1.090 ; 377.073.269 ; 2.138 ; 995.147.535 ; 573 ; 1.967.964.789 ; 1.149 ; 1.986.283.378 ; 1.722 ; 3.954.248.167 ; 3.860 ; 4.949.395.702 ;;;;
27;03.532.415;BANCO ABN AMRO S.A.; 12 ; 61.636.795 ; 4 ; 397.154 ; 227 ; 2.223.391.007 ; 304 ; 2.236.692.560 ; 547 ; 4.522.117.517 ; 14 ; 86.593.301 ; 17 ; 136.225.049 ; 31 ; 222.818.349 ; 578 ; 4.744.935.866 ;;;;
28;62.232.889;BANCO DAYCOVAL S.A.; 1.963 ; 305.159.493 ; 2.270 ; 161.874.517 ; 2.802 ; 62.740.852 ; 10.712 ; 988.466.791 ; 17.747 ; 1.518.241.654 ; 1.787 ; 1.332.405.829 ; 5.958 ; 577.619.691 ; 7.745 ; 1.910.025.520 ; 25.492 ; 3.428.267.174 ;;;;
29;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 75 ; 213.155.056 ; 45 ; 24.357.384 ; 60 ; 414.387.627 ; 500 ; 236.921.166 ; 680 ; 888.821.233 ; 110 ; 1.193.130.505 ; 116 ; 1.294.121.846 ; 226 ; 2.487.252.351 ; 906 ; 3.376.073.584 ;;;;
