Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Novembro/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
13;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;SOCIETE GENERALE - PRUDENCIAL; 1.177 ; 2.623.768.227 ; 10.075 ; 4.347.963.565 ; 1.391 ; 4.073.806.012 ; 3.959 ; 5.743.123.346 ; 16.602 ; 16.788.661.150 ; 5.796 ; 34.359.846.877 ; 5.817 ; 30.993.472.800 ; 11.613 ; 65.353.319.677 ; 28.215 ; 82.141.980.827 ;
14;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 5.065 ; 20.376.877.024 ; 5.052 ; 25.050.536.184 ; 10.117 ; 45.427.413.208 ; 682 ; 13.321.729.746 ; 480 ; 8.627.285.423 ; 1.162 ; 21.949.015.169 ; 11.279 ; 67.376.428.377 ;
15;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 1.255 ; 95.652.224 ; 15.134 ; 808.561.773 ; 7.969 ; 967.174.101 ; 86.564 ; 3.824.918.025 ; 110.922 ; 5.696.306.123 ; 6.361 ; 32.564.018.494 ; 6.436 ; 28.977.675.899 ; 12.797 ; 61.541.694.393 ; 123.719 ; 67.238.000.516 ;
16;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 10.694 ; 2.080.233.371 ; 69.506 ; 4.492.322.490 ; 85.121 ; 5.348.761.162 ; 259.571 ; 8.189.089.501 ; 424.892 ; 20.110.406.524 ; 1.639 ; 24.195.312.483 ; 1.772 ; 18.441.143.426 ; 3.411 ; 42.636.455.909 ; 428.303 ; 62.746.862.433 ;
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 1.367 ; 1.453.398.460 ; 6.709 ; 1.937.345.931 ; 2.696 ; 11.482.339.950 ; 5.107 ; 9.228.250.354 ; 15.879 ; 24.101.334.695 ; 7.886 ; 16.509.433.126 ; 7.947 ; 18.297.663.573 ; 15.833 ; 34.807.096.699 ; 31.712 ; 58.908.431.394 ;
18;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 3.910 ; 22.667.795.418 ; 4.196 ; 22.441.583.510 ; 8.106 ; 45.109.378.928 ; 124 ; 3.810.358.106 ; 133 ; 4.193.821.910 ; 257 ; 8.004.180.016 ; 8.363 ; 53.113.558.944 ;
19;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 888 ; 1.024.004.188 ; 2.290 ; 679.036.765 ; 931 ; 1.346.976.265 ; 1.536 ; 1.829.094.658 ; 5.645 ; 4.879.111.876 ; 1.970 ; 20.702.487.604 ; 1.948 ; 20.715.607.878 ; 3.918 ; 41.418.095.482 ; 9.563 ; 46.297.207.358 ;
20;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 2.155 ; 227.129.852 ; 10.389 ; 602.267.867 ; 377.791 ; 2.259.105.013 ; 845.861 ; 16.064.158.718 ; 1.236.196 ; 19.152.661.450 ; 10.155 ; 17.512.594.059 ; 30.062 ; 3.321.796.001 ; 40.217 ; 20.834.390.060 ; 1.276.413 ; 39.987.051.510 ;
21;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 794 ; 2.229.447.656 ; 58 ; 51.155.481 ; 750 ; 2.704.226.429 ; 2.163 ; 3.488.272.086 ; 3.765 ; 8.473.101.652 ; 1.083 ; 14.914.046.004 ; 1.185 ; 15.847.800.785 ; 2.268 ; 30.761.846.789 ; 6.033 ; 39.234.948.441 ;
22;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 100 ; 2.376.842.999 ; 289 ; 297.111.869 ; 1.590 ; 11.916.728.858 ; 1.613 ; 8.514.702.833 ; 3.592 ; 23.105.386.559 ; 127 ; 4.972.333.095 ; 341 ; 10.282.846.596 ; 468 ; 15.255.179.691 ; 4.060 ; 38.360.566.250 ;
