Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Abr/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
15;59.588.111;BANCO VOTORANTIM S.A.; 497 ; 931.587.302 ; 4.878 ; 1.251.430.943 ; 926 ; 1.756.329.951 ; 4.212 ; 2.426.887.034 ; 10.513 ; 6.366.235.230 ; 564 ; 3.938.292.688 ; 2.103 ; 2.822.862.097 ; 2.667 ; 6.761.154.785 ; 13.180 ; 13.127.390.014 ;;;;
16;61.146.577;BANCO BARCLAYS S.A.;;; 13 ; 432.379 ; 459 ; 2.810.150.227 ; 510 ; 2.289.548.643 ; 982 ; 5.100.131.249 ; 531 ; 3.530.858.497 ; 751 ; 4.020.071.071 ; 1.282 ; 7.550.929.568 ; 2.264 ; 12.651.060.817 ;;;;
17;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 563 ; 261.101.376 ; 2.154 ; 425.927.220 ; 2.065 ; 1.931.795.912 ; 1.967 ; 727.983.736 ; 6.749 ; 3.346.808.244 ; 1.183 ; 3.435.585.228 ; 1.210 ; 4.481.205.541 ; 2.393 ; 7.916.790.770 ; 9.142 ; 11.263.599.014 ;;;;
18;61.820.817;BANCO PAULISTA S.A.; 231 ; 134.748.640 ; 1.434 ; 143.118.841 ; 2.562 ; 393.470.094 ; 7.151 ; 605.299.948 ; 11.378 ; 1.276.637.523 ; 4.224 ; 4.520.324.566 ; 30.812 ; 4.271.958.833 ; 35.036 ; 8.792.283.399 ; 46.414 ; 10.068.920.922 ;;;;
19;58.160.789;BANCO SAFRA S.A.; 698 ; 340.654.774 ; 5.839 ; 691.469.286 ; 3.171 ; 1.459.395.171 ; 9.969 ; 1.082.345.547 ; 19.677 ; 3.573.864.778 ; 430 ; 2.129.930.164 ; 394 ; 2.149.784.044 ; 824 ; 4.279.714.208 ; 20.501 ; 7.853.578.986 ;;;;
20;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. – BANCO DE INVESTIMENTO; 64 ; 409.484.430 ; 112 ; 109.107.068 ; 108 ; 85.884.055 ; 164 ; 157.160.603 ; 448 ; 761.636.156 ; 451 ; 3.185.184.585 ; 646 ; 3.496.618.350 ; 1.097 ; 6.681.802.935 ; 1.545 ; 7.443.439.091 ;;;;
21;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 676 ; 2.769.411.411 ; 557 ; 2.546.395.878 ; 1.233 ; 5.315.807.289 ; 27 ; 740.782.360 ; 44 ; 1.290.613.217 ; 71 ; 2.031.395.576 ; 1.304 ; 7.347.202.865 ;;;;
22;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 152 ; 13.393.970 ; 1.315 ; 83.018.114 ; 710 ; 212.887.714 ; 3.532 ; 260.477.352 ; 5.709 ; 569.777.150 ; 5.169 ; 2.854.444.542 ; 36.259 ; 2.738.902.782 ; 41.428 ; 5.593.347.324 ; 47.137 ; 6.163.124.474 ;;;;
23;00.360.305;CAIXA ECONOMICA FEDERAL; 809 ; 385.366.700 ; 724 ; 20.600.934 ; 19.758 ; 1.610.967.680 ; 9.008 ; 786.161.742 ; 30.299 ; 2.803.097.056 ; 424 ; 674.744.920 ; 469 ; 1.867.289.007 ; 893 ; 2.542.033.928 ; 31.192 ; 5.345.130.983 ;;;;
24;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 41 ; 133.333.233 ;;; 41 ; 133.333.233 ; 7 ; 2.500.000.000 ; 7 ; 2.500.000.000 ; 14 ; 5.000.000.000 ; 55 ; 5.133.333.233 ;;;;
