Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Dez/2017;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
15;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 1.539 ; 2.455.546.173 ; 7.647 ; 2.084.678.496 ; 4.099 ; 5.778.974.655 ; 12.366 ; 8.672.385.731 ; 25.651 ; 18.991.585.056 ; 981 ; 9.737.896.542 ; 877 ; 7.419.192.090 ; 1.858 ; 17.157.088.632 ; 27.509 ; 36.148.673.688 ;;;;
16;49.336.860;ING BANK N.V.; 217 ; 1.245.459.497 ; 136 ; 17.057.043 ; 146 ; 677.244.669 ; 718 ; 426.109.419 ; 1.217 ; 2.365.870.628 ; 212 ; 16.295.004.228 ; 257 ; 17.292.821.638 ; 469 ; 33.587.825.866 ; 1.686 ; 35.953.696.494 ;;;;
17;59.588.111;BANCO VOTORANTIM S.A.; 1.625 ; 3.007.529.315 ; 10.279 ; 1.432.145.929 ; 3.398 ; 4.149.838.420 ; 9.419 ; 4.953.573.453 ; 24.721 ; 13.543.087.117 ; 3.855 ; 9.567.290.773 ; 8.689 ; 10.194.591.638 ; 12.544 ; 19.761.882.410 ; 37.265 ; 33.304.969.528 ;;;;
18;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 271 ; 2.489.552.704 ; 1.509 ; 1.093.491.278 ; 894 ; 2.829.892.352 ; 2.016 ; 3.439.244.768 ; 4.690 ; 9.852.181.102 ; 2.309 ; 9.849.612.182 ; 3.261 ; 10.722.648.734 ; 5.570 ; 20.572.260.916 ; 10.260 ; 30.424.442.018 ;;;;
19;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 237 ; 896.061.009 ; 35 ; 78.713.447 ; 373 ; 774.012.823 ; 573 ; 677.723.520 ; 1.218 ; 2.426.510.800 ; 1.037 ; 13.303.124.501 ; 1.089 ; 14.241.898.927 ; 2.126 ; 27.545.023.428 ; 3.344 ; 29.971.534.228 ;;;;
20;61.820.817;BANCO PAULISTA S.A.; 2.171 ; 1.360.242.678 ; 6.051 ; 457.233.723 ; 9.797 ; 1.738.001.765 ; 18.309 ; 2.531.548.160 ; 36.328 ; 6.087.026.325 ; 18.735 ; 7.948.475.059 ; 158.163 ; 8.096.666.725 ; 176.898 ; 16.045.141.785 ; 213.226 ; 22.132.168.110 ;;;;
21;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 104 ; 251.454.800 ;;; 104 ; 251.454.800 ; 17 ; 9.550.000.000 ; 17 ; 9.550.000.000 ; 34 ; 19.100.000.000 ; 138 ; 19.351.454.800 ;;;;
22;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 580 ; 1.543.519.077 ;;; 937 ; 2.191.550.664 ; 536 ; 2.430.573.947 ; 2.053 ; 6.165.643.688 ; 80 ; 2.459.597.932 ; 242 ; 6.762.902.111 ; 322 ; 9.222.500.043 ; 2.375 ; 15.388.143.731 ;;;;
23;58.160.789;BANCO SAFRA S.A.; 2.281 ; 1.483.012.533 ; 11.482 ; 1.579.935.710 ; 11.128 ; 2.005.320.154 ; 27.780 ; 3.441.538.424 ; 52.671 ; 8.509.806.822 ; 2.127 ; 3.896.631.279 ; 2.008 ; 2.372.471.759 ; 4.135 ; 6.269.103.038 ; 56.806 ; 14.778.909.860 ;;;;
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 1.056 ; 2.825.768.964 ; 422 ; 443.183.724 ; 885 ; 2.111.516.032 ; 2.797 ; 2.157.629.427 ; 5.160 ; 7.538.098.148 ; 151 ; 1.244.539.245 ; 231 ; 3.956.958.927 ; 382 ; 5.201.498.172 ; 5.542 ; 12.739.596.320 ;;;;
25;00.360.305;CAIXA ECONOMICA FEDERAL; 3.239 ; 1.316.404.911 ; 2.415 ; 80.485.885 ; 75.808 ; 1.289.844.787 ; 20.399 ; 2.815.301.564 ; 101.861 ; 5.502.037.147 ; 1.610 ; 3.474.468.193 ; 1.918 ; 3.189.457.284 ; 3.528 ; 6.663.925.477 ; 105.389 ; 12.165.962.623 ;;;;
26;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 868 ; 473.976.483 ; 1.718 ; 200.441.346 ; 506 ; 2.260.657.578 ; 3.186 ; 2.467.952.082 ; 6.278 ; 5.403.027.489 ; 449 ; 3.223.044.319 ; 354 ; 3.065.064.479 ; 803 ; 6.288.108.798 ; 7.081 ; 11.691.136.287 ;;;;
27;68.900.810;BANCO RENDIMENTO S.A.; 236 ; 21.584.604 ; 950 ; 348.398.520 ; 479.070 ; 1.438.692.960 ; 9.446 ; 1.781.413.071 ; 489.702 ; 3.590.089.155 ; 6.313 ; 4.256.076.203 ; 119.790 ; 3.568.615.653 ; 126.103 ; 7.824.691.857 ; 615.805 ; 11.414.781.012 ;;;;
28;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 2.131 ; 131.393.450 ; 15.474 ; 605.682.197 ; 8.729 ; 696.810.540 ; 33.411 ; 1.251.293.064 ; 59.745 ; 2.685.179.251 ; 11.533 ; 4.818.347.960 ; 93.744 ; 3.784.968.474 ; 105.277 ; 8.603.316.433 ; 165.022 ; 11.288.495.684 ;;;;
29;78.632.767;BANCO OURINVEST S.A.; 1.205 ; 269.000.455 ; 5.528 ; 348.549.655 ; 4.977 ; 899.625.323 ; 9.466 ; 1.085.639.101 ; 21.176 ; 2.602.814.534 ; 4.818 ; 4.046.599.235 ; 121.584 ; 3.726.556.763 ; 126.402 ; 7.773.155.998 ; 147.578 ; 10.375.970.532 ;;;;
30;28.195.667;BANCO ABC BRASIL S.A.; 906 ; 377.205.614 ; 1.505 ; 243.493.563 ; 341 ; 1.235.251.837 ; 2.577 ; 1.885.994.432 ; 5.329 ; 3.741.945.446 ; 645 ; 3.158.310.869 ; 594 ; 2.795.385.138 ; 1.239 ; 5.953.696.007 ; 6.568 ; 9.695.641.452 ;;;;
31;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.982 ; 584.140.352 ; 6.462 ; 1.119.217.595 ; 4.146 ; 1.671.167.281 ; 6.537 ; 1.711.489.496 ; 19.127 ; 5.086.014.725 ; 829 ; 2.565.093.218 ; 792 ; 1.985.831.116 ; 1.621 ; 4.550.924.334 ; 20.748 ; 9.636.939.059 ;;;;
32;62.232.889;BANCO DAYCOVAL S.A.; 3.983 ; 595.175.062 ; 6.572 ; 402.559.200 ; 6.454 ; 477.957.530 ; 27.387 ; 880.956.946 ; 44.396 ; 2.356.648.737 ; 6.492 ; 3.318.763.670 ; 25.918 ; 3.104.418.171 ; 32.410 ; 6.423.181.841 ; 76.806 ; 8.779.830.579 ;;;;
33;07.656.500;BANCO KDB DO BRASIL S.A.;;; 2 ; 2.844.356 ; 2.112 ; 3.000.236.942 ; 2.618 ; 1.002.355.939 ; 4.732 ; 4.005.437.237 ; 122 ; 962.963.302 ; 1.099 ; 3.007.720.000 ; 1.221 ; 3.970.683.302 ; 5.953 ; 7.976.120.539 ;;;;
34;71.027.866;BANCO BONSUCESSO S.A.; 714 ; 80.350.985 ; 1.354 ; 96.908.714 ; 2.418 ; 509.745.400 ; 7.091 ; 619.085.804 ; 11.577 ; 1.306.090.903 ; 3.139 ; 3.196.499.833 ; 12.821 ; 3.068.412.349 ; 15.960 ; 6.264.912.181 ; 27.537 ; 7.571.003.085 ;;;;
35;13.059.145;BEXS BANCO DE CÂMBIO S/A; 512 ; 2.081.319.716 ; 950 ; 30.907.764 ; 1.644 ; 265.575.020 ; 5.378 ; 1.310.252.305 ; 8.484 ; 3.688.054.806 ; 2.438 ; 1.365.673.123 ; 1.734 ; 2.367.523.101 ; 4.172 ; 3.733.196.225 ; 12.656 ; 7.421.251.030 ;;;;
36;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 344 ; 1.259.375.595 ; 295 ; 2.237.756.237 ; 639 ; 3.497.131.832 ; 193 ; 2.274.213.521 ; 143 ; 1.294.159.036 ; 336 ; 3.568.372.557 ; 975 ; 7.065.504.390 ;;;;
37;03.532.415;BANCO ABN AMRO S.A.; 97 ; 366.818.681 ; 24 ; 16.424.459 ; 277 ; 3.005.127.711 ; 546 ; 2.929.565.810 ; 944 ; 6.317.936.661 ; 47 ; 99.729.906 ; 138 ; 527.052.631 ; 185 ; 626.782.538 ; 1.129 ; 6.944.719.198 ;;;;
38;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 3 ; 63.000.000 ;;; 76 ; 1.407.697.650 ; 75 ; 955.306.465 ; 154 ; 2.426.004.115 ; 32 ; 1.935.700.863 ; 50 ; 2.445.554.789 ; 82 ; 4.381.255.652 ; 236 ; 6.807.259.767 ;;;;
39;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 886 ; 957.610.219 ; 2.296 ; 376.056.596 ; 850 ; 806.010.096 ; 1.306 ; 565.226.665 ; 5.338 ; 2.704.903.575 ; 1.317 ; 1.327.670.098 ; 1.356 ; 2.155.185.203 ; 2.673 ; 3.482.855.301 ; 8.011 ; 6.187.758.877 ;;;;
