Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mar/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
16;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 177 ; 406.250.818 ; 654 ; 247.382.702 ; 375 ; 1.037.795.142 ; 886 ; 1.673.626.729 ; 2.092 ; 3.365.055.391 ; 372 ; 4.427.354.028 ; 463 ; 3.693.434.062 ; 835 ; 8.120.788.090 ; 2.927 ; 11.485.843.481 ;
17;59.588.111;BANCO VOTORANTIM S.A.; 605 ; 854.891.334 ; 2.548 ; 463.998.954 ; 716 ; 888.275.136 ; 1.639 ; 1.187.127.663 ; 5.508 ; 3.394.293.087 ; 559 ; 2.523.329.550 ; 912 ; 2.800.917.109 ; 1.471 ; 5.324.246.659 ; 6.979 ; 8.718.539.746 ;
18;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 295 ; 634.523.114 ; 565 ; 300.483.214 ; 855 ; 989.615.088 ; 1.067 ; 1.074.248.641 ; 2.782 ; 2.998.870.057 ; 275 ; 1.594.432.154 ; 351 ; 1.609.253.004 ; 626 ; 3.203.685.159 ; 3.408 ; 6.202.555.215 ;
19;53.518.684;BANCO HSBC S.A.; 43 ; 586.490.013 ; 497 ; 131.416.917 ; 146 ; 364.915.966 ; 469 ; 1.283.315.273 ; 1.155 ; 2.366.138.169 ; 321 ; 1.881.204.267 ; 357 ; 1.392.588.327 ; 678 ; 3.273.792.594 ; 1.833 ; 5.639.930.762 ;
20;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 3 ; 457.241 ; 1 ; 1.500.000 ; 565 ; 1.382.025.754 ; 647 ; 1.538.924.043 ; 1.216 ; 2.922.907.038 ; 35 ; 1.228.650.006 ; 46 ; 1.254.626.116 ; 81 ; 2.483.276.123 ; 1.297 ; 5.406.183.160 ;
21;28.195.667;BANCO ABC BRASIL S.A.; 397 ; 332.578.628 ; 1.160 ; 126.886.175 ; 393 ; 338.172.784 ; 915 ; 424.216.616 ; 2.865 ; 1.221.854.203 ; 550 ; 1.831.268.190 ; 1.051 ; 1.799.249.795 ; 1.601 ; 3.630.517.985 ; 4.466 ; 4.852.372.188 ;
22;31.872.495;BANCO C6 S.A.; 72 ; 52.115.471 ; 415 ; 236.995.310 ; 1.122 ; 538.347.692 ; 11.164 ; 640.556.175 ; 12.773 ; 1.468.014.648 ; 283 ; 1.377.481.450 ; 456 ; 1.073.879.071 ; 739 ; 2.451.360.520 ; 13.512 ; 3.919.375.168 ;
23;49.336.860;ING BANK N.V.; 35 ; 149.230.453 ;;; 56 ; 9.032.654 ; 124 ; 49.005.501 ; 215 ; 207.268.608 ; 63 ; 1.734.087.598 ; 71 ; 1.854.788.390 ; 134 ; 3.588.875.988 ; 349 ; 3.796.144.597 ;
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 359 ; 1.001.673.117 ; 48 ; 22.031.915 ; 205 ; 286.817.830 ; 613 ; 496.764.846 ; 1.225 ; 1.807.287.708 ; 116 ; 715.128.884 ; 130 ; 1.232.835.614 ; 246 ; 1.947.964.498 ; 1.471 ; 3.755.252.206 ;
25;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 304 ; 16.845.730 ; 2.027 ; 90.786.579 ; 817 ; 239.025.315 ; 121.588 ; 170.103.331 ; 124.736 ; 516.760.955 ; 958 ; 1.595.311.561 ; 1.354 ; 1.592.905.197 ; 2.312 ; 3.188.216.757 ; 127.048 ; 3.704.977.712 ;
26;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 33 ; 140.849.640 ; 64 ; 108.961.171 ; 49 ; 733.964.571 ; 381 ; 642.729.323 ; 527 ; 1.626.504.705 ; 49 ; 984.194.297 ; 51 ; 1.076.692.189 ; 100 ; 2.060.886.486 ; 627 ; 3.687.391.191 ;
27;68.900.810;BANCO RENDIMENTO S.A.; 130 ; 11.148.824 ; 452 ; 103.643.975 ; 606.449 ; 1.295.008.450 ; 21.607 ; 190.690.902 ; 628.638 ; 1.600.492.151 ; 3.920 ; 418.808.926 ; 17.222 ; 1.424.956.913 ; 21.142 ; 1.843.765.839 ; 649.780 ; 3.444.257.990 ;
28;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 2.049 ; 308.310.508 ; 5.042 ; 197.128.490 ; 4.776 ; 364.434.052 ; 10.474 ; 868.091.216 ; 22.341 ; 1.737.964.266 ; 5.502 ; 831.450.268 ; 9.781 ; 443.066.693 ; 15.283 ; 1.274.516.962 ; 37.624 ; 3.012.481.227 ;
29;58.160.789;BANCO SAFRA S.A.; 764 ; 447.800.733 ; 3.465 ; 359.641.249 ; 2.608 ; 372.981.636 ; 3.599 ; 712.433.731 ; 10.436 ; 1.892.857.349 ; 602 ; 625.329.052 ; 581 ; 359.419.422 ; 1.183 ; 984.748.474 ; 11.619 ; 2.877.605.823 ;
30;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 490 ; 237.443.871 ; 1.978 ; 204.666.794 ; 974 ; 450.248.648 ; 1.327 ; 159.754.715 ; 4.769 ; 1.052.114.027 ; 341 ; 546.424.848 ; 352 ; 816.415.888 ; 693 ; 1.362.840.736 ; 5.462 ; 2.414.954.763 ;
31;62.232.889;BANCO DAYCOVAL S.A.; 1.650 ; 264.037.702 ; 2.742 ; 252.526.835 ; 199.237 ; 408.799.998 ; 3.732 ; 198.306.999 ; 207.361 ; 1.123.671.534 ; 745 ; 334.528.779 ; 993 ; 562.218.052 ; 1.738 ; 896.746.831 ; 209.099 ; 2.020.418.365 ;
