Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Ago/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
15;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 1.258 ; 2.931.733.429 ; 5.198 ; 2.007.594.240 ; 2.786 ; 4.353.504.088 ; 7.688 ; 5.638.323.943 ; 16.930 ; 14.931.155.700 ; 729 ; 6.040.967.561 ; 661 ; 5.282.759.002 ; 1.390 ; 11.323.726.564 ; 18.320 ; 26.254.882.263 
16;02.801.938;BANCO MORGAN STANLEY S.A.; 2 ; 197.000.000 ;;; 4.659 ; 7.247.797.734 ; 4.328 ; 8.823.087.188 ; 8.989 ; 16.267.884.923 ; 263 ; 5.828.668.554 ; 199 ; 4.054.194.177 ; 462 ; 9.882.862.731 ; 9.451 ; 26.150.747.654 
17;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 198 ; 613.310.497 ; 127 ; 94.000.873 ; 254 ; 990.263.433 ; 423 ; 156.432.369 ; 1.002 ; 1.854.007.172 ; 933 ; 10.979.384.761 ; 1.018 ; 12.330.608.599 ; 1.951 ; 23.309.993.360 ; 2.953 ; 25.164.000.531 
18;59.588.111;BANCO VOTORANTIM S.A.; 942 ; 2.092.011.259 ; 4.769 ; 1.199.973.483 ; 2.427 ; 2.488.423.658 ; 6.205 ; 3.228.930.347 ; 14.343 ; 9.009.338.747 ; 2.607 ; 5.670.860.220 ; 6.621 ; 5.836.663.511 ; 9.228 ; 11.507.523.730 ; 23.571 ; 20.516.862.478 
19;61.820.817;BANCO PAULISTA S.A.; 1.582 ; 1.081.526.564 ; 3.997 ; 287.253.567 ; 251.537 ; 1.364.685.559 ; 13.026 ; 1.444.676.374 ; 270.142 ; 4.178.142.063 ; 13.642 ; 5.019.221.567 ; 101.608 ; 5.721.326.510 ; 115.250 ; 10.740.548.076 ; 385.392 ; 14.918.690.139 
20;49.336.860;ING BANK N.V.; 234 ; 2.250.929.559 ; 146 ; 235.371.339 ; 175 ; 370.246.939 ; 440 ; 244.240.291 ; 995 ; 3.100.788.128 ; 259 ; 4.836.846.450 ; 336 ; 6.914.226.199 ; 595 ; 11.751.072.649 ; 1.590 ; 14.851.860.777 
21;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 63 ; 139.212.967 ;;; 63 ; 139.212.967 ; 11 ; 7.075.000.000 ; 11 ; 7.075.000.000 ; 22 ; 14.150.000.000 ; 85 ; 14.289.212.967 
22;58.160.789;BANCO SAFRA S.A.; 1.663 ; 1.018.694.338 ; 7.154 ; 856.583.573 ; 8.447 ; 1.989.944.707 ; 18.430 ; 2.396.816.382 ; 35.694 ; 6.262.039.000 ; 1.399 ; 2.062.667.708 ; 1.367 ; 1.814.648.412 ; 2.766 ; 3.877.316.121 ; 38.460 ; 10.139.355.120 
23;28.195.667;BANCO ABC BRASIL S.A.; 661 ; 304.343.099 ; 1.243 ; 183.318.741 ; 291 ; 1.505.777.436 ; 1.794 ; 1.043.092.625 ; 3.989 ; 3.036.531.901 ; 978 ; 2.941.700.323 ; 1.516 ; 3.346.126.028 ; 2.494 ; 6.287.826.351 ; 6.483 ; 9.324.358.252 
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 856 ; 2.092.983.895 ; 286 ; 256.872.578 ; 633 ; 1.434.891.944 ; 2.006 ; 1.620.993.255 ; 3.781 ; 5.405.741.673 ; 121 ; 972.557.013 ; 175 ; 2.805.058.816 ; 296 ; 3.777.615.829 ; 4.077 ; 9.183.357.502 
