Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Jun/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
15;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 869 ; 315.962.910 ; 2.615 ; 464.374.706 ; 3.095 ; 2.769.332.274 ; 3.144 ; 1.405.660.270 ; 9.723 ; 4.955.330.160 ; 2.471 ; 9.347.547.301 ; 2.336 ; 10.574.340.596 ; 4.807 ; 19.921.887.897 ; 14.530 ; 24.877.218.057 ;
16;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 39.000.000 ;;; 3.060 ; 5.624.686.757 ; 2.231 ; 6.931.527.460 ; 5.292 ; 12.595.214.217 ; 210 ; 5.189.669.652 ; 180 ; 4.196.933.563 ; 390 ; 9.386.603.216 ; 5.682 ; 21.981.817.433 ;
17;59.588.111;BANCO VOTORANTIM S.A.; 790 ; 1.760.915.110 ; 6.484 ; 1.041.872.621 ; 1.739 ; 2.730.567.409 ; 6.463 ; 4.371.308.199 ; 15.476 ; 9.904.663.339 ; 1.816 ; 6.142.649.978 ; 3.930 ; 5.237.857.384 ; 5.746 ; 11.380.507.362 ; 21.222 ; 21.285.170.701 ;
18;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 1.258 ; 4.637.443.000 ; 1.163 ; 5.457.632.471 ; 2.421 ; 10.095.075.471 ; 141 ; 4.999.867.674 ; 161 ; 4.738.509.785 ; 302 ; 9.738.377.459 ; 2.723 ; 19.833.452.930 ;
19;58.160.789;BANCO SAFRA S.A.; 985 ; 602.573.193 ; 4.191 ; 433.385.472 ; 4.754 ; 1.397.409.816 ; 12.453 ; 1.647.235.842 ; 22.383 ; 4.080.604.323 ; 840 ; 5.220.407.852 ; 811 ; 5.059.061.173 ; 1.651 ; 10.279.469.025 ; 24.034 ; 14.360.073.349 ;
20;61.820.817;BANCO PAULISTA S.A.; 632 ; 342.638.776 ; 1.992 ; 141.291.971 ; 4.003 ; 591.227.184 ; 5.975 ; 606.417.923 ; 12.602 ; 1.681.575.854 ; 6.992 ; 3.181.229.490 ; 56.033 ; 3.380.996.255 ; 63.025 ; 6.562.225.745 ; 75.627 ; 8.243.801.599 ;
21;00.360.305;CAIXA ECONOMICA FEDERAL; 1.608 ; 1.216.237.633 ; 1.146 ; 56.137.114 ; 29.799 ; 512.464.147 ; 8.126 ; 2.238.745.387 ; 40.679 ; 4.023.584.281 ; 543 ; 2.369.513.362 ; 683 ; 1.800.136.536 ; 1.226 ; 4.169.649.897 ; 41.905 ; 8.193.234.178 ;
22;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO; 88 ; 171.375.403 ; 477 ; 154.906.679 ; 344 ; 912.032.101 ; 409 ; 588.987.408 ; 1.318 ; 1.827.301.590 ; 634 ; 2.684.973.269 ; 717 ; 3.033.911.720 ; 1.351 ; 5.718.884.989 ; 2.669 ; 7.546.186.579 ;
23;49.336.860;ING BANK N.V.; 183 ; 955.363.257 ; 40 ; 61.901.564 ; 58 ; 428.577.044 ; 470 ; 288.957.751 ; 751 ; 1.734.799.617 ; 91 ; 1.523.506.842 ; 119 ; 2.535.626.323 ; 210 ; 4.059.133.165 ; 961 ; 5.793.932.782 ;
24;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 42 ; 524.434.054 ; 3 ; 6.600.842 ; 115 ; 223.041.027 ; 312 ; 48.874.009 ; 472 ; 802.949.933 ; 370 ; 1.637.044.505 ; 403 ; 2.339.651.961 ; 773 ; 3.976.696.466 ; 1.245 ; 4.779.646.398 ;
25;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 846 ; 237.878.915 ; 2.550 ; 340.063.029 ; 2.043 ; 1.291.588.694 ; 2.907 ; 772.732.946 ; 8.346 ; 2.642.263.585 ; 333 ; 861.103.900 ; 424 ; 1.276.005.464 ; 757 ; 2.137.109.364 ; 9.103 ; 4.779.372.949 ;
26;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 7 ; 7.925.490 ; 118 ; 2.354.701.968 ; 125 ; 2.362.627.458 ; 115 ; 2.353.630.698 ; 2 ; 6.724.221 ; 117 ; 2.360.354.919 ; 242 ; 4.722.982.377 ;
27;71.027.866;BANCO BONSUCESSO S.A.; 24 ; 1.047.911 ; 30 ; 5.299.176 ; 223 ; 32.168.326 ; 1.019 ; 38.740.497 ; 1.296 ; 77.255.910 ; 1.427 ; 2.304.684.857 ; 2.775 ; 2.286.923.366 ; 4.202 ; 4.591.608.224 ; 5.498 ; 4.668.864.133 ;
28;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 369 ; 1.157.722.758 ; 83 ; 72.945.053 ; 451 ; 785.574.424 ; 1.092 ; 866.079.755 ; 1.995 ; 2.882.321.990 ; 86 ; 319.633.358 ; 128 ; 1.439.937.693 ; 214 ; 1.759.571.052 ; 2.209 ; 4.641.893.042 ;
29;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 384 ; 13.188.534 ; 4.840 ; 222.566.088 ; 2.496 ; 218.032.195 ; 9.147 ; 327.816.438 ; 16.867 ; 781.603.256 ; 7.694 ; 2.010.479.573 ; 48.519 ; 1.696.096.133 ; 56.213 ; 3.706.575.706 ; 73.080 ; 4.488.178.962 ;
30;62.232.889;BANCO DAYCOVAL S.A.; 1.563 ; 167.813.453 ; 1.973 ; 141.272.405 ; 2.767 ; 123.123.068 ; 9.064 ; 611.101.907 ; 15.367 ; 1.043.310.833 ; 2.429 ; 1.515.853.104 ; 7.687 ; 1.108.349.319 ; 10.116 ; 2.624.202.423 ; 25.483 ; 3.667.513.256 ;
31;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 526 ; 216.506.214 ; 382 ; 80.431.127 ; 248 ; 991.259.962 ; 1.005 ; 291.373.797 ; 2.161 ; 1.579.571.099 ; 128 ; 533.168.774 ; 171 ; 1.309.741.988 ; 299 ; 1.842.910.762 ; 2.460 ; 3.422.481.861 ;
32;68.900.810;BANCO RENDIMENTO S.A.; 62 ; 5.316.545 ; 327 ; 70.517.916 ; 83.776 ; 468.259.139 ; 7.953 ; 415.826.847 ; 92.118 ; 959.920.447 ; 2.172 ; 1.210.971.464 ; 48.769 ; 1.220.657.550 ; 50.941 ; 2.431.629.014 ; 143.059 ; 3.391.549.462 ;
33;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 324 ; 601.242.538 ;;; 490 ; 229.535.085 ; 428 ; 575.770.154 ; 1.242 ; 1.406.547.777 ; 31 ; 501.443.379 ; 31 ; 1.434.107.981 ; 62 ; 1.935.551.359 ; 1.304 ; 3.342.099.137 ;
34;13.059.145;BEXS BANCO DE CÂMBIO S/A; 187 ; 1.017.868.220 ; 662 ; 17.577.512 ; 961 ; 188.382.199 ; 2.498 ; 360.185.337 ; 4.308 ; 1.584.013.268 ; 1.211 ; 381.206.898 ; 1.566 ; 1.210.314.293 ; 2.777 ; 1.591.521.191 ; 7.085 ; 3.175.534.459 ;
35;78.632.767;BANCO OURINVEST S.A.; 221 ; 92.034.504 ; 1.835 ; 74.844.914 ; 1.572 ; 153.711.557 ; 4.240 ; 212.529.941 ; 7.868 ; 533.120.917 ; 1.886 ; 1.280.164.271 ; 37.090 ; 1.182.379.791 ; 38.976 ; 2.462.544.061 ; 46.844 ; 2.995.664.978 ;
36;61.146.577;BANCO BARCLAYS S.A.;;; 1 ; 39.012.310 ; 221 ; 512.190.561 ; 248 ; 820.755.593 ; 470 ; 1.371.958.464 ; 199 ; 864.606.778 ; 207 ; 585.149.873 ; 406 ; 1.449.756.651 ; 876 ; 2.821.715.115 ;
37;28.195.667;BANCO ABC BRASIL S.A.; 328 ; 97.672.666 ; 769 ; 66.518.565 ; 140 ; 417.354.498 ; 1.458 ; 431.297.037 ; 2.695 ; 1.012.842.765 ; 237 ; 975.990.728 ; 279 ; 761.723.615 ; 516 ; 1.737.714.343 ; 3.211 ; 2.750.557.108 ;
38;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 197 ; 221.731.470 ; 524 ; 66.082.472 ; 278 ; 518.324.017 ; 352 ; 152.067.209 ; 1.351 ; 958.205.169 ; 386 ; 535.888.084 ; 414 ; 1.059.838.482 ; 800 ; 1.595.726.566 ; 2.151 ; 2.553.931.734 ;
39;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 166 ; 305.203.350 ; 75 ; 126.737.489 ; 44 ; 351.571.226 ; 492 ; 178.833.943 ; 777 ; 962.346.008 ; 20 ; 128.080.701 ; 44 ; 508.085.861 ; 64 ; 636.166.562 ; 841 ; 1.598.512.570 ;
40;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 4.914 ; 445.698.548 ; 5.886 ; 282.704.893 ; 2.094 ; 127.855.924 ; 6.754 ; 216.884.962 ; 19.648 ; 1.073.144.326 ; 166 ; 210.850.225 ; 210 ; 280.882.900 ; 376 ; 491.733.125 ; 20.024 ; 1.564.877.452 ;
