Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Nov/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
15;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 1.568 ; 3.741.590.618 ; 6.877 ; 2.746.971.170 ; 3.690 ; 5.675.997.757 ; 10.253 ; 7.579.612.638 ; 22.388 ; 19.744.172.183 ; 1.000 ; 8.162.446.611 ; 885 ; 6.916.456.092 ; 1.885 ; 15.078.902.703 ; 24.273 ; 34.823.074.886 
16;02.801.938;BANCO MORGAN STANLEY S.A.; 2 ; 197.000.000 ;;; 5.824 ; 9.659.175.272 ; 5.717 ; 11.550.398.331 ; 11.543 ; 21.406.573.604 ; 349 ; 7.158.245.100 ; 280 ; 5.584.753.487 ; 629 ; 12.742.998.587 ; 12.172 ; 34.149.572.191 
17;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 235 ; 694.583.915 ; 158 ; 124.063.802 ; 383 ; 1.065.284.357 ; 644 ; 247.303.118 ; 1.420 ; 2.131.235.192 ; 1.167 ; 13.449.925.393 ; 1.249 ; 14.843.547.027 ; 2.416 ; 28.293.472.419 ; 3.836 ; 30.424.707.611 
18;59.588.111;BANCO VOTORANTIM S.A.; 1.313 ; 2.623.772.815 ; 6.842 ; 1.704.766.455 ; 3.706 ; 3.736.733.565 ; 8.635 ; 4.874.542.220 ; 20.496 ; 12.939.815.055 ; 3.548 ; 8.045.746.945 ; 8.856 ; 7.865.726.284 ; 12.404 ; 15.911.473.228 ; 32.900 ; 28.851.288.283 
19;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 89 ; 234.008.463 ;;; 89 ; 234.008.463 ; 18 ; 11.325.000.000 ; 18 ; 11.325.000.000 ; 36 ; 22.650.000.000 ; 125 ; 22.884.008.463 
20;49.336.860;ING BANK N.V.; 328 ; 2.904.622.482 ; 215 ; 245.018.733 ; 230 ; 668.178.083 ; 587 ; 290.828.560 ; 1.360 ; 4.108.647.857 ; 486 ; 7.223.752.368 ; 617 ; 10.335.363.251 ; 1.103 ; 17.559.115.619 ; 2.463 ; 21.667.763.476 
21;61.820.817;BANCO PAULISTA S.A.; 2.206 ; 1.461.025.780 ; 5.403 ; 371.934.007 ; 474.164 ; 1.841.575.766 ; 17.153 ; 1.863.167.217 ; 498.926 ; 5.537.702.770 ; 18.649 ; 6.919.199.285 ; 135.185 ; 7.965.952.128 ; 153.834 ; 14.885.151.413 ; 652.760 ; 20.422.854.183 
22;58.160.789;BANCO SAFRA S.A.; 2.251 ; 1.236.439.823 ; 9.498 ; 1.179.805.604 ; 11.221 ; 2.764.771.047 ; 24.698 ; 3.532.753.770 ; 47.668 ; 8.713.770.244 ; 1.891 ; 3.218.057.308 ; 1.840 ; 2.498.711.794 ; 3.731 ; 5.716.769.102 ; 51.399 ; 14.430.539.347 
23;28.195.667;BANCO ABC BRASIL S.A.; 875 ; 414.773.591 ; 1.795 ; 282.954.630 ; 391 ; 1.882.351.870 ; 2.505 ; 1.406.018.657 ; 5.566 ; 3.986.098.748 ; 1.313 ; 4.600.745.851 ; 2.209 ; 5.049.246.034 ; 3.522 ; 9.649.991.885 ; 9.088 ; 13.636.090.633 
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 1.177 ; 2.724.583.466 ; 383 ; 329.352.051 ; 898 ; 2.125.195.878 ; 2.715 ; 2.088.949.918 ; 5.173 ; 7.268.081.313 ; 202 ; 1.287.505.015 ; 276 ; 3.810.327.714 ; 478 ; 5.097.832.729 ; 5.651 ; 12.365.914.042 
25;68.900.810;BANCO RENDIMENTO S.A.; 228 ; 29.838.181 ; 1.480 ; 312.155.674 ; 452.105 ; 1.676.641.834 ; 106.585 ; 1.852.405.756 ; 560.398 ; 3.871.041.444 ; 6.668 ; 4.119.604.999 ; 103.202 ; 3.677.306.667 ; 109.870 ; 7.796.911.666 ; 670.268 ; 11.667.953.110 
26;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.940 ; 852.687.642 ; 7.758 ; 1.770.161.393 ; 3.938 ; 1.608.217.777 ; 6.458 ; 1.230.183.008 ; 20.094 ; 5.461.249.820 ; 1.269 ; 2.786.366.695 ; 1.232 ; 2.300.920.396 ; 2.501 ; 5.087.287.090 ; 22.595 ; 10.548.536.910 
27;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 2.610 ; 112.597.454 ; 16.752 ; 678.894.385 ; 10.741 ; 1.096.369.803 ; 33.107 ; 1.355.847.028 ; 63.210 ; 3.243.708.670 ; 9.429 ; 3.854.308.788 ; 86.758 ; 3.037.214.747 ; 96.187 ; 6.891.523.535 ; 159.397 ; 10.135.232.205 
28;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 360 ; 847.661.148 ; 327 ; 97.491.046 ; 169 ; 1.928.308.715 ; 1.028 ; 938.776.272 ; 1.884 ; 3.812.237.181 ; 139 ; 2.176.020.138 ; 217 ; 3.987.288.421 ; 356 ; 6.163.308.559 ; 2.240 ; 9.975.545.740 
29;00.360.305;CAIXA ECONOMICA FEDERAL; 2.220 ; 706.560.986 ; 1.643 ; 49.091.430 ; 82.173 ; 1.519.569.604 ; 18.812 ; 2.379.769.441 ; 104.848 ; 4.654.991.461 ; 1.295 ; 2.163.372.574 ; 1.396 ; 1.858.167.143 ; 2.691 ; 4.021.539.717 ; 107.539 ; 8.676.531.178 
30;78.632.767;BANCO OURINVEST S.A.; 1.417 ; 159.206.977 ; 9.978 ; 562.159.245 ; 6.026 ; 812.234.630 ; 16.470 ; 1.319.717.703 ; 33.891 ; 2.853.318.555 ; 6.260 ; 3.144.893.342 ; 104.818 ; 2.250.906.808 ; 111.078 ; 5.395.800.150 ; 144.969 ; 8.249.118.705 
31;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 676 ; 1.178.530.877 ;;; 1.043 ; 951.337.863 ; 451 ; 2.720.561.529 ; 2.170 ; 4.850.430.269 ; 102 ; 2.093.829.211 ; 52 ; 1.003.708.191 ; 154 ; 3.097.537.402 ; 2.324 ; 7.947.967.671 
32;03.532.415;BANCO ABN AMRO S.A.; 130 ; 547.331.139 ;;; 507 ; 3.085.810.219 ; 603 ; 3.071.727.546 ; 1.240 ; 6.704.868.904 ; 51 ; 128.584.072 ; 140 ; 688.064.239 ; 191 ; 816.648.311 ; 1.431 ; 7.521.517.216 
33;62.232.889;BANCO DAYCOVAL S.A.; 5.447 ; 811.779.454 ; 7.021 ; 426.811.544 ; 7.226 ; 262.142.987 ; 26.129 ; 941.989.036 ; 45.823 ; 2.442.723.021 ; 5.476 ; 2.595.513.292 ; 25.318 ; 2.363.161.674 ; 30.794 ; 4.958.674.965 ; 76.617 ; 7.401.397.986 
34;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 623 ; 37.237.636 ; 6.195 ; 276.587.613 ; 2.435 ; 568.275.527 ; 395.667 ; 1.097.006.124 ; 404.920 ; 1.979.106.900 ; 2.429 ; 2.713.419.083 ; 3.895 ; 1.945.088.912 ; 6.324 ; 4.658.507.995 ; 411.244 ; 6.637.614.895 
35;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 246 ; 1.347.718.542 ; 242 ; 1.927.321.737 ; 488 ; 3.275.040.280 ; 183 ; 1.904.053.037 ; 164 ; 1.323.767.317 ; 347 ; 3.227.820.354 ; 835 ; 6.502.860.633 
36;13.059.145;BEXS BANCO DE CÂMBIO S/A; 255 ; 1.254.985.980 ; 513 ; 17.639.551 ; 1.691 ; 341.795.831 ; 4.522 ; 1.409.424.887 ; 6.981 ; 3.023.846.248 ; 1.712 ; 1.339.399.924 ; 850 ; 1.508.482.816 ; 2.562 ; 2.847.882.740 ; 9.543 ; 5.871.728.988 
37;71.027.866;BANCO BS2 S.A.; 589 ; 92.616.966 ; 2.528 ; 149.292.500 ; 5.929 ; 736.947.221 ; 10.738 ; 932.175.912 ; 19.784 ; 1.911.032.600 ; 5.102 ; 1.987.104.927 ; 26.330 ; 1.746.654.389 ; 31.432 ; 3.733.759.316 ; 51.216 ; 5.644.791.916 
38;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 8 ; 56.934.476 ; 103 ; 64.807.661 ; 108 ; 1.488.287.668 ; 162 ; 1.025.683.102 ; 381 ; 2.635.712.906 ; 125 ; 1.053.799.280 ; 118 ; 1.511.592.797 ; 243 ; 2.565.392.077 ; 624 ; 5.201.104.983 
39;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 711 ; 502.738.840 ; 1.885 ; 216.885.349 ; 148 ; 689.792.179 ; 2.553 ; 1.029.912.497 ; 5.297 ; 2.439.328.865 ; 374 ; 1.290.605.825 ; 285 ; 1.260.935.589 ; 659 ; 2.551.541.414 ; 5.956 ; 4.990.870.279 
40;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 569 ; 479.878.148 ; 1.937 ; 331.514.032 ; 993 ; 584.230.375 ; 1.181 ; 630.809.234 ; 4.680 ; 2.026.431.789 ; 928 ; 1.244.460.822 ; 939 ; 1.430.499.335 ; 1.867 ; 2.674.960.158 ; 6.547 ; 4.701.391.947 
41;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 1.842 ; 833.646.079 ; 2.850 ; 953.701.551 ; 4.692 ; 1.787.347.630 ; 232 ; 1.185.463.722 ; 585 ; 1.064.881.125 ; 817 ; 2.250.344.848 ; 5.509 ; 4.037.692.477 
42;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 9.014 ; 669.904.168 ; 12.551 ; 580.277.172 ; 4.594 ; 274.368.113 ; 13.767 ; 347.502.236 ; 39.926 ; 1.872.051.689 ; 489 ; 565.907.250 ; 401 ; 577.217.205 ; 890 ; 1.143.124.455 ; 40.816 ; 3.015.176.145 
43;58.616.418;BANCO FIBRA S.A.; 917 ; 591.276.105 ; 4.718 ; 612.556.759 ; 711 ; 375.793.768 ; 2.796 ; 354.898.339 ; 9.142 ; 1.934.524.971 ; 259 ; 464.617.037 ; 205 ; 482.415.384 ; 464 ; 947.032.421 ; 9.606 ; 2.881.557.392 
44;10.690.848;BANCO DA CHINA BRASIL S.A.; 314 ; 152.485.532 ; 211 ; 143.461.238 ; 196 ; 852.000.472 ; 561 ; 383.175.203 ; 1.282 ; 1.531.122.445 ; 313 ; 384.499.948 ; 269 ; 862.510.931 ; 582 ; 1.247.010.879 ; 1.864 ; 2.778.133.324 
45;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 1.825 ; 34.415.459 ; 7.678 ; 189.973.701 ; 17.267 ; 185.929.996 ; 31.571 ; 569.594.912 ; 58.341 ; 979.914.067 ; 30.892 ; 1.100.535.027 ; 2.336 ; 560.848.520 ; 33.228 ; 1.661.383.546 ; 91.569 ; 2.641.297.614 
46;15.114.366;BANCO BOCOM BBM S.A.; 279 ; 214.083.119 ; 85 ; 13.022.456 ; 233 ; 515.391.826 ; 1.044 ; 447.359.573 ; 1.641 ; 1.189.856.974 ; 76 ; 480.249.138 ; 105 ; 775.250.219 ; 181 ; 1.255.499.358 ; 1.822 ; 2.445.356.331 
47;30.723.886;BANCO MODAL S.A.; 124 ; 116.401.350 ; 849 ; 115.517.351 ; 962 ; 707.343.181 ; 1.214 ; 242.066.486 ; 3.149 ; 1.181.328.368 ; 138 ; 342.515.215 ; 148 ; 824.017.166 ; 286 ; 1.166.532.381 ; 3.435 ; 2.347.860.750 
48;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;;;;; 40 ; 139.922.641 ; 152 ; 71.490.312 ; 192 ; 211.412.952 ; 57 ; 1.020.308.122 ; 57 ; 1.088.812.580 ; 114 ; 2.109.120.702 ; 306 ; 2.320.533.655 
49;03.609.817;BANCO CARGILL S.A.; 179 ; 376.841.272 ; 32 ; 26.788.052 ; 37 ; 63.617.564 ; 313 ; 96.469.207 ; 561 ; 563.716.095 ; 15 ; 532.000.000 ; 42 ; 1.185.750.000 ; 57 ; 1.717.750.000 ; 618 ; 2.281.466.095 
50;00.997.185;BANCO B3 S.A.;;;;; 1.029 ; 573.369.082 ; 1.127 ; 861.722.540 ; 2.156 ; 1.435.091.622 ; 366 ; 487.265.600 ; 211 ; 198.913.048 ; 577 ; 686.178.648 ; 2.733 ; 2.121.270.270 
51;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 99 ; 35.511.372 ; 927 ; 83.410.932 ; 1.364 ; 320.821.758 ; 2.795 ; 683.000.488 ; 5.185 ; 1.122.744.551 ; 1.382 ; 689.892.831 ; 470 ; 279.777.939 ; 1.852 ; 969.670.771 ; 7.037 ; 2.092.415.322 
52;92.894.922;BANCO ORIGINAL S.A.; 234 ; 929.654.824 ; 455 ; 72.722.304 ; 550 ; 12.056.475 ; 2.413 ; 75.420.447 ; 3.652 ; 1.089.854.051 ; 92 ; 35.747.085 ; 78 ; 807.209.374 ; 170 ; 842.956.459 ; 3.822 ; 1.932.810.510 
53;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 103 ; 1.131.304 ; 492 ; 8.918.885 ; 8.026 ; 416.014.749 ; 46.524 ; 823.052.088 ; 55.145 ; 1.249.117.025 ; 7.653 ; 522.331.080 ; 5.282 ; 97.942.623 ; 12.935 ; 620.273.703 ; 68.080 ; 1.869.390.728 
54;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 2.347 ; 55.701.240 ; 18.420 ; 340.515.544 ; 18.525 ; 157.530.085 ; 48.560 ; 387.751.814 ; 87.852 ; 941.498.682 ; 8.216 ; 662.504.411 ; 1.660 ; 148.034.077 ; 9.876 ; 810.538.489 ; 97.728 ; 1.752.037.171 
55;00.460.065;COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 1.003 ; 1.431.917 ; 2.544 ; 11.962.286 ; 3.547 ; 13.394.203 ; 6.621 ; 727.693.924 ; 3.901 ; 717.153.583 ; 10.522 ; 1.444.847.507 ; 14.069 ; 1.458.241.710 
56;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 433 ; 9.389.455 ; 2.452 ; 31.887.650 ; 15.110 ; 97.430.842 ; 56.006 ; 660.115.248 ; 74.001 ; 798.823.196 ; 13.077 ; 586.492.774 ; 56 ; 1.350.292 ; 13.133 ; 587.843.066 ; 87.134 ; 1.386.666.262 
57;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 10.082 ; 98.566.946 ; 42.353 ; 642.329.294 ; 52.435 ; 740.896.240 ; 31.656 ; 551.306.722 ; 377 ; 7.641.424 ; 32.033 ; 558.948.146 ; 84.468 ; 1.299.844.386 
58;59.118.133;BANCO LUSO BRASILEIRO S.A.; 729 ; 110.686.183 ; 3.508 ; 320.230.646 ; 652 ; 109.900.941 ; 1.799 ; 89.634.475 ; 6.688 ; 630.452.245 ; 3.098 ; 395.212.266 ; 1.045 ; 205.404.061 ; 4.143 ; 600.616.327 ; 10.831 ; 1.231.068.572 
59;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 1.151 ; 21.051.543 ; 13.831 ; 289.659.305 ; 7.339 ; 96.255.746 ; 25.254 ; 284.963.699 ; 47.575 ; 691.930.292 ; 15.758 ; 496.544.586 ; 212 ; 39.055.401 ; 15.970 ; 535.599.987 ; 63.545 ; 1.227.530.279 
60;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 26 ; 1.857.992 ; 586 ; 150.587.501 ; 801 ; 408.999.592 ; 1.474 ; 388.465.850 ; 2.887 ; 949.910.935 ; 377 ; 195.411.942 ; 92 ; 67.214.000 ; 469 ; 262.625.942 ; 3.356 ; 1.212.536.877 
61;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 6.357 ; 329.612.775 ; 4.297 ; 121.516.583 ; 2.973 ; 84.904.050 ; 2.592 ; 261.865.587 ; 16.219 ; 797.898.995 ; 188 ; 177.760.306 ; 179 ; 219.209.882 ; 367 ; 396.970.189 ; 16.586 ; 1.194.869.183 
62;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 565 ; 314.112.599 ; 922 ; 66.978.125 ; 657 ; 33.168.005 ; 711 ; 37.084.770 ; 2.855 ; 451.343.499 ; 483 ; 207.000.599 ; 423 ; 444.702.735 ; 906 ; 651.703.334 ; 3.761 ; 1.103.046.833 
63;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 75 ; 259.866.286 ; 42 ; 16.243.623 ; 86 ; 182.980.453 ; 167 ; 26.606.645 ; 370 ; 485.697.007 ; 38 ; 94.178.324 ; 253 ; 493.446.850 ; 291 ; 587.625.174 ; 661 ; 1.073.322.181 
64;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 71 ; 18.612.967 ; 52 ; 8.257.610 ; 17.343 ; 482.550.765 ; 1.088 ; 18.999.799 ; 18.554 ; 528.421.142 ; 294 ; 23.339.694 ; 765 ; 497.244.398 ; 1.059 ; 520.584.092 ; 19.613 ; 1.049.005.233 
65;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 266 ; 3.980.006 ; 3.361 ; 62.277.962 ; 5.964 ; 64.369.095 ; 20.417 ; 234.579.469 ; 30.008 ; 365.206.532 ; 23.125 ; 447.832.897 ; 3.195 ; 219.196.762 ; 26.320 ; 667.029.659 ; 56.328 ; 1.032.236.191 
66;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 1.793 ; 38.316.453 ; 10.908 ; 296.767.149 ; 4.739 ; 68.743.305 ; 9.046 ; 109.170.275 ; 26.486 ; 512.997.182 ; 4.599 ; 326.715.413 ; 259 ; 27.621.705 ; 4.858 ; 354.337.118 ; 31.344 ; 867.334.300 
67;07.679.404;BANCO TOPÁZIO S.A.; 6 ; 285.347 ; 64 ; 3.305.098 ; 504 ; 28.139.800 ; 1.424 ; 406.686.001 ; 1.998 ; 438.416.245 ; 603 ; 391.677.581 ; 73 ; 10.107.438 ; 676 ; 401.785.018 ; 2.674 ; 840.201.263 
68;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 26 ; 28.420.570 ; 111 ; 33.434.935 ; 100 ; 78.182.079 ; 811 ; 129.062.454 ; 1.048 ; 269.100.039 ; 124 ; 279.553.707 ; 125 ; 277.528.096 ; 249 ; 557.081.803 ; 1.297 ; 826.181.842 
69;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 64 ; 92.695.808 ; 275 ; 40.617.217 ; 218 ; 121.148.894 ; 395 ; 208.813.818 ; 952 ; 463.275.737 ; 171 ; 198.454.352 ; 113 ; 152.345.195 ; 284 ; 350.799.547 ; 1.236 ; 814.075.283 
