Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em ABRIL / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
16;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 14 ; 185.365.233 ; 2 ; 2.165.668 ; 28 ; 66.287.641 ; 47 ; 70.667.334 ; 91 ; 324.485.876 ; 99 ; 1.068.062.381 ; 111 ; 1.239.222.751 ; 210 ; 2.307.285.132 ; 301 ; 2.631.771.008 ;
17;59.588.111;BANCO VOTORANTIM S.A.; 206 ; 196.131.042 ; 945 ; 174.602.215 ; 181 ; 204.669.861 ; 591 ; 254.911.057 ; 1.923 ; 830.314.174 ; 162 ; 456.948.062 ; 529 ; 1.244.213.026 ; 691 ; 1.701.161.088 ; 2.614 ; 2.531.475.262 ;
18;28.195.667;BANCO ABC BRASIL S.A.; 124 ; 137.363.221 ; 463 ; 74.280.161 ; 162 ; 266.422.066 ; 393 ; 209.069.894 ; 1.142 ; 687.135.342 ; 183 ; 418.709.957 ; 469 ; 1.354.133.652 ; 652 ; 1.772.843.608 ; 1.794 ; 2.459.978.950 ;
19;49.336.860;ING BANK N.V.; 3 ; 169.611 ;;; 17 ; 671.539 ; 33 ; 1.726.985 ; 53 ; 2.568.134 ; 14 ; 830.215.579 ; 18 ; 979.715.355 ; 32 ; 1.809.930.933 ; 85 ; 1.812.499.067 ;
20;53.518.684;BANCO HSBC S.A.; 14 ; 208.370.896 ; 138 ; 28.526.143 ; 47 ; 64.564.371 ; 132 ; 365.632.662 ; 331 ; 667.094.073 ; 127 ; 570.350.519 ; 131 ; 343.436.085 ; 258 ; 913.786.604 ; 589 ; 1.580.880.677 ;
21;62.232.889;BANCO DAYCOVAL S.A.; 569 ; 108.601.342 ; 997 ; 84.591.513 ; 64.402 ; 507.356.731 ; 1.448 ; 61.777.045 ; 67.416 ; 762.326.631 ; 265 ; 148.719.706 ; 619 ; 561.366.616 ; 884 ; 710.086.322 ; 68.300 ; 1.472.412.953 ;
22;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 606 ; 82.096.299 ; 2.114 ; 104.704.155 ; 1.493 ; 98.993.452 ; 5.043 ; 433.185.717 ; 9.256 ; 718.979.623 ; 1.522 ; 520.022.288 ; 3.958 ; 167.541.117 ; 5.480 ; 687.563.405 ; 14.736 ; 1.406.543.027 ;
23;31.872.495;BANCO C6 S.A.; 25 ; 38.625.540 ; 179 ; 101.840.483 ; 927 ; 43.295.248 ; 6.394 ; 199.904.335 ; 7.525 ; 383.665.606 ; 113 ; 571.491.254 ; 198 ; 359.347.272 ; 311 ; 930.838.526 ; 7.836 ; 1.314.504.132 ;
24;58.160.789;BANCO SAFRA S.A.; 244 ; 163.149.760 ; 1.322 ; 192.625.966 ; 828 ; 73.939.735 ; 1.396 ; 188.201.934 ; 3.790 ; 617.917.394 ; 174 ; 363.734.286 ; 165 ; 218.719.899 ; 339 ; 582.454.185 ; 4.129 ; 1.200.371.579 ;
25;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 6 ; 19.388.085 ; 19 ; 41.604.977 ; 28 ; 370.669.704 ; 105 ; 422.060.359 ; 158 ; 853.723.126 ; 12 ; 145.691.464 ; 17 ; 200.620.548 ; 29 ; 346.312.012 ; 187 ; 1.200.035.138 ;
26;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 105 ; 4.445.762 ; 827 ; 32.572.570 ; 220 ; 7.152.002 ; 17.017 ; 30.825.240 ; 18.169 ; 74.995.574 ; 344 ; 582.625.815 ; 458 ; 526.765.510 ; 802 ; 1.109.391.325 ; 18.971 ; 1.184.386.899 ;
27;68.900.810;BANCO RENDIMENTO S.A.; 50 ; 3.761.853 ; 157 ; 69.433.726 ; 244.050 ; 404.004.741 ; 2.820 ; 74.297.752 ; 247.077 ; 551.498.072 ; 1.161 ; 169.386.187 ; 7.367 ; 427.283.518 ; 8.528 ; 596.669.705 ; 255.605 ; 1.148.167.777 ;
28;09.274.232;STATE STREET BRASIL S.A. – BANCO COMERCIAL;;;;; 52 ; 561.484.402 ; 41 ; 145.538.907 ; 93 ; 707.023.309 ; 16 ; 600.028 ; 44 ; 415.600.923 ; 60 ; 416.200.951 ; 153 ; 1.123.224.260 ;
29;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 65 ; 260.364.334 ; 18 ; 8.557.774 ; 79 ; 137.728.948 ; 224 ; 133.878.570 ; 386 ; 540.529.626 ; 33 ; 277.088.492 ; 33 ; 292.455.872 ; 66 ; 569.544.364 ; 452 ; 1.110.073.990 ;
30;33.264.668;BANCO XP S.A.; 108 ; 118.212.898 ; 1.222 ; 265.635.779 ; 371 ; 111.183.603 ; 1.683 ; 137.941.656 ; 3.384 ; 632.973.936 ; 28 ; 262.677.883 ; 11 ; 50.072.034 ; 39 ; 312.749.916 ; 3.423 ; 945.723.852 ;
31;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 152 ; 409.126.608 ; 246 ; 280.093.664 ; 398 ; 689.220.271 ; 6 ; 23.459.897 ; 9 ; 123.448.114 ; 15 ; 146.908.011 ; 413 ; 836.128.282 ;
32;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 139 ; 126.652.620 ; 582 ; 107.813.244 ; 389 ; 140.245.051 ; 514 ; 31.041.282 ; 1.624 ; 405.752.196 ; 96 ; 153.150.928 ; 104 ; 243.178.357 ; 200 ; 396.329.285 ; 1.824 ; 802.081.481 ;
33;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 67 ; 164.928.439 ; 376 ; 40.046.590 ; 19 ; 170.909.024 ; 296 ; 207.066.799 ; 758 ; 582.950.852 ; 33 ; 53.844.781 ; 30 ; 146.196.816 ; 63 ; 200.041.597 ; 821 ; 782.992.449 ;
34;78.632.767;BANCO OURINVEST S.A.; 695 ; 63.642.608 ; 2.632 ; 153.446.896 ; 7.866 ; 111.000.411 ; 4.955 ; 133.262.728 ; 16.148 ; 461.352.643 ; 526 ; 200.026.739 ; 1.258 ; 87.779.649 ; 1.784 ; 287.806.388 ; 17.932 ; 749.159.031 ;
35;07.679.404;BANCO TOPÁZIO S.A.; 61 ; 36.400.493 ; 40 ; 7.648.824 ; 249 ; 13.233.541 ; 514 ; 279.759.988 ; 864 ; 337.042.846 ; 324 ; 310.043.488 ; 865 ; 72.251.021 ; 1.189 ; 382.294.510 ; 2.053 ; 719.337.355 ;
36;62.144.175;BANCO PINE S.A.; 34 ; 34.439.980 ; 337 ; 34.909.847 ; 3 ; 426.175 ; 46 ; 7.714.970 ; 420 ; 77.490.972 ; 29 ; 286.520.000 ; 153 ; 279.733.000 ; 182 ; 566.253.000 ; 602 ; 643.743.972 ;
37;45.246.410;BANCO GENIAL S.A.; 43 ; 3.367.821 ; 50 ; 7.729.964 ; 215 ; 12.330.987 ; 483 ; 292.865.245 ; 791 ; 316.294.016 ; 66 ; 287.756.981 ; 7 ; 2.880.617 ; 73 ; 290.637.599 ; 864 ; 606.931.615 ;
38;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 55 ; 131.990.295 ; 224 ; 29.306.181 ; 54 ; 23.942.322 ; 130 ; 18.803.451 ; 463 ; 204.042.250 ; 98 ; 125.631.306 ; 114 ; 237.544.912 ; 212 ; 363.176.217 ; 675 ; 567.218.467 ;
39;33.042.953;CITIBANK N.A.;;;;; 1 ; 117 ; 3 ; 2.726 ; 4 ; 2.842 ;;; 5 ; 550.000.000 ; 5 ; 550.000.000 ; 9 ; 550.002.842 ;
40;71.027.866;BANCO BS2 S.A.; 340 ; 62.374.140 ; 1.250 ; 52.644.836 ; 5.905 ; 117.169.559 ; 17.805 ; 89.516.562 ; 25.300 ; 321.705.097 ; 56 ; 74.479.074 ; 68 ; 123.827.187 ; 124 ; 198.306.261 ; 25.424 ; 520.011.359 ;
41;58.616.418;BANCO FIBRA S.A.; 106 ; 94.266.894 ; 943 ; 119.768.948 ; 26 ; 17.157.181 ; 206 ; 57.323.700 ; 1.281 ; 288.516.722 ; 83 ; 122.477.705 ; 72 ; 61.015.184 ; 155 ; 183.492.889 ; 1.436 ; 472.009.611 ;
42;33.923.798;BANCO MÁXIMA S.A.; 119 ; 9.002.538 ; 446 ; 19.858.503 ; 12.164 ; 89.527.178 ; 54.507 ; 134.230.186 ; 67.236 ; 252.618.405 ; 110 ; 94.187.919 ; 63 ; 41.241.528 ; 173 ; 135.429.446 ; 67.409 ; 388.047.851 ;
43;10.690.848;BANCO DA CHINA BRASIL S.A.; 21 ; 26.568.501 ; 35 ; 13.366.461 ; 16 ; 101.895.341 ; 74 ; 27.715.425 ; 146 ; 169.545.728 ; 51 ; 49.899.102 ; 57 ; 137.362.690 ; 108 ; 187.261.792 ; 254 ; 356.807.520 ;
44;00.997.185;BANCO B3 S.A.;;;;; 121 ; 139.620.488 ; 125 ; 158.294.411 ; 246 ; 297.914.899 ; 50 ; 36.814.650 ; 32 ; 18.115.060 ; 82 ; 54.929.710 ; 328 ; 352.844.609 ;
45;03.609.817;BANCO CARGILL S.A.; 13 ; 30.360.295 ;;; 4 ; 5.965.707 ; 94 ; 38.018.224 ; 111 ; 74.344.226 ; 4 ; 130.000.000 ; 4 ; 120.000.000 ; 8 ; 250.000.000 ; 119 ; 324.344.226 ;
46;13.059.145;BEXS BANCO DE CÂMBIO S/A; 7 ; 38.312.612 ; 6 ; 76.581 ; 5.761 ; 16.412.765 ; 92.242 ; 109.619.377 ; 98.016 ; 164.421.336 ; 178 ; 95.083.669 ; 24 ; 41.218.520 ; 202 ; 136.302.189 ; 98.218 ; 300.723.525 ;
