Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
16;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 4 ; 309.338 ;;; 185 ; 267.693.742 ; 331 ; 384.891.133 ; 520 ; 652.894.214 ; 45 ; 1.332.555.787 ; 39 ; 795.546.131 ; 84 ; 2.128.101.917 ; 604 ; 2.780.996.131 
17;03.532.415;BANCO ABN AMRO S.A.; 31 ; 148.500.000 ;;; 80 ; 1.095.937.823 ; 85 ; 1.091.443.654 ; 196 ; 2.335.881.477 ; 5 ; 53.550.000 ; 23 ; 205.300.000 ; 28 ; 258.850.000 ; 224 ; 2.594.731.477 
18;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 16 ; 128.352.777 ; 48 ; 13.720.400 ; 147 ; 411.807.411 ; 159 ; 343.107.498 ; 370 ; 896.988.087 ; 223 ; 739.101.004 ; 362 ; 898.142.097 ; 585 ; 1.637.243.101 ; 955 ; 2.534.231.188 
19;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 123 ; 365.592.826 ; 594 ; 270.678.437 ; 320 ; 292.263.940 ; 959 ; 525.242.460 ; 1.996 ; 1.453.777.664 ; 95 ; 514.475.283 ; 75 ; 276.822.524 ; 170 ; 791.297.807 ; 2.166 ; 2.245.075.471 
20;61.820.817;BANCO PAULISTA S.A.; 227 ; 103.110.391 ; 510 ; 29.439.942 ; 76.799 ; 176.723.238 ; 1.670 ; 169.148.045 ; 79.206 ; 478.421.616 ; 1.966 ; 682.032.891 ; 14.652 ; 742.958.166 ; 16.618 ; 1.424.991.057 ; 95.824 ; 1.903.412.673 
21;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 110 ; 353.018.362 ; 28 ; 8.793.984 ; 99 ; 221.440.727 ; 296 ; 218.807.335 ; 533 ; 802.060.408 ; 32 ; 152.413.777 ; 39 ; 407.411.632 ; 71 ; 559.825.409 ; 604 ; 1.361.885.817 
22;68.900.810;BANCO RENDIMENTO S.A.; 22 ; 920.015 ; 209 ; 49.245.977 ; 36.882 ; 158.444.623 ; 25.780 ; 212.937.724 ; 62.893 ; 421.548.338 ; 711 ; 528.003.599 ; 11.381 ; 399.855.179 ; 12.092 ; 927.858.778 ; 74.985 ; 1.349.407.117 
23;28.195.667;BANCO ABC BRASIL S.A.; 78 ; 29.701.791 ; 178 ; 32.775.593 ; 34 ; 158.991.550 ; 218 ; 121.159.943 ; 508 ; 342.628.877 ; 126 ; 359.239.717 ; 308 ; 632.981.658 ; 434 ; 992.221.375 ; 942 ; 1.334.850.252 
24;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO;;; 16 ; 17.982.073 ; 9 ; 242.186.138 ; 14 ; 148.626.592 ; 39 ; 408.794.802 ; 26 ; 356.152.947 ; 23 ; 426.654.213 ; 49 ; 782.807.159 ; 88 ; 1.191.601.962 
25;58.160.789;BANCO SAFRA S.A.; 189 ; 75.234.033 ; 825 ; 125.355.773 ; 1.068 ; 258.533.321 ; 2.592 ; 227.735.400 ; 4.674 ; 686.858.526 ; 214 ; 224.922.431 ; 214 ; 226.879.816 ; 428 ; 451.802.247 ; 5.102 ; 1.138.660.773 
