Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mar/2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
15;53.518.684;BANCO HSBC S.A.; 77 ; 844.422.059 ; 164 ; 171.592.136 ; 496 ; 1.222.866.425 ; 953 ; 1.195.353.766 ; 1.690 ; 3.434.234.386 ; 417 ; 3.485.943.277 ; 441 ; 4.248.358.455 ; 858 ; 7.734.301.732 ; 2.548 ; 11.168.536.119 ;
16;03.532.415;BANCO ABN AMRO S.A.;;;;; 913 ; 4.814.727.320 ; 958 ; 4.420.527.784 ; 1.871 ; 9.235.255.104 ; 22 ; 348.162.930 ; 34 ; 762.500.000 ; 56 ; 1.110.662.930 ; 1.927 ; 10.345.918.034 ;
17;59.588.111;BANCO VOTORANTIM S.A.; 853 ; 975.316.866 ; 2.821 ; 394.456.684 ; 684 ; 1.088.347.087 ; 2.042 ; 553.568.847 ; 6.400 ; 3.011.689.484 ; 1.213 ; 3.052.310.597 ; 1.990 ; 4.147.181.444 ; 3.203 ; 7.199.492.041 ; 9.603 ; 10.211.181.525 ;
18;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 1.618 ; 208.008.185 ; 1.471 ; 212.591.615 ; 21.157 ; 2.804.478.590 ; 23.820 ; 3.585.562.934 ; 48.066 ; 6.810.641.325 ; 5.111 ; 1.991.746.791 ; 14.594 ; 1.236.805.153 ; 19.705 ; 3.228.551.944 ; 67.771 ; 10.039.193.269 ;
19;07.679.404;BANCO TOPÁZIO S.A.; 484 ; 163.068.487 ; 85 ; 39.063.638 ; 73.019 ; 343.242.235 ; 209.413 ; 3.346.003.396 ; 283.001 ; 3.891.377.756 ; 3.163 ; 3.712.518.908 ; 8.921 ; 834.316.484 ; 12.084 ; 4.546.835.391 ; 295.085 ; 8.438.213.148 ;
20;31.872.495;BANCO C6 S.A.; 165 ; 470.962.132 ; 1.496 ; 291.559.272 ; 31.074 ; 1.010.355.417 ; 254.345 ; 1.590.108.731 ; 287.080 ; 3.362.985.552 ; 336 ; 2.212.017.140 ; 512 ; 1.855.856.650 ; 848 ; 4.067.873.789 ; 287.928 ; 7.430.859.341 ;
21;58.160.789;BANCO SAFRA S.A.; 372 ; 129.965.075 ; 1.348 ; 355.415.890 ; 82.539 ; 2.115.847.756 ; 52.700 ; 1.051.176.820 ; 136.959 ; 3.652.405.541 ; 793 ; 1.260.480.118 ; 928 ; 2.244.375.643 ; 1.721 ; 3.504.855.761 ; 138.680 ; 7.157.261.302 ;
22;33.264.668;BANCO XP S.A.; 989 ; 518.456.080 ; 6.357 ; 1.208.529.615 ; 10.531 ; 1.034.230.542 ; 52.771 ; 1.903.816.416 ; 70.648 ; 4.665.032.653 ; 297 ; 1.809.677.477 ; 249 ; 615.429.208 ; 546 ; 2.425.106.685 ; 71.194 ; 7.090.139.338 ;
23;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 235 ; 950.432.357 ; 21 ; 15.919.578 ; 277 ; 915.879.515 ; 704 ; 1.281.422.000 ; 1.237 ; 3.163.653.451 ; 225 ; 1.574.993.421 ; 255 ; 2.215.142.388 ; 480 ; 3.790.135.809 ; 1.717 ; 6.953.789.260 ;
24;28.195.667;BANCO ABC BRASIL S.A.; 305 ; 268.983.562 ; 977 ; 283.110.970 ; 648 ; 403.908.290 ; 1.683 ; 366.181.153 ; 3.613 ; 1.322.183.974 ; 414 ; 2.917.312.610 ; 846 ; 2.514.161.430 ; 1.260 ; 5.431.474.040 ; 4.873 ; 6.753.658.014 ;
25;78.632.767;BANCO OURINVEST S.A.; 2.465 ; 253.196.149 ; 7.155 ; 463.092.243 ; 84.609 ; 1.025.606.844 ; 116.206 ; 1.854.038.867 ; 210.435 ; 3.595.934.103 ; 2.340 ; 1.875.237.608 ; 33.030 ; 879.810.537 ; 35.370 ; 2.755.048.145 ; 245.805 ; 6.350.982.248 ;
